productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Carrots,2019/4/28,$0.30 ,$0.99 ,$0.96 ,$0.99 ,$1.12 ,238.33%
Broccoli Crowns,2019/4/28,$1.04 ,$1.82 ,$1.85 ,$1.99 ,$2.24 ,89.90%
Broccoli Bunches,2019/4/28,$1.27 ,$1.61 ,$2.04 ,$1.56 ,$1.63 ,34.65%
Avocados,2019/4/28,$0.94 ,$1.09 ,$1.57 ,$1.53 ,$1.70 ,56.65%
Strawberries,2019/4/21,$0.69 ,$2.92 ,$2.04 ,$2.38 ,$3.16 ,280.43%
Romaine Lettuce,2019/4/21,$0.51 ,$2.09 ,$2.00 ,$1.77 ,$1.86 ,278.43%
Red Leaf Lettuce,2019/4/21,$0.45 ,$1.84 ,$1.98 ,$1.84 ,$1.86 ,317.78%
Potatoes,2019/4/21,$1.60 ,$4.97 ,$4.31 ,$3.99 ,$6.22 ,204.53%
Oranges,2019/4/21,$0.41 ,$1.44 ,$1.54 ,$0.99 ,$1.99 ,263.41%
Iceberg Lettuce,2019/4/21,$0.42 ,$1.29 ,$1.56 ,$1.84 ,$1.49 ,267.86%
Green Leaf Lettuce,2019/4/21,$0.43 ,$1.84 ,$1.77 ,$1.84 ,$2.07 ,337.21%
Celery,2019/4/21,$2.98 ,$1.82 ,$2.54 ,$2.52 ,$2.24 ,-23.49%
Cauliflower,2019/4/21,$1.96 ,$2.91 ,$3.23 ,$4.08 ,$3.35 ,73.09%
Carrots,2019/4/21,$0.30 ,$0.99 ,$0.95 ,$0.99 ,$1.12 ,237.50%
Broccoli Crowns,2019/4/21,$0.75 ,$1.82 ,$1.67 ,$2.14 ,$1.86 ,149.67%
Broccoli Bunches,2019/4/21,$0.85 ,$1.64 ,$2.04 ,$1.49 ,$1.63 ,100.00%
Avocados,2019/4/21,$1.03 ,$1.21 ,$1.75 ,$1.75 ,$1.85 ,59.22%
Strawberries,2019/4/14,$0.90 ,$3.04 ,$2.31 ,$2.50 ,$3.41 ,212.78%
Romaine Lettuce,2019/4/14,$0.56 ,$1.99 ,$2.12 ,$1.77 ,$2.02 ,252.68%
Red Leaf Lettuce,2019/4/14,$0.44 ,$2.32 ,$2.03 ,$1.92 ,$1.90 ,364.20%
Potatoes,2019/4/14,$1.60 ,$5.07 ,$4.97 ,$3.99 ,$6.22 ,216.41%
Oranges,2019/4/14,$0.41 ,$1.32 ,$1.34 ,$1.31 ,$2.10 ,270.12%
Iceberg Lettuce,2019/4/14,$0.57 ,$1.49 ,$1.61 ,$1.84 ,$1.56 ,185.09%
Green Leaf Lettuce,2019/4/14,$0.43 ,$2.59 ,$1.82 ,$1.92 ,$1.80 ,372.67%
Celery,2019/4/14,$2.98 ,$1.82 ,$2.36 ,$2.52 ,$2.24 ,-25.00%
Cauliflower,2019/4/14,$1.18 ,$3.44 ,$2.70 ,$4.18 ,$3.10 ,184.32%
Carrots,2019/4/14,$0.29 ,$0.99 ,$0.95 ,$0.99 ,$1.02 ,240.52%
Broccoli Crowns,2019/4/14,$0.46 ,$2.24 ,$1.80 ,$2.14 ,$1.99 ,344.02%
Broccoli Bunches,2019/4/14,$0.57 ,$1.94 ,$2.24 ,$1.49 ,$1.63 ,220.18%
Avocados,2019/4/14,$1.13 ,$1.29 ,$1.87 ,$1.50 ,$1.85 ,44.03%
Asparagus,2019/4/14,$2.43 ,$2.48 ,$1.88 ,$2.49 ,$1.61 ,-12.96%
Strawberries,2019/4/7,$1.08 ,$3.04 ,$2.94 ,$2.62 ,$3.74 ,185.65%
Romaine Lettuce,2019/4/7,$0.46 ,$1.99 ,$2.28 ,$1.69 ,$1.96 ,330.43%
Red Leaf Lettuce,2019/4/7,$0.43 ,$2.32 ,$1.86 ,$1.99 ,$2.00 ,375.00%
Potatoes,2019/4/7,$1.60 ,$4.07 ,$4.97 ,$3.99 ,$6.22 ,200.78%
Oranges,2019/4/7,$0.41 ,$1.57 ,$1.49 ,$0.99 ,$1.70 ,250.61%
Iceberg Lettuce,2019/4/7,$0.50 ,$1.29 ,$1.61 ,$1.84 ,$1.61 ,217.50%
Green Leaf Lettuce,2019/4/7,$0.39 ,$2.32 ,$1.93 ,$1.99 ,$1.81 ,416.03%
Celery,2019/4/7,$2.90 ,$1.52 ,$2.34 ,$2.52 ,$2.83 ,-20.60%
Cauliflower,2019/4/7,$1.06 ,$3.41 ,$3.36 ,$4.18 ,$3.36 ,237.50%
Carrots,2019/4/7,$0.30 ,$0.99 ,$0.96 ,$0.99 ,$1.09 ,235.83%
Broccoli Crowns,2019/4/7,$0.49 ,$1.82 ,$1.97 ,$2.14 ,$2.09 ,309.18%
Avocados,2019/4/7,$1.18 ,$1.16 ,$1.70 ,$1.02 ,$1.57 ,15.47%
Asparagus,2019/4/7,$2.43 ,$2.65 ,$2.73 ,$2.99 ,$2.74 ,14.30%
Strawberries,2019/3/31,$1.81 ,$2.79 ,$3.07 ,$2.87 ,$3.24 ,65.33%
Romaine Lettuce,2019/3/31,$0.39 ,$2.14 ,$2.12 ,$1.69 ,$1.96 ,407.05%
Red Leaf Lettuce,2019/3/31,$0.34 ,$1.82 ,$2.00 ,$1.99 ,$2.06 ,478.68%
Potatoes,2019/3/31,$1.60 ,$4.97 ,$4.97 ,$3.99 ,$6.22 ,214.84%
Oranges,2019/3/31,$0.42 ,$1.58 ,$1.58 ,$1.34 ,$1.70 ,269.05%
Iceberg Lettuce,2019/3/31,$0.51 ,$1.49 ,$1.56 ,$1.84 ,$1.99 ,237.25%
Green Leaf Lettuce,2019/3/31,$0.34 ,$2.59 ,$1.80 ,$1.99 ,$1.95 ,512.50%
Celery,2019/3/31,$2.73 ,$1.84 ,$2.39 ,$2.47 ,$2.37 ,-16.94%
Cauliflower,2019/3/31,$0.99 ,$3.41 ,$3.36 ,$3.93 ,$3.15 ,249.75%
Carrots,2019/3/31,$0.30 ,$0.99 ,$0.96 ,$0.99 ,$1.12 ,238.33%
Broccoli Crowns,2019/3/31,$0.65 ,$1.82 ,$1.82 ,$2.07 ,$1.89 ,192.31%
Broccoli Bunches,2019/3/31,$0.73 ,$1.94 ,$2.07 ,$1.49 ,$1.89 ,153.08%
Avocados,2019/3/31,$1.19 ,$0.95 ,$0.96 ,$1.25 ,$1.49 ,-2.31%
Asparagus,2019/3/31,$2.34 ,$2.45 ,$2.13 ,$3.49 ,$2.74 ,15.49%
Strawberries,2019/3/24,$1.81 ,$2.82 ,$3.06 ,$3.12 ,$3.48 ,72.38%
Romaine Lettuce,2019/3/24,$0.34 ,$1.99 ,$2.12 ,$1.69 ,$,326.47%
Red Leaf Lettuce,2019/3/24,$0.35 ,$1.79 ,$1.85 ,$1.99 ,$2.09 ,451.43%
Potatoes,2019/3/24,$1.70 ,$3.66 ,$4.97 ,$3.99 ,$5.44 ,165.59%
Oranges,2019/3/24,$0.34 ,$1.58 ,$1.49 ,$1.34 ,$1.75 ,352.94%
Iceberg Lettuce,2019/3/24,$0.56 ,$1.49 ,$1.61 ,$1.79 ,$2.24 ,218.30%
Green Leaf Lettuce,2019/3/24,$0.34 ,$2.29 ,$1.93 ,$1.99 ,$1.92 ,497.79%
Celery,2019/3/24,$2.73 ,$1.75 ,$2.39 ,$2.47 ,$2.24 ,-18.96%
Cauliflower,2019/3/24,$0.99 ,$3.41 ,$3.68 ,$4.08 ,$3.61 ,273.23%
Carrots,2019/3/24,$0.30 ,$0.99 ,$0.95 ,$0.99 ,$1.12 ,237.50%
Broccoli Crowns,2019/3/24,$0.89 ,$1.85 ,$1.97 ,$2.14 ,$1.96 ,122.47%
Avocados,2019/3/24,$1.06 ,$0.92 ,$1.38 ,$1.31 ,$1.37 ,17.45%
Strawberries,2019/3/17,$1.88 ,$2.79 ,$3.07 ,$2.32 ,$3.49 ,55.19%
Romaine Lettuce,2019/3/17,$0.43 ,$2.09 ,$2.12 ,$1.69 ,$2.50 ,388.37%
Red Leaf Lettuce,2019/3/17,$0.60 ,$2.59 ,$1.73 ,$1.99 ,$2.06 ,248.75%
Potatoes,2019/3/17,$1.70 ,$4.97 ,$4.97 ,$3.99 ,$5.97 ,192.65%
Oranges,2019/3/17,$0.42 ,$1.45 ,$1.53 ,$0.99 ,$1.62 ,232.74%
Iceberg Lettuce,2019/3/17,$0.92 ,$1.51 ,$1.56 ,$1.77 ,$2.24 ,92.39%
Green Leaf Lettuce,2019/3/17,$0.38 ,$2.59 ,$1.78 ,$1.99 ,$1.98 ,448.68%
Celery,2019/3/17,$2.70 ,$1.57 ,$2.01 ,$2.24 ,$2.24 ,-25.37%
Cauliflower,2019/3/17,$1.98 ,$3.27 ,$2.81 ,$3.93 ,$3.61 ,71.97%
Carrots,2019/3/17,$0.30 ,$0.99 ,$0.96 ,$0.99 ,$1.12 ,238.33%
Broccoli Crowns,2019/3/17,$0.85 ,$2.29 ,$2.27 ,$2.07 ,$1.96 ,152.65%
Broccoli Bunches,2019/3/17,$0.97 ,$1.94 ,$2.15 ,$1.49 ,$1.89 ,92.53%
Avocados,2019/3/17,$0.64 ,$0.94 ,$1.31 ,$1.24 ,$1.31 ,87.50%
Strawberries,2019/3/10,$1.88 ,$2.66 ,$2.99 ,$2.75 ,$2.94 ,50.80%
Romaine Lettuce,2019/3/10,$0.49 ,$2.49 ,$2.28 ,$1.52 ,$2.36 ,341.33%
Red Leaf Lettuce,2019/3/10,$0.48 ,$2.59 ,$1.88 ,$1.74 ,$2.09 ,332.29%
Potatoes,2019/3/10,$1.70 ,$4.72 ,$4.47 ,$3.99 ,$6.22 ,185.29%
Oranges,2019/3/10,$0.42 ,$1.58 ,$1.68 ,$1.34 ,$1.62 ,270.24%
Iceberg Lettuce,2019/3/10,$0.75 ,$1.31 ,$1.56 ,$1.67 ,$2.36 ,130.00%
Green Leaf Lettuce,2019/3/10,$0.48 ,$2.32 ,$1.93 ,$1.74 ,$1.98 ,315.10%
Celery,2019/3/10,$2.22 ,$1.75 ,$1.94 ,$2.14 ,$2.49 ,-6.31%
Cauliflower,2019/3/10,$1.50 ,$3.27 ,$3.61 ,$4.08 ,$3.48 ,140.67%
Carrots,2019/3/10,$0.30 ,$1.25 ,$0.95 ,$0.99 ,$1.05 ,253.33%
Broccoli Crowns,2019/3/10,$0.69 ,$2.29 ,$1.80 ,$2.19 ,$1.87 ,195.29%
Avocados,2019/3/10,$0.55 ,$0.92 ,$1.13 ,$1.24 ,$1.37 ,111.82%
Strawberries,2019/3/3,$1.88 ,$2.46 ,$2.31 ,$2.99 ,$3.06 ,43.88%
Romaine Lettuce,2019/3/3,$0.70 ,$1.89 ,$2.20 ,$1.52 ,$2.17 ,177.86%
Red Leaf Lettuce,2019/3/3,$0.64 ,$2.32 ,$1.85 ,$1.74 ,$1.95 ,207.03%
Potatoes,2019/3/3,$1.70 ,$3.97 ,$4.47 ,$3.99 ,$5.97 ,170.59%
Oranges,2019/3/3,$0.42 ,$1.58 ,$1.72 ,$1.52 ,$1.67 ,286.31%
Iceberg Lettuce,2019/3/3,$1.03 ,$1.46 ,$1.56 ,$1.52 ,$2.24 ,64.56%
Green Leaf Lettuce,2019/3/3,$0.65 ,$2.32 ,$1.78 ,$1.74 ,$1.95 ,199.62%
Celery,2019/3/3,$1.78 ,$1.52 ,$2.11 ,$1.99 ,$2.24 ,10.39%
Cauliflower,2019/3/3,$2.45 ,$3.27 ,$3.71 ,$4.28 ,$3.48 ,50.41%
Carrots,2019/3/3,$0.30 ,$1.14 ,$0.96 ,$0.99 ,$1.12 ,250.83%
Broccoli Crowns,2019/3/3,$0.96 ,$1.85 ,$1.97 ,$2.29 ,$1.87 ,107.81%
Broccoli Bunches,2019/3/3,$1.07 ,$1.94 ,$2.15 ,$1.19 ,$1.89 ,67.52%
Avocados,2019/3/3,$0.52 ,$0.82 ,$1.31 ,$1.37 ,$1.31 ,131.25%
Strawberries,2019/2/24,$1.75 ,$2.66 ,$1.88 ,$2.99 ,$2.99 ,50.29%
Romaine Lettuce,2019/2/24,$0.79 ,$1.89 ,$2.04 ,$1.52 ,$2.17 ,141.14%
Red Leaf Lettuce,2019/2/24,$0.82 ,$2.32 ,$1.97 ,$1.74 ,$1.95 ,143.29%
Potatoes,2019/2/24,$1.70 ,$4.72 ,$4.47 ,$3.99 ,$5.47 ,174.26%
Oranges,2019/2/24,$0.42 ,$1.54 ,$1.53 ,$1.34 ,$1.74 ,266.07%
Iceberg Lettuce,2019/2/24,$1.34 ,$1.51 ,$1.44 ,$1.52 ,$1.76 ,16.23%
Green Leaf Lettuce,2019/2/24,$0.82 ,$2.32 ,$1.93 ,$1.74 ,$1.87 ,139.63%
Celery,2019/2/24,$1.70 ,$1.72 ,$2.09 ,$1.99 ,$2.24 ,18.24%
Cauliflower,2019/2/24,$3.38 ,$2.87 ,$3.71 ,$3.78 ,$3.48 ,2.37%
Carrots,2019/2/24,$0.30 ,$0.92 ,$0.85 ,$0.99 ,$1.05 ,217.50%
Broccoli Crowns,2019/2/24,$1.08 ,$1.92 ,$1.97 ,$1.99 ,$1.96 ,81.48%
Broccoli Bunches,2019/2/24,$1.17 ,$1.78 ,$1.70 ,$1.49 ,$1.89 ,46.58%
Avocados,2019/2/24,$0.52 ,$0.92 ,$1.31 ,$1.31 ,$1.34 ,134.62%
Strawberries,2019/2/17,$1.63 ,$3.12 ,$3.65 ,$4.12 ,$3.48 ,120.40%
Romaine Lettuce,2019/2/17,$0.60 ,$1.89 ,$2.20 ,$1.52 ,$2.02 ,217.92%
Red Leaf Lettuce,2019/2/17,$0.68 ,$2.32 ,$1.98 ,$1.74 ,$2.00 ,195.59%
Potatoes,2019/2/17,$1.70 ,$4.72 ,$4.47 ,$3.99 ,$5.47 ,174.26%
Oranges,2019/2/17,$0.41 ,$1.54 ,$1.19 ,$1.34 ,$1.74 ,254.27%
Iceberg Lettuce,2019/2/17,$0.88 ,$1.51 ,$1.31 ,$1.52 ,$1.51 ,66.19%
Green Leaf Lettuce,2019/2/17,$0.65 ,$2.32 ,$1.93 ,$1.74 ,$1.98 ,206.54%
Celery,2019/2/17,$1.71 ,$1.72 ,$1.82 ,$1.99 ,$2.19 ,12.87%
Cauliflower,2019/2/17,$3.04 ,$2.87 ,$3.09 ,$3.78 ,$2.86 ,3.62%
Carrots,2019/2/17,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Broccoli Crowns,2019/2/17,$0.85 ,$1.92 ,$1.97 ,$1.99 ,$1.96 ,130.59%
Broccoli Bunches,2019/2/17,$0.98 ,$1.78 ,$2.15 ,$1.49 ,$1.89 ,86.48%
Avocados,2019/2/17,$0.52 ,$0.96 ,$1.36 ,$0.83 ,$1.34 ,115.87%
Oranges,2019/2/10,$0.41 ,$1.72 ,$1.64 ,$0.99 ,$1.97 ,285.37%
Strawberries,2019/2/10,$2.25 ,$2.99 ,$3.36 ,$3.96 ,$3.36 ,51.89%
Romaine Lettuce,2019/2/10,$0.40 ,$1.89 ,$2.20 ,$1.52 ,$1.86 ,366.88%
Red Leaf Lettuce,2019/2/10,$0.46 ,$2.32 ,$1.98 ,$1.74 ,$1.97 ,335.33%
Potatoes,2019/2/10,$1.70 ,$4.72 ,$4.47 ,$3.99 ,$5.47 ,174.26%
Iceberg Lettuce,2019/2/10,$0.41 ,$1.51 ,$1.56 ,$1.52 ,$1.81 ,290.24%
Green Leaf Lettuce,2019/2/10,$0.42 ,$2.32 ,$1.90 ,$1.74 ,$1.91 ,368.45%
Celery,2019/2/10,$1.72 ,$1.62 ,$1.79 ,$1.99 ,$2.07 ,8.58%
Cauliflower,2019/2/10,$2.27 ,$2.62 ,$3.46 ,$3.78 ,$2.99 ,41.52%
Carrots,2019/2/10,$0.30 ,$1.11 ,$0.92 ,$0.99 ,$1.05 ,239.17%
Broccoli Crowns,2019/2/10,$0.63 ,$2.22 ,$1.80 ,$1.99 ,$1.59 ,201.59%
Broccoli Bunches,2019/2/10,$1.14 ,$1.78 ,$2.49 ,$1.49 ,$1.89 ,67.76%
Avocados,2019/2/10,$0.52 ,$0.89 ,$0.99 ,$1.25 ,$1.34 ,114.90%
Romaine Lettuce,2019/2/3,$0.35 ,$1.99 ,$2.20 ,$1.59 ,$1.86 ,445.71%
Red Leaf Lettuce,2019/2/3,$0.44 ,$2.32 ,$1.98 ,$1.74 ,$2.00 ,356.82%
Potatoes,2019/2/3,$1.70 ,$4.72 ,$4.47 ,$3.99 ,$5.47 ,174.26%
Oranges,2019/2/3,$0.41 ,$1.55 ,$1.59 ,$0.99 ,$1.65 ,252.44%
Iceberg Lettuce,2019/2/3,$0.40 ,$1.51 ,$1.31 ,$1.42 ,$2.06 ,293.75%
Green Leaf Lettuce,2019/2/3,$0.38 ,$2.32 ,$1.90 ,$1.74 ,$1.95 ,420.39%
Celery,2019/2/3,$1.64 ,$1.62 ,$1.89 ,$1.99 ,$1.94 ,13.41%
Cauliflower,2019/2/3,$1.39 ,$2.71 ,$3.46 ,$3.78 ,$3.11 ,134.89%
Carrots,2019/2/3,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Broccoli Crowns,2019/2/3,$0.56 ,$2.39 ,$2.02 ,$1.99 ,$1.59 ,256.70%
Broccoli Bunches,2019/2/3,$0.75 ,$1.77 ,$1.88 ,$1.49 ,$1.89 ,134.33%
Avocados,2019/2/3,$0.47 ,$1.06 ,$1.24 ,$1.31 ,$1.42 ,167.55%
Strawberries,2019/1/27,$2.63 ,$3.96 ,$3.44 ,$3.49 ,$5.11 ,52.09%
Romaine Lettuce,2019/1/27,$0.32 ,$1.99 ,$2.25 ,$1.67 ,$1.98 ,516.41%
Red Leaf Lettuce,2019/1/27,$0.42 ,$2.32 ,$1.83 ,$1.74 ,$2.01 ,370.24%
Potatoes,2019/1/27,$1.70 ,$4.87 ,$4.81 ,$3.99 ,$4.94 ,173.68%
Oranges,2019/1/27,$0.41 ,$1.46 ,$1.45 ,$0.99 ,$1.87 ,251.83%
Iceberg Lettuce,2019/1/27,$0.37 ,$1.19 ,$1.61 ,$1.42 ,$1.81 ,307.43%
Green Leaf Lettuce,2019/1/27,$0.41 ,$2.32 ,$1.75 ,$1.74 ,$1.92 ,371.34%
Celery,2019/1/27,$1.39 ,$1.62 ,$2.01 ,$1.99 ,$1.94 ,35.97%
Cauliflower,2019/1/27,$0.75 ,$2.77 ,$3.86 ,$3.78 ,$3.24 ,355.00%
Carrots,2019/1/27,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.15 ,231.67%
Broccoli Crowns,2019/1/27,$0.38 ,$2.22 ,$2.30 ,$1.99 ,$1.96 ,457.24%
Avocados,2019/1/27,$0.46 ,$0.89 ,$1.75 ,$1.31 ,$1.24 ,182.07%
Strawberries,2019/1/20,$2.63 ,$2.97 ,$3.31 ,$2.95 ,$5.11 ,36.31%
Romaine Lettuce,2019/1/20,$0.33 ,$1.89 ,$2.25 ,$1.67 ,$1.98 ,490.15%
Red Leaf Lettuce,2019/1/20,$0.51 ,$2.32 ,$1.83 ,$1.74 ,$2.01 ,287.25%
Potatoes,2019/1/20,$1.70 ,$4.87 ,$4.81 ,$3.99 ,$4.94 ,173.68%
Oranges,2019/1/20,$0.45 ,$1.46 ,$1.18 ,$0.99 ,$1.87 ,205.56%
Iceberg Lettuce,2019/1/20,$0.41 ,$1.16 ,$1.61 ,$1.42 ,$1.94 ,273.78%
Green Leaf Lettuce,2019/1/20,$0.51 ,$2.32 ,$1.75 ,$1.74 ,$1.92 ,278.92%
Celery,2019/1/20,$1.42 ,$1.62 ,$2.01 ,$1.99 ,$2.07 ,35.39%
Cauliflower,2019/1/20,$0.96 ,$2.77 ,$3.86 ,$3.78 ,$3.24 ,255.47%
Carrots,2019/1/20,$0.32 ,$0.89 ,$0.92 ,$0.99 ,$1.15 ,208.59%
Broccoli Crowns,2019/1/20,$0.50 ,$2.22 ,$2.30 ,$1.99 ,$1.96 ,323.50%
Avocados,2019/1/20,$0.51 ,$0.89 ,$1.68 ,$1.31 ,$1.24 ,150.98%
Green Leaf Lettuce,2019/1/13,$0.66 ,$2.32 ,$1.85 ,$1.74 ,$1.95 ,197.73%
Strawberries,2019/1/13,$2.50 ,$3.58 ,$3.74 ,$4.99 ,$5.11 ,74.20%
Romaine Lettuce,2019/1/13,$0.35 ,$1.99 ,$2.22 ,$1.56 ,$1.99 ,454.29%
Red Leaf Lettuce,2019/1/13,$0.66 ,$2.32 ,$1.98 ,$1.74 ,$,128.79%
Potatoes,2019/1/13,$1.70 ,$4.72 ,$4.81 ,$3.99 ,$6.47 ,193.97%
Oranges,2019/1/13,$0.45 ,$1.53 ,$1.58 ,$1.17 ,$2.10 ,254.44%
Iceberg Lettuce,2019/1/13,$0.78 ,$1.36 ,$1.66 ,$1.54 ,$2.06 ,112.18%
Celery,2019/1/13,$1.31 ,$1.45 ,$2.01 ,$1.99 ,$1.82 ,38.74%
Cauliflower,2019/1/13,$2.11 ,$2.92 ,$3.86 ,$3.73 ,$3.24 ,62.91%
Carrots,2019/1/13,$0.29 ,$0.85 ,$0.92 ,$0.99 ,$1.05 ,228.45%
Broccoli Crowns,2019/1/13,$1.07 ,$2.22 ,$2.17 ,$1.99 ,$2.09 ,97.90%
Broccoli Bunches,2019/1/13,$1.13 ,$1.61 ,$2.31 ,$1.49 ,$1.99 ,63.72%
Avocados,2019/1/13,$0.56 ,$0.97 ,$1.23 ,$1.25 ,$1.24 ,109.38%
Strawberries,2019/1/6,$2.63 ,$3.96 ,$4.21 ,$4.24 ,$5.66 ,71.77%
Romaine Lettuce,2019/1/6,$0.36 ,$2.31 ,$2.22 ,$1.56 ,$1.99 ,461.11%
Red Leaf Lettuce,2019/1/6,$0.66 ,$2.59 ,$1.91 ,$1.74 ,$2.00 ,212.12%
Potatoes,2019/1/6,$1.70 ,$4.97 ,$4.81 ,$3.99 ,$6.47 ,197.65%
Oranges,2019/1/6,$0.49 ,$1.53 ,$1.64 ,$0.99 ,$1.87 ,207.65%
Iceberg Lettuce,2019/1/6,$0.74 ,$1.21 ,$1.86 ,$1.67 ,$2.06 ,129.73%
Green Leaf Lettuce,2019/1/6,$0.64 ,$2.59 ,$1.84 ,$1.74 ,$1.95 ,217.19%
Celery,2019/1/6,$0.98 ,$1.44 ,$1.89 ,$1.99 ,$1.82 ,82.14%
Cauliflower,2019/1/6,$2.10 ,$2.77 ,$3.31 ,$3.73 ,$2.74 ,49.40%
