Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient
Crop Production Dataset,Vietnam,India,Nigeria,"{""coefficient"": 0.99886, ""p value"": 0.0304, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Indonesia,Pakistan,Nigeria,"{""coefficient"": 0.68847, ""p value"": 0.51656, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,United States,Nigeria,"{""coefficient"": 0.99647, ""p value"": 0.05348, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Philippines,Nigeria,"{""coefficient"": 0.99902, ""p value"": 0.02824, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Indonesia,Thailand,Nigeria,"{""coefficient"": 0.99993, ""p value"": 0.00765, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Indonesia,Bangladesh,Nigeria,"{""coefficient"": 0.99993, ""p value"": 0.0076, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Bangladesh,Pakistan,Nigeria,"{""coefficient"": 0.69708, ""p value"": 0.50897, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,United States,Nigeria,"{""coefficient"": 0.9954, ""p value"": 0.06108, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Philippines,Nigeria,"{""coefficient"": 0.99842, ""p value"": 0.03584, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Bangladesh,Thailand,Nigeria,"{""coefficient"": 0.99971, ""p value"": 0.01525, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Bangladesh,Indonesia,Nigeria,"{""coefficient"": 0.99993, ""p value"": 0.0076, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,India,Pakistan,Nigeria,"{""coefficient"": 0.83794, ""p value"": 0.36752, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,United States,Nigeria,"{""coefficient"": 0.94982, ""p value"": 0.20253, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Philippines,Nigeria,"{""coefficient"": 0.96148, ""p value"": 0.17728, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Thailand,Nigeria,"{""coefficient"": 0.96986, ""p value"": 0.15669, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Indonesia,Nigeria,"{""coefficient"": 0.97272, ""p value"": 0.14904, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,China,Nigeria,"{""coefficient"": -0.62842, ""p value"": 0.56741, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Japan,Nigeria,"{""coefficient"": 0.51792, ""p value"": 0.65341, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Vietnam,Nigeria,"{""coefficient"": -0.66483, ""p value"": 0.53701, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Nigeria,Pakistan,"{""coefficient"": -0.72993, ""p value"": 0.47911, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Philippines,Pakistan,"{""coefficient"": -0.97738, ""p value"": 0.13566, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Vietnam,Pakistan,"{""coefficient"": -0.7386, ""p value"": 0.47098, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,India,Pakistan,"{""coefficient"": -0.848, ""p value"": 0.35561, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Japan,Pakistan,"{""coefficient"": -0.67204, ""p value"": 0.53084, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Myanmar,Pakistan,"{""coefficient"": 0.97835, ""p value"": 0.1327, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Vietnam,Pakistan,"{""coefficient"": 0.99558, ""p value"": 0.05986, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Bangladesh,Pakistan,"{""coefficient"": 0.86502, ""p value"": 0.33461, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Philippines,Pakistan,"{""coefficient"": -0.58231, ""p value"": 0.6043, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Thailand,Pakistan,"{""coefficient"": 0.6166, ""p value"": 0.57702, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,India,Pakistan,"{""coefficient"": -0.82322, ""p value"": 0.38435, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Nigeria,Pakistan,"{""coefficient"": 0.85798, ""p value"": 0.34344, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,United States,Pakistan,"{""coefficient"": 0.50022, ""p value"": 0.6665, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Vietnam,Pakistan,"{""coefficient"": 0.57931, ""p value"": 0.60664, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,India,Pakistan,"{""coefficient"": 0.94091, ""p value"": 0.21995, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Japan,Pakistan,"{""coefficient"": -0.50424, ""p value"": 0.66354, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Brazil,Pakistan,"{""coefficient"": 0.59223, ""p value"": 0.59649, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Vietnam,Pakistan,"{""coefficient"": 0.9546, ""p value"": 0.19257, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Bangladesh,Pakistan,"{""coefficient"": 0.74247, ""p value"": 0.46731, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Brazil,Pakistan,"{""coefficient"": 0.6166, ""p value"": 0.57702, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Vietnam,Pakistan,"{""coefficient"": 0.94504, ""p value"": 0.21204, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Bangladesh,Pakistan,"{""coefficient"": 0.72163, ""p value"": 0.48679, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,United States,Pakistan,"{""coefficient"": 0.99558, ""p value"": 0.05986, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Myanmar,Pakistan,"{""coefficient"": 0.9546, ""p value"": 0.19257, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Indonesia,Pakistan,"{""coefficient"": 0.92461, ""p value"": 0.24879, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,United States,Pakistan,"{""coefficient"": 0.95629, ""p value"": 0.18893, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Myanmar,Pakistan,"{""coefficient"": 0.9961, ""p value"": 0.05622, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Vietnam,Pakistan,"{""coefficient"": 0.92461, ""p value"": 0.24879, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Japan,Pakistan,"{""coefficient"": -0.95287, ""p value"": 0.19624, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Philippines,Pakistan,"{""coefficient"": 0.86715, ""p value"": 0.3319, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Thailand,Pakistan,"{""coefficient"": 0.72163, ""p value"": 0.48679, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Indonesia,Pakistan,"{""coefficient"": 0.68049, ""p value"": 0.52353, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,China,Pakistan,"{""coefficient"": 0.55678, ""p value"": 0.62407, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Japan,Pakistan,"{""coefficient"": -0.848, ""p value"": 0.35561, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Philippines,Pakistan,"{""coefficient"": 0.94091, ""p value"": 0.21995, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,China,Pakistan,"{""coefficient"": 0.99357, ""p value"": 0.07222, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Japan,Pakistan,"{""coefficient"": -0.78255, ""p value"": 0.42784, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Philippines,Pakistan,"{""coefficient"": 0.89652, ""p value"": 0.29217, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,India,Pakistan,"{""coefficient"": 0.99357, ""p value"": 0.07222, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Philippines,Japan,"{""coefficient"": -0.75676, ""p value"": 0.45356, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Thailand,Japan,"{""coefficient"": 0.98874, ""p value"": 0.09561, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Indonesia,Japan,"{""coefficient"": 0.98497, ""p value"": 0.11051, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,India,Japan,"{""coefficient"": -0.97415, ""p value"": 0.14505, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Nigeria,Japan,"{""coefficient"": -0.73546, ""p value"": 0.47393, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Philippines,Japan,"{""coefficient"": -0.9396, ""p value"": 0.22239, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Vietnam,Japan,"{""coefficient"": 0.95556, ""p value"": 0.1905, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,India,Japan,"{""coefficient"": -0.67196, ""p value"": 0.5309, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Nigeria,Japan,"{""coefficient"": 0.92295, ""p value"": 0.25154, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,United States,Japan,"{""coefficient"": -0.75676, ""p value"": 0.45356, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Myanmar,Japan,"{""coefficient"": -0.76603, ""p value"": 0.44446, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Vietnam,Japan,"{""coefficient"": -0.99875, ""p value"": 0.0319, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Philippines,Bangladesh,Japan,"{""coefficient"": -0.7342, ""p value"": 0.47512, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,China,Japan,"{""coefficient"": 0.99711, ""p value"": 0.04839, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Myanmar,United States,Japan,"{""coefficient"": 0.9999, ""p value"": 0.0091, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Myanmar,Thailand,Japan,"{""coefficient"": 0.99078, ""p value"": 0.08651, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Indonesia,Japan,"{""coefficient"": 0.98734, ""p value"": 0.1014, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,India,Japan,"{""coefficient"": -0.97729, ""p value"": 0.13595, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Nigeria,Japan,"{""coefficient"": -0.98606, ""p value"": 0.10641, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Brazil,Japan,"{""coefficient"": 0.61248, ""p value"": 0.58034, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Myanmar,Japan,"{""coefficient"": 0.99078, ""p value"": 0.08651, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Indonesia,Japan,"{""coefficient"": 0.99973, ""p value"": 0.0149, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Thailand,India,Japan,"{""coefficient"": -0.99699, ""p value"": 0.04944, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Vietnam,Nigeria,Japan,"{""coefficient"": -0.90251, ""p value"": 0.28344, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,United States,Japan,"{""coefficient"": 0.72307, ""p value"": 0.48546, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Philippines,Japan,"{""coefficient"": -0.99875, ""p value"": 0.0319, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Vietnam,Thailand,Japan,"{""coefficient"": 0.81829, ""p value"": 0.38985, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Bangladesh,Japan,"{""coefficient"": 0.69927, ""p value"": 0.50701, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,China,Japan,"{""coefficient"": -0.99206, ""p value"": 0.08029, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,United States,Japan,"{""coefficient"": 0.98497, ""p value"": 0.11051, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Philippines,Japan,"{""coefficient"": -0.85829, ""p value"": 0.34305, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Thailand,Japan,"{""coefficient"": 0.99973, ""p value"": 0.0149, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Indonesia,Bangladesh,Japan,"{""coefficient"": 0.97856, ""p value"": 0.13206, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,China,Japan,"{""coefficient"": -0.89478, ""p value"": 0.29467, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,United States,Japan,"{""coefficient"": 0.99943, ""p value"": 0.02155, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Bangladesh,Myanmar,Japan,"{""coefficient"": 0.99884, ""p value"": 0.03066, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Bangladesh,Vietnam,Japan,"{""coefficient"": 0.69927, ""p value"": 0.50701, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,India,Japan,"{""coefficient"": -0.96595, ""p value"": 0.16661, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Nigeria,Japan,"{""coefficient"": 0.996, ""p value"": 0.05697, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Brazil,Japan,"{""coefficient"": -0.67196, ""p value"": 0.5309, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Myanmar,Japan,"{""coefficient"": -0.97729, ""p value"": 0.13595, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Vietnam,Japan,"{""coefficient"": -0.86042, ""p value"": 0.34041, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Bangladesh,Japan,"{""coefficient"": -0.96595, ""p value"": 0.16661, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Nigeria,Japan,"{""coefficient"": 0.94951, ""p value"": 0.20315, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Brazil,Japan,"{""coefficient"": -0.9109, ""p value"": 0.27078, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Myanmar,Japan,"{""coefficient"": -0.81263, ""p value"": 0.39607, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Vietnam,Japan,"{""coefficient"": -0.99206, ""p value"": 0.08029, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Bangladesh,Japan,"{""coefficient"": -0.78363, ""p value"": 0.42673, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Pakistan,United States,"{""coefficient"": 0.73766, ""p value"": 0.47186, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Nigeria,United States,"{""coefficient"": 0.99974, ""p value"": 0.01465, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Philippines,Japan,United States,"{""coefficient"": -0.99003, ""p value"": 0.08997, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Thailand,United States,"{""coefficient"": -0.91617, ""p value"": 0.26252, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Indonesia,United States,"{""coefficient"": -0.92728, ""p value"": 0.24429, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,India,United States,"{""coefficient"": 0.99845, ""p value"": 0.03544, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Myanmar,Nigeria,United States,"{""coefficient"": -0.99229, ""p value"": 0.07909, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Japan,United States,"{""coefficient"": 0.9992, ""p value"": 0.02553, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Myanmar,Thailand,United States,"{""coefficient"": 0.87099, ""p value"": 0.32696, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Indonesia,United States,"{""coefficient"": 0.8847, ""p value"": 0.30873, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,India,United States,"{""coefficient"": -0.99896, ""p value"": 0.029, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Thailand,Nigeria,United States,"{""coefficient"": -0.92515, ""p value"": 0.24787, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Philippines,United States,"{""coefficient"": -0.91617, ""p value"": 0.26252, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Indonesia,United States,"{""coefficient"": 0.99959, ""p value"": 0.01824, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Thailand,India,United States,"{""coefficient"": -0.89246, ""p value"": 0.29796, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Nigeria,United States,"{""coefficient"": 0.72319, ""p value"": 0.48535, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Japan,United States,"{""coefficient"": -0.82644, ""p value"": 0.38072, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Philippines,United States,"{""coefficient"": 0.7389, ""p value"": 0.4707, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Bangladesh,United States,"{""coefficient"": 0.8188, ""p value"": 0.38927, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,China,United States,"{""coefficient"": 0.55846, ""p value"": 0.62279, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Japan,United States,"{""coefficient"": 0.8653, ""p value"": 0.33426, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Myanmar,United States,"{""coefficient"": 0.8847, ""p value"": 0.30873, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Bangladesh,United States,"{""coefficient"": -0.87195, ""p value"": 0.32571, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,China,United States,"{""coefficient"": -0.98953, ""p value"": 0.0922, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Pakistan,United States,"{""coefficient"": 0.76262, ""p value"": 0.44783, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Philippines,United States,"{""coefficient"": 0.99183, ""p value"": 0.08142, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Thailand,United States,"{""coefficient"": -0.85757, ""p value"": 0.34394, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Indonesia,United States,"{""coefficient"": -0.87195, ""p value"": 0.32571, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,China,United States,"{""coefficient"": 0.93348, ""p value"": 0.23351, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Pakistan,United States,"{""coefficient"": 0.71395, ""p value"": 0.49381, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Philippines,United States,"{""coefficient"": 0.99845, ""p value"": 0.03544, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,India,Thailand,United States,"{""coefficient"": -0.89246, ""p value"": 0.29796, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Indonesia,United States,"{""coefficient"": -0.90501, ""p value"": 0.27973, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,China,United States,"{""coefficient"": 0.95693, ""p value"": 0.18753, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Japan,United States,"{""coefficient"": -0.92858, ""p value"": 0.24206, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Myanmar,United States,"{""coefficient"": -0.94271, ""p value"": 0.21653, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Vietnam,United States,"{""coefficient"": 0.55846, ""p value"": 0.62279, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Bangladesh,United States,"{""coefficient"": 0.93348, ""p value"": 0.23351, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Nigeria,Brazil,"{""coefficient"": 0.96435, ""p value"": 0.17049, ""conclusion"": ""Not strongly correlated""}"
