Dataset Name,Column,Mean,Median,Mode,Range,Quartile,Standard Deviation,Skewness,Kurtosis
Crop Production Dataset,Japan,"{""conclusion"": ""11.35""}","{""conclusion"": ""11.3""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.4""}","{""conclusion"": ""\""{'Min': 9.7, 'Q1': 10.45, 'Median': 11.3, 'Q3': 12.2, 'Max': 13.1}\""""}","{""conclusion"": ""1.27574""}","{""conclusion"": ""0.15829""}","{""conclusion"": ""-1.42292""}"
Crop Production Dataset,United States,"{""conclusion"": ""9.275""}","{""conclusion"": ""9.5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.9""}","{""conclusion"": ""\""{'Min': 7.1, 'Q1': 8.299999999999999, 'Median': 9.5, 'Q3': 10.475000000000001, 'Max': 11.0}\""""}","{""conclusion"": ""1.50727""}","{""conclusion"": ""-0.53987""}","{""conclusion"": ""-1.71316""}"
Crop Production Dataset,Brazil,"{""conclusion"": ""10.2""}","{""conclusion"": ""11.1""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.8""}","{""conclusion"": ""\""{'Min': 7.4, 'Q1': 10.175, 'Median': 11.1, 'Q3': 11.125, 'Max': 11.2}\""""}","{""conclusion"": ""1.6171""}","{""conclusion"": ""-1.99615""}","{""conclusion"": ""3.98749""}"
Crop Production Dataset,Philippines,"{""conclusion"": ""14.35""}","{""conclusion"": ""14.1""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""9.4""}","{""conclusion"": ""\""{'Min': 9.9, 'Q1': 11.775, 'Median': 14.100000000000001, 'Q3': 16.675, 'Max': 19.3}\""""}","{""conclusion"": ""3.54295""}","{""conclusion"": ""0.28041""}","{""conclusion"": ""-1.46462""}"
Crop Production Dataset,Myanmar,"{""conclusion"": ""23.05""}","{""conclusion"": ""23.05""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""18.1""}","{""conclusion"": ""\""{'Min': 14.0, 'Q1': 19.25, 'Median': 23.05, 'Q3': 26.85, 'Max': 32.1}\""""}","{""conclusion"": ""6.56144""}","{""conclusion"": ""0.0""}","{""conclusion"": ""0.10726""}"
Crop Production Dataset,Thailand,"{""conclusion"": ""27.225""}","{""conclusion"": ""28.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""18.5""}","{""conclusion"": ""\""{'Min': 17.2, 'Q1': 23.65, 'Median': 28.0, 'Q3': 31.575, 'Max': 35.7}\""""}","{""conclusion"": ""6.76771""}","{""conclusion"": ""-0.52435""}","{""conclusion"": ""0.21228""}"
Crop Production Dataset,Vietnam,"{""conclusion"": ""33.625""}","{""conclusion"": ""36.25""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""23.6""}","{""conclusion"": ""\""{'Min': 19.2, 'Q1': 29.175, 'Median': 36.25, 'Q3': 40.7, 'Max': 42.8}\""""}","{""conclusion"": ""9.14012""}","{""conclusion"": ""-1.11802""}","{""conclusion"": ""0.47998""}"
Crop Production Dataset,Indonesia,"{""conclusion"": ""52.75""}","{""conclusion"": ""53.25""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""14.1""}","{""conclusion"": ""\""{'Min': 45.2, 'Q1': 50.225, 'Median': 53.25, 'Q3': 55.775, 'Max': 59.3}\""""}","{""conclusion"": ""5.10025""}","{""conclusion"": ""-0.46882""}","{""conclusion"": ""0.63806""}"
Crop Production Dataset,Bangladesh,"{""conclusion"": ""42.35""}","{""conclusion"": ""43.85""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""28.1""}","{""conclusion"": ""\""{'Min': 26.8, 'Q1': 34.9, 'Median': 43.85, 'Q3': 51.3, 'Max': 54.9}\""""}","{""conclusion"": ""10.97645""}","{""conclusion"": ""-0.4666""}","{""conclusion"": ""-2.21178""}"
Crop Production Dataset,India,"{""conclusion"": ""140.25""}","{""conclusion"": ""135.75""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""67.1""}","{""conclusion"": ""\""{'Min': 111.2, 'Q1': 123.425, 'Median': 135.75, 'Q3': 152.575, 'Max': 178.3}\""""}","{""conclusion"": ""24.84115""}","{""conclusion"": ""0.80658""}","{""conclusion"": ""0.45908""}"
Crop Production Dataset,China,"{""conclusion"": ""196.225""}","{""conclusion"": ""192.55""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""24.0""}","{""conclusion"": ""\""{'Min': 187.9, 'Q1': 188.95000000000002, 'Median': 192.55, 'Q3': 199.82500000000002, 'Max': 211.9}\""""}","{""conclusion"": ""9.52821""}","{""conclusion"": ""1.47283""}","{""conclusion"": ""1.84947""}"
Customer Personality Analysis Dataset,Education,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Graduation""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,Marital_Status,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Married""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,Income,"{""conclusion"": ""52247.25135""}","{""conclusion"": ""51381.5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""664936.0""}","{""conclusion"": ""\""{'Min': 1730.0, 'Q1': 35303.0, 'Median': 51381.5, 'Q3': 68522.0, 'Max': 666666.0}\""""}","{""conclusion"": ""25167.39617""}","{""conclusion"": ""6.76349""}","{""conclusion"": ""159.6367""}"
Customer Personality Analysis Dataset,Kidhome,"{""conclusion"": ""0.4442""}","{""conclusion"": ""0.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""2.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 2.0}\""""}","{""conclusion"": ""0.53828""}","{""conclusion"": ""0.63529""}","{""conclusion"": ""-0.77966""}"
Customer Personality Analysis Dataset,Teenhome,"{""conclusion"": ""0.50625""}","{""conclusion"": ""0.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""2.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 2.0}\""""}","{""conclusion"": ""0.54442""}","{""conclusion"": ""0.40711""}","{""conclusion"": ""-0.98623""}"
Customer Personality Analysis Dataset,Recency,"{""conclusion"": ""49.10938""}","{""conclusion"": ""49.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""99.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 24.0, 'Median': 49.0, 'Q3': 74.0, 'Max': 99.0}\""""}","{""conclusion"": ""28.95599""}","{""conclusion"": ""-0.00199""}","{""conclusion"": ""-1.2019""}"
Customer Personality Analysis Dataset,MntWines,"{""conclusion"": ""303.93571""}","{""conclusion"": ""173.5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1493""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 23.75, 'Median': 173.5, 'Q3': 504.25, 'Max': 1493.0}\""""}","{""conclusion"": ""336.52225""}","{""conclusion"": ""1.17577""}","{""conclusion"": ""0.59874""}"
Customer Personality Analysis Dataset,MntFruits,"{""conclusion"": ""26.30223""}","{""conclusion"": ""8.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""199.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 1.0, 'Median': 8.0, 'Q3': 33.0, 'Max': 199.0}\""""}","{""conclusion"": ""39.76455""}","{""conclusion"": ""2.10206""}","{""conclusion"": ""4.05098""}"
Customer Personality Analysis Dataset,MntMeatProducts,"{""conclusion"": ""166.95""}","{""conclusion"": ""67.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1725""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 16.0, 'Median': 67.0, 'Q3': 232.0, 'Max': 1725.0}\""""}","{""conclusion"": ""225.66498""}","{""conclusion"": ""2.08323""}","{""conclusion"": ""5.51672""}"
Customer Personality Analysis Dataset,MntFishProducts,"{""conclusion"": ""37.52545""}","{""conclusion"": ""12.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""259.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 12.0, 'Q3': 50.0, 'Max': 259.0}\""""}","{""conclusion"": ""54.61678""}","{""conclusion"": ""1.91977""}","{""conclusion"": ""3.09646""}"
Customer Personality Analysis Dataset,MntSweetProducts,"{""conclusion"": ""27.06295""}","{""conclusion"": ""8.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""263.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 1.0, 'Median': 8.0, 'Q3': 33.0, 'Max': 263.0}\""""}","{""conclusion"": ""41.27128""}","{""conclusion"": ""2.13608""}","{""conclusion"": ""4.37655""}"
Customer Personality Analysis Dataset,MntGoldProds,"{""conclusion"": ""44.02188""}","{""conclusion"": ""24.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""362.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 9.0, 'Median': 24.0, 'Q3': 56.0, 'Max': 362.0}\""""}","{""conclusion"": ""52.15579""}","{""conclusion"": ""1.88611""}","{""conclusion"": ""3.55171""}"
Customer Personality Analysis Dataset,NumDealsPurchases,"{""conclusion"": ""2.325""}","{""conclusion"": ""2.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""15.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 1.0, 'Median': 2.0, 'Q3': 3.0, 'Max': 15.0}\""""}","{""conclusion"": ""1.93181""}","{""conclusion"": ""2.41857""}","{""conclusion"": ""8.93691""}"
Customer Personality Analysis Dataset,NumWebPurchases,"{""conclusion"": ""4.08482""}","{""conclusion"": ""4.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""27.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 2.0, 'Median': 4.0, 'Q3': 6.0, 'Max': 27.0}\""""}","{""conclusion"": ""2.77809""}","{""conclusion"": ""1.38279""}","{""conclusion"": ""5.70313""}"
Customer Personality Analysis Dataset,NumCatalogPurchases,"{""conclusion"": ""2.66205""}","{""conclusion"": ""2.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""28.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 2.0, 'Q3': 4.0, 'Max': 28.0}\""""}","{""conclusion"": ""2.92245""}","{""conclusion"": ""1.88099""}","{""conclusion"": ""8.04744""}"
Customer Personality Analysis Dataset,NumStorePurchases,"{""conclusion"": ""5.79018""}","{""conclusion"": ""5.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""13.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 5.0, 'Q3': 8.0, 'Max': 13.0}\""""}","{""conclusion"": ""3.25023""}","{""conclusion"": ""0.70224""}","{""conclusion"": ""-0.62205""}"
Customer Personality Analysis Dataset,NumWebVisitsMonth,"{""conclusion"": ""5.31652""}","{""conclusion"": ""6.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""20.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 6.0, 'Q3': 7.0, 'Max': 20.0}\""""}","{""conclusion"": ""2.4261""}","{""conclusion"": ""0.20793""}","{""conclusion"": ""1.82161""}"
Customer Personality Analysis Dataset,AcceptedCmp3,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,AcceptedCmp4,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,AcceptedCmp5,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,AcceptedCmp1,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,AcceptedCmp2,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,Complain,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Customer Personality Analysis Dataset,Z_CostContact,"{""conclusion"": ""3.0""}","{""conclusion"": ""3.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0.0""}","{""conclusion"": ""\""{'Min': 3.0, 'Q1': 3.0, 'Median': 3.0, 'Q3': 3.0, 'Max': 3.0}\""""}","{""conclusion"": ""0.0""}","{""conclusion"": ""0""}","{""conclusion"": ""0""}"
Customer Personality Analysis Dataset,Z_Revenue,"{""conclusion"": ""11.0""}","{""conclusion"": ""11.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0.0""}","{""conclusion"": ""\""{'Min': 11.0, 'Q1': 11.0, 'Median': 11.0, 'Q3': 11.0, 'Max': 11.0}\""""}","{""conclusion"": ""0.0""}","{""conclusion"": ""0""}","{""conclusion"": ""0""}"
Customer Personality Analysis Dataset,Response,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Dataset for Admission in the University,GRE Score,"{""conclusion"": ""316.8075""}","{""conclusion"": ""317.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""50.0""}","{""conclusion"": ""\""{'Min': 290.0, 'Q1': 308.0, 'Median': 317.0, 'Q3': 325.0, 'Max': 340.0}\""""}","{""conclusion"": ""11.4593""}","{""conclusion"": ""-0.06289""}","{""conclusion"": ""-0.70049""}"
Dataset for Admission in the University,TOEFL Score,"{""conclusion"": ""107.41""}","{""conclusion"": ""107.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""28.0""}","{""conclusion"": ""\""{'Min': 92.0, 'Q1': 103.0, 'Median': 107.0, 'Q3': 112.0, 'Max': 120.0}\""""}","{""conclusion"": ""6.06192""}","{""conclusion"": ""0.05722""}","{""conclusion"": ""-0.57878""}"
Dataset for Admission in the University,University Rating,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Dataset for Admission in the University,SOP,"{""conclusion"": ""3.4""}","{""conclusion"": ""3.5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""4.0""}","{""conclusion"": ""\""{'Min': 1.0, 'Q1': 2.5, 'Median': 3.5, 'Q3': 4.0, 'Max': 5.0}\""""}","{""conclusion"": ""1.00561""}","{""conclusion"": ""-0.27576""}","{""conclusion"": ""-0.67561""}"
Dataset for Admission in the University,LOR ,"{""conclusion"": ""3.4525""}","{""conclusion"": ""3.5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""4.0""}","{""conclusion"": ""\""{'Min': 1.0, 'Q1': 3.0, 'Median': 3.5, 'Q3': 4.0, 'Max': 5.0}\""""}","{""conclusion"": ""0.89735""}","{""conclusion"": ""-0.10699""}","{""conclusion"": ""-0.66248""}"
Dataset for Admission in the University,CGPA,"{""conclusion"": ""8.59892""}","{""conclusion"": ""8.61""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.12""}","{""conclusion"": ""\""{'Min': 6.8, 'Q1': 8.17, 'Median': 8.61, 'Q3': 9.0625, 'Max': 9.92}\""""}","{""conclusion"": ""0.59557""}","{""conclusion"": ""-0.06599""}","{""conclusion"": ""-0.45848""}"
Dataset for Admission in the University,Research,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Dataset for Admission in the University,Chance of Admit ,"{""conclusion"": ""0.72435""}","{""conclusion"": ""0.73""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0.63""}","{""conclusion"": ""\""{'Min': 0.34, 'Q1': 0.64, 'Median': 0.73, 'Q3': 0.83, 'Max': 0.97}\""""}","{""conclusion"": ""0.14243""}","{""conclusion"": ""-0.35345""}","{""conclusion"": ""-0.38913""}"
Exercise and Fitness Metrics Dataset,Exercise,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Exercise 5""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Exercise and Fitness Metrics Dataset,Calories Burn,"{""conclusion"": ""301.86181""}","{""conclusion"": ""299.74251""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""399.84986""}","{""conclusion"": ""\""{'Min': 100.0094034, 'Q1': 202.16883695, 'Median': 299.7425076, 'Q3': 404.1436878, 'Max': 499.8592625}\""""}","{""conclusion"": ""115.81361""}","{""conclusion"": ""-0.00171""}","{""conclusion"": ""-1.20615""}"
Exercise and Fitness Metrics Dataset,Dream Weight,"{""conclusion"": ""75.13926""}","{""conclusion"": ""75.52214""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""49.98337""}","{""conclusion"": ""\""{'Min': 50.00198366, 'Q1': 62.373584789999995, 'Median': 75.522136285, 'Q3': 87.7079891775, 'Max': 99.98535527}\""""}","{""conclusion"": ""14.54394""}","{""conclusion"": ""-0.0341""}","{""conclusion"": ""-1.20818""}"
