Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test
Crop Production Dataset,Nigeria,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Nigeria,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Pakistan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Japan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,United States,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Brazil,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Philippines,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Philippines,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Philippines,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Philippines,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Myanmar,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Myanmar,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Myanmar,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Thailand,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Thailand,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Thailand,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Vietnam,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Vietnam,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Vietnam,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Indonesia,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Indonesia,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Bangladesh,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,Bangladesh,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Crop Production Dataset,India,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,Kidhome,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,Teenhome,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,Recency,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntWines,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntFruits,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Income,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,Teenhome,"{""p value"": 0.00058, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,Recency,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntFruits,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Kidhome,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,Recency,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntWines,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntFruits,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Teenhome,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntWines,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntFruits,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Recency,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,MntFruits,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntWines,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,MntMeatProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFruits,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntFishProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntMeatProducts,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,MntSweetProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntFishProducts,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,MntGoldProds,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntSweetProducts,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,NumDealsPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,MntGoldProds,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumWebPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumDealsPurchases,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebPurchases,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebPurchases,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebPurchases,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumCatalogPurchases,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumCatalogPurchases,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumStorePurchases,NumWebVisitsMonth,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumStorePurchases,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumStorePurchases,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_CostContact,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Customer Personality Analysis Dataset,Z_CostContact,Z_Revenue,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,GRE Score,SOP,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,GRE Score,LOR ,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,GRE Score,CGPA,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,TOEFL Score,SOP,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,TOEFL Score,LOR ,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,TOEFL Score,CGPA,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
