Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,"{""coefficient"": 0.01429, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01266, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0102, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,Brazil,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.4, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.33333, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.18257, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.33333, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.33333, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.33333, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Income,Teenhome,"{""coefficient"": 0.01913, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04591, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03756, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Income,Recency,"{""coefficient"": -0.00397, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00794, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00535, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Income,NumDealsPurchases,"{""coefficient"": -0.0831, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.19553, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.14315, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,Teenhome,"{""coefficient"": -0.03613, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04635, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04538, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,Recency,"{""coefficient"": 0.00883, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0063, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00517, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntFruits,"{""coefficient"": -0.37258, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.44992, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.37442, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntFishProducts,"{""coefficient"": -0.38764, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.45275, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.37498, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntSweetProducts,"{""coefficient"": -0.37067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.43871, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.36482, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntGoldProds,"{""coefficient"": -0.34959, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.42639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.34789, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumDealsPurchases,"{""coefficient"": 0.2218, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26058, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.23385, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumWebPurchases,"{""coefficient"": -0.36165, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.42188, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.361, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumWebVisitsMonth,"{""coefficient"": 0.44785, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.48165, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.41285, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,Recency,"{""coefficient"": 0.0162, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00989, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00805, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntWines,"{""coefficient"": 0.00485, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.11141, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09078, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntFruits,"{""coefficient"": -0.17676, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.20116, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.16603, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntMeatProducts,"{""coefficient"": -0.26116, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.12752, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10299, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntFishProducts,"{""coefficient"": -0.20419, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.22948, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.1893, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntSweetProducts,"{""coefficient"": -0.16248, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.19795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.1637, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntGoldProds,"{""coefficient"": -0.02173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02272, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01841, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumDealsPurchases,"{""coefficient"": 0.38774, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.48094, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43224, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumWebPurchases,"{""coefficient"": 0.1555, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.14613, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12436, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumCatalogPurchases,"{""coefficient"": -0.11077, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04375, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.03722, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumStorePurchases,"{""coefficient"": 0.0507, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07744, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06592, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumWebVisitsMonth,"{""coefficient"": 0.13488, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.11163, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09533, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntWines,"{""coefficient"": 0.01606, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01866, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0123, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntFruits,"{""coefficient"": -0.00431, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0253, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01706, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntMeatProducts,"{""coefficient"": 0.02306, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02782, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01905, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntFishProducts,"{""coefficient"": 0.00108, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00885, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntSweetProducts,"{""coefficient"": 0.02267, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0242, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01605, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntGoldProds,"{""coefficient"": 0.01669, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01231, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumDealsPurchases,"{""coefficient"": -0.0011, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00615, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumWebPurchases,"{""coefficient"": -0.01073, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00285, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumCatalogPurchases,"{""coefficient"": 0.02511, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03069, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02175, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumStorePurchases,"{""coefficient"": 0.0008, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00554, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumWebVisitsMonth,"{""coefficient"": -0.02144, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02189, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01554, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,NumDealsPurchases,"{""coefficient"": 0.01094, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05716, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05108, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,NumWebVisitsMonth,"{""coefficient"": -0.32065, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.38904, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.27733, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumDealsPurchases,"{""coefficient"": -0.13211, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10979, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.08091, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumWebPurchases,"{""coefficient"": 0.29673, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.47134, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34936, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumWebVisitsMonth,"{""coefficient"": -0.41838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.44286, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.32082, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumDealsPurchases,"{""coefficient"": -0.12242, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.03218, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00952, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,NumDealsPurchases,"{""coefficient"": -0.13936, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.11976, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.08769, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,NumWebPurchases,"{""coefficient"": 0.29368, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46642, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34573, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,NumWebVisitsMonth,"{""coefficient"": -0.446, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.45836, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.33158, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumDealsPurchases,"{""coefficient"": -0.1201, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10598, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.07823, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumWebPurchases,"{""coefficient"": 0.34854, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46359, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34685, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumWebVisitsMonth,"{""coefficient"": -0.42329, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.4486, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.32874, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,NumDealsPurchases,"{""coefficient"": 0.04909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08973, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07044, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,NumWebVisitsMonth,"{""coefficient"": -0.25072, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.26059, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.187, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumWebPurchases,"{""coefficient"": 0.23418, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.28417, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.23028, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumCatalogPurchases,"{""coefficient"": -0.00862, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.03979, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02387, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumStorePurchases,"{""coefficient"": 0.06888, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08605, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumDealsPurchases,NumWebVisitsMonth,"{""coefficient"": 0.34763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.39785, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.32181, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumWebPurchases,NumWebVisitsMonth,"{""coefficient"": -0.05585, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.09722, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05795, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,NumStorePurchases,NumWebVisitsMonth,"{""coefficient"": -0.42847, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.4542, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.34436, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Dream Weight,"{""coefficient"": 0.01275, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01221, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00795, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Actual Weight,"{""coefficient"": 0.01044, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0102, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00668, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Age,"{""coefficient"": -0.00111, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00044, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00015, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Duration,"{""coefficient"": 0.02179, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02178, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01463, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Heart Rate,"{""coefficient"": -0.03589, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0356, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02393, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Calories Burn,BMI,"{""coefficient"": 0.0126, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01259, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00846, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Dream Weight,Age,"{""coefficient"": 0.00669, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00647, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00441, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Dream Weight,Duration,"{""coefficient"": 0.01612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01587, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01071, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Dream Weight,Heart Rate,"{""coefficient"": -0.00185, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00103, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00066, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Dream Weight,BMI,"{""coefficient"": 0.00224, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00197, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00133, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Actual Weight,Age,"{""coefficient"": 0.00337, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00345, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00236, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Actual Weight,Duration,"{""coefficient"": 0.02049, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02033, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01366, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Actual Weight,Heart Rate,"{""coefficient"": -0.00254, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00181, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0011, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Actual Weight,BMI,"{""coefficient"": -0.0037, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00317, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00216, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Age,Duration,"{""coefficient"": -0.00657, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00623, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00423, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Age,Heart Rate,"{""coefficient"": -0.00894, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00859, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.006, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Age,BMI,"{""coefficient"": -0.00292, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00286, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00184, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Duration,Heart Rate,"{""coefficient"": 0.01494, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01523, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0103, ""conclusion"": ""Not strongly correlated""}"
Exercise and Fitness Metrics Dataset,Duration,BMI,"{""coefficient"": 0.0202, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02035, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01386, ""conclusion"": ""Not strongly correlated""}"
