Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test
Pokedex Dataset,Sp_Atk,Sp_Def,"{""p value"": 0.09341, ""conclusion"": ""Distribution not significantly different""}"
Pokedex Dataset,Sp_Atk,Speed,"{""p value"": 0.47677, ""conclusion"": ""Distribution not significantly different""}"
Rainfall Dataset of Barak Velly,JAN,DEC,"{""p value"": 0.27074, ""conclusion"": ""Distribution not significantly different""}"
Rainfall Dataset of Barak Velly,FEB,NOV,"{""p value"": 0.15929, ""conclusion"": ""Distribution not significantly different""}"
Rainfall Dataset of Barak Velly,JUN,JUL,"{""p value"": 0.42954, ""conclusion"": ""Distribution not significantly different""}"
Rainfall Dataset of Barak Velly,JUL,AUG,"{""p value"": 0.06366, ""conclusion"": ""Distribution not significantly different""}"
Student Performance Prediction Dataset,freetime,goout,"{""p value"": 0.132, ""conclusion"": ""Distribution not significantly different""}"
Student Performance Prediction Dataset,G1,G2,"{""p value"": 0.767, ""conclusion"": ""Distribution not significantly different""}"
Student Performance Prediction Dataset,G2,G3,"{""p value"": 0.08828, ""conclusion"": ""Distribution not significantly different""}"
Students Math-Reading-Writing Performance Dataset,reading score,writing score,"{""p value"": 0.31368, ""conclusion"": ""Distribution not significantly different""}"
Students New MRW Score Dataset,math score,reading score,"{""p value"": 0.53628, ""conclusion"": ""Distribution not significantly different""}"
Students New MRW Score Dataset,math score,writing score,"{""p value"": 0.91369, ""conclusion"": ""Distribution not significantly different""}"
Students New MRW Score Dataset,reading score,writing score,"{""p value"": 0.85955, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Terrorism deaths,Terrorist Death Type : Killed,"{""p value"": 0.99863, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Attack method: Hijacking,Attack method: Hostage Taking (Barricade Incident),"{""p value"": 0.99974, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Attack method: Hijacking,Attack method: Unarmed Assault,"{""p value"": 0.96477, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Attack method: Hostage Taking (Barricade Incident),Attack method: Unarmed Assault,"{""p value"": 0.99268, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Attack method: Hostage Taking (Barricade Incident),Death Age : 21-50 ,"{""p value"": 0.07906, ""conclusion"": ""Distribution not significantly different""}"
Terrorist Attacks Dataset,Attack method: Unarmed Assault,Death Age : 21-50 ,"{""p value"": 0.13955, ""conclusion"": ""Distribution not significantly different""}"
Used Car Dataset,engine(cc),max_power(bhp),"{""p value"": 1.0, ""conclusion"": ""Distribution not significantly different""}"
