Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,Tenure,"{""coefficient"": -0.00706, ""p value"": 0.48019, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Tenure,"{""coefficient"": 0.01419, ""p value"": 0.156, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,Age,Balance,"{""coefficient"": -0.02316, ""p value"": 0.02056, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Balance,"{""coefficient"": 0.01906, ""p value"": 0.05664, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,Balance,"{""coefficient"": -0.0075, ""p value"": 0.4531, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Balance,"{""coefficient"": 0.01906, ""p value"": 0.05664, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,NumOfProducts,"{""coefficient"": -0.00671, ""p value"": 0.50255, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Balance,NumOfProducts,"{""coefficient"": 0.0179, ""p value"": 0.07342, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,China,Nigeria,"{""coefficient"": -0.39038, ""p value"": 0.74469, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,China,Nigeria,"{""coefficient"": -0.41995, ""p value"": 0.7241, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,China,Nigeria,"{""coefficient"": -0.44156, ""p value"": 0.70885, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Philippines,Nigeria,"{""coefficient"": -0.39038, ""p value"": 0.74469, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Thailand,Nigeria,"{""coefficient"": -0.41995, ""p value"": 0.7241, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Bangladesh,Nigeria,"{""coefficient"": -0.44156, ""p value"": 0.70885, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Thailand,Pakistan,"{""coefficient"": -0.47759, ""p value"": 0.68302, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Nigeria,Pakistan,"{""coefficient"": -0.01562, ""p value"": 0.99005, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,India,Pakistan,"{""coefficient"": 0.17741, ""p value"": 0.88646, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Japan,Pakistan,"{""coefficient"": 0.3972, ""p value"": 0.73996, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Vietnam,Pakistan,"{""coefficient"": 0.32532, ""p value"": 0.78906, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Myanmar,Pakistan,"{""coefficient"": 0.3102, ""p value"": 0.79921, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Indonesia,Pakistan,"{""coefficient"": 0.22514, ""p value"": 0.85543, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Philippines,Pakistan,"{""coefficient"": 0.3102, ""p value"": 0.79921, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,China,Pakistan,"{""coefficient"": -0.14305, ""p value"": 0.90862, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Japan,Pakistan,"{""coefficient"": -0.47759, ""p value"": 0.68302, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,India,Pakistan,"{""coefficient"": -0.06065, ""p value"": 0.96137, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Nigeria,Pakistan,"{""coefficient"": 0.07833, ""p value"": 0.95008, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,India,Pakistan,"{""coefficient"": 0.26903, ""p value"": 0.82659, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Nigeria,Pakistan,"{""coefficient"": -0.30733, ""p value"": 0.80113, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Philippines,Pakistan,"{""coefficient"": 0.22514, ""p value"": 0.85543, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,China,Pakistan,"{""coefficient"": -0.22978, ""p value"": 0.8524, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Brazil,Pakistan,"{""coefficient"": -0.10005, ""p value"": 0.9362, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Myanmar,Pakistan,"{""coefficient"": -0.03009, ""p value"": 0.98084, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Vietnam,Pakistan,"{""coefficient"": 0.26903, ""p value"": 0.82659, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,United States,Pakistan,"{""coefficient"": 0.06487, ""p value"": 0.95868, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Thailand,Pakistan,"{""coefficient"": -0.17325, ""p value"": 0.88914, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Indonesia,Pakistan,"{""coefficient"": -0.22978, ""p value"": 0.8524, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Brazil,Japan,"{""coefficient"": 0.48731, ""p value"": 0.67596, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Myanmar,Japan,"{""coefficient"": 0.49975, ""p value"": 0.66685, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Pakistan,Japan,"{""coefficient"": -0.11971, ""p value"": 0.92361, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Pakistan,Japan,"{""coefficient"": 0.01589, ""p value"": 0.98989, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Pakistan,Japan,"{""coefficient"": -0.16737, ""p value"": 0.89295, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Pakistan,Japan,"{""coefficient"": -0.09341, ""p value"": 0.94045, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Nigeria,United States,"{""coefficient"": -0.02475, ""p value"": 0.98424, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Philippines,United States,"{""coefficient"": -0.00174, ""p value"": 0.99889, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Thailand,United States,"{""coefficient"": 0.40237, ""p value"": 0.73637, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Bangladesh,United States,"{""coefficient"": 0.12583, ""p value"": 0.91968, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,China,United States,"{""coefficient"": -0.23832, ""p value"": 0.8468, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Brazil,United States,"{""coefficient"": -0.09933, ""p value"": 0.93666, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Brazil,United States,"{""coefficient"": 0.40237, ""p value"": 0.73637, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Thailand,United States,"{""coefficient"": -0.4069, ""p value"": 0.73322, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Pakistan,United States,"{""coefficient"": -0.34828, ""p value"": 0.77353, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Vietnam,United States,"{""coefficient"": -0.4329, ""p value"": 0.71498, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Brazil,United States,"{""coefficient"": 0.05391, ""p value"": 0.96566, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Brazil,United States,"{""coefficient"": -0.23832, ""p value"": 0.8468, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Thailand,Brazil,"{""coefficient"": 0.42949, ""p value"": 0.71739, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Nigeria,Brazil,"{""coefficient"": 0.08368, ""p value"": 0.94666, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Japan,Brazil,"{""coefficient"": -0.39512, ""p value"": 0.7414, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,India,Brazil,"{""coefficient"": 0.1637, ""p value"": 0.89531, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Nigeria,Brazil,"{""coefficient"": 0.17521, ""p value"": 0.88788, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Japan,Brazil,"{""coefficient"": -0.47814, ""p value"": 0.68262, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,India,Brazil,"{""coefficient"": 0.25397, ""p value"": 0.83653, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Nigeria,Brazil,"{""coefficient"": 0.08167, ""p value"": 0.94795, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Japan,Brazil,"{""coefficient"": -0.39327, ""p value"": 0.74269, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,India,Brazil,"{""coefficient"": 0.16171, ""p value"": 0.8966, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Myanmar,Brazil,"{""coefficient"": 0.1637, ""p value"": 0.89531, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Indonesia,Brazil,"{""coefficient"": 0.16171, ""p value"": 0.8966, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Thailand,Brazil,"{""coefficient"": 0.26937, ""p value"": 0.82637, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Pakistan,Philippines,"{""coefficient"": 0.15249, ""p value"": 0.90254, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Pakistan,Philippines,"{""coefficient"": 0.29594, ""p value"": 0.80874, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Pakistan,Philippines,"{""coefficient"": 0.04706, ""p value"": 0.97003, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Nigeria,Myanmar,"{""coefficient"": 0.29998, ""p value"": 0.80604, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,United States,Myanmar,"{""coefficient"": 0.39893, ""p value"": 0.73877, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Bangladesh,Myanmar,"{""coefficient"": 0.41378, ""p value"": 0.72842, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,China,Myanmar,"{""coefficient"": 0.11335, ""p value"": 0.92768, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Indonesia,Myanmar,"{""coefficient"": 0.41378, ""p value"": 0.72842, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Indonesia,Myanmar,"{""coefficient"": 0.36515, ""p value"": 0.76203, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Indonesia,Myanmar,"{""coefficient"": 0.11335, ""p value"": 0.92768, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Myanmar,Thailand,"{""coefficient"": 0.43584, ""p value"": 0.7129, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Brazil,Thailand,"{""coefficient"": 0.23293, ""p value"": 0.85033, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Myanmar,Thailand,"{""coefficient"": -0.46443, ""p value"": 0.69252, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Indonesia,Bangladesh,Vietnam,"{""coefficient"": -0.19343, ""p value"": 0.87608, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,United States,Vietnam,"{""coefficient"": 0.24711, ""p value"": 0.84104, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Thailand,Vietnam,"{""coefficient"": -0.12546, ""p value"": 0.91992, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Pakistan,Vietnam,"{""coefficient"": 0.33439, ""p value"": 0.78294, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Pakistan,Vietnam,"{""coefficient"": 0.161, ""p value"": 0.89705, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Bangladesh,Brazil,Indonesia,"{""coefficient"": 0.26673, ""p value"": 0.82811, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Brazil,Indonesia,"{""coefficient"": 0.30123, ""p value"": 0.80521, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,China,Brazil,Indonesia,"{""coefficient"": 0.07484, ""p value"": 0.95231, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Pakistan,Bangladesh,"{""coefficient"": 0.27423, ""p value"": 0.82315, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,India,Vietnam,Bangladesh,"{""coefficient"": -0.44508, ""p value"": 0.70635, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,Teenhome,Income,"{""coefficient"": -0.03506, ""p value"": 0.09904, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntWines,Income,"{""coefficient"": -0.33832, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,Income,"{""coefficient"": -0.25737, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,MntSweetProducts,Income,"{""coefficient"": -0.23317, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumDealsPurchases,Income,"{""coefficient"": 0.20136, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,Income,"{""coefficient"": -0.34513, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Kidhome,NumWebVisitsMonth,Income,"{""coefficient"": 0.27951, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,Recency,Income,"{""coefficient"": 0.01392, ""p value"": 0.51271, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntFruits,Income,"{""coefficient"": -0.20482, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntFishProducts,Income,"{""coefficient"": -0.2378, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,MntGoldProds,Income,"{""coefficient"": -0.02764, ""p value"": 0.19353, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumWebPurchases,Income,"{""coefficient"": 0.16782, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Teenhome,NumStorePurchases,Income,"{""coefficient"": 0.04669, ""p value"": 0.02798, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,Kidhome,Income,"{""coefficient"": 0.01084, ""p value"": 0.61023, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntWines,Income,"{""coefficient"": 0.02209, ""p value"": 0.29866, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntMeatProducts,Income,"{""coefficient"": 0.03062, ""p value"": 0.14975, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,MntSweetProducts,Income,"{""coefficient"": 0.02992, ""p value"": 0.15919, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumDealsPurchases,Income,"{""coefficient"": 0.00179, ""p value"": 0.93283, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumCatalogPurchases,Income,"{""coefficient"": 0.0327, ""p value"": 0.12394, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,Recency,NumWebVisitsMonth,Income,"{""coefficient"": -0.02492, ""p value"": 0.2411, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,Teenhome,Income,"{""coefficient"": -0.00898, ""p value"": 0.67263, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,MntFruits,Income,"{""coefficient"": 0.18712, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,MntFishProducts,Income,"{""coefficient"": 0.19618, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,MntGoldProds,Income,"{""coefficient"": 0.26476, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,NumWebPurchases,Income,"{""coefficient"": 0.43811, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntWines,NumStorePurchases,Income,"{""coefficient"": 0.48227, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,Kidhome,Income,"{""coefficient"": -0.23146, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,Recency,Income,"{""coefficient"": -0.00458, ""p value"": 0.82942, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,MntMeatProducts,Income,"{""coefficient"": 0.40421, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,Income,"{""coefficient"": 0.47123, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumDealsPurchases,Income,"{""coefficient"": -0.10976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumCatalogPurchases,Income,"{""coefficient"": 0.31875, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFruits,NumWebVisitsMonth,Income,"{""coefficient"": -0.23999, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,Teenhome,Income,"{""coefficient"": -0.33571, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntWines,Income,"{""coefficient"": 0.34845, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntFishProducts,Income,"{""coefficient"": 0.43484, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,MntGoldProds,Income,"{""coefficient"": 0.22021, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumWebPurchases,Income,"{""coefficient"": 0.10742, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntMeatProducts,NumWebVisitsMonth,Income,"{""coefficient"": -0.31976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,Teenhome,Income,"{""coefficient"": -0.2378, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,MntWines,Income,"{""coefficient"": 0.19618, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,MntMeatProducts,Income,"{""coefficient"": 0.43484, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,MntGoldProds,Income,"{""coefficient"": 0.33444, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,NumWebPurchases,Income,"{""coefficient"": 0.15631, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntFishProducts,NumStorePurchases,Income,"{""coefficient"": 0.2957, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,Kidhome,Income,"{""coefficient"": -0.23317, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,Recency,Income,"{""coefficient"": 0.02992, ""p value"": 0.15919, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,MntFruits,Income,"{""coefficient"": 0.47123, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,MntFishProducts,Income,"{""coefficient"": 0.48407, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumDealsPurchases,Income,"{""coefficient"": -0.0948, ""p value"": 1e-05, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumCatalogPurchases,Income,"{""coefficient"": 0.32465, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntSweetProducts,NumWebVisitsMonth,Income,"{""coefficient"": -0.23882, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,Teenhome,Income,"{""coefficient"": -0.02764, ""p value"": 0.19353, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,MntWines,Income,"{""coefficient"": 0.26476, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,MntMeatProducts,Income,"{""coefficient"": 0.22021, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,MntSweetProducts,Income,"{""coefficient"": 0.25194, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,NumWebPurchases,Income,"{""coefficient"": 0.32207, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,Income,"{""coefficient"": 0.27012, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
