Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient,question,difficulty
Bank Customer Churn Prediction Dataset,NumOfProducts,Tenure,CreditScore,"{""coefficient"": 0.01341, ""p value"": 0.17992, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of CreditScore, what correlation exists between NumOfProducts and Tenure?",medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,CreditScore,"{""coefficient"": 0.01431, ""p value"": 0.15243, ""conclusion"": ""Not strongly correlated""}",What connection exists between NumOfProducts and EstimatedSalary upon controlling for CreditScore?,medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Tenure,CreditScore,"{""coefficient"": 0.00783, ""p value"": 0.43362, ""conclusion"": ""Not strongly correlated""}","When CreditScore is fixed, how do EstimatedSalary and Tenure correlate?",medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,CreditScore,"{""coefficient"": 0.01431, ""p value"": 0.15243, ""conclusion"": ""Not strongly correlated""}","With CreditScore controlled, what is the correlation strength between EstimatedSalary and NumOfProducts?",medium
Bank Customer Churn Prediction Dataset,Tenure,Balance,Age,"{""coefficient"": -0.01191, ""p value"": 0.23389, ""conclusion"": ""Not strongly correlated""}","After neutralizing the effect of Age, how do Tenure and Balance relate to each other?",medium
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,Age,"{""coefficient"": 0.00771, ""p value"": 0.44093, ""conclusion"": ""Not strongly correlated""}",How does Tenure correlate with EstimatedSalary when Age is held constant?,medium
Bank Customer Churn Prediction Dataset,Balance,Tenure,Age,"{""coefficient"": -0.01191, ""p value"": 0.23389, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between Balance and Tenure after Age is considered?,medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,Age,"{""coefficient"": 0.01296, ""p value"": 0.19507, ""conclusion"": ""Not strongly correlated""}",How does controlling for Age change the relationship between Balance and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,Tenure,Age,"{""coefficient"": 0.01302, ""p value"": 0.1929, ""conclusion"": ""Not strongly correlated""}",How does NumOfProducts correlate with Tenure when Age is held constant?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Age,"{""coefficient"": 0.01403, ""p value"": 0.16052, ""conclusion"": ""Not strongly correlated""}","After Age is controlled for, what remains the relationship between NumOfProducts and EstimatedSalary?",medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Tenure,Age,"{""coefficient"": 0.00771, ""p value"": 0.44093, ""conclusion"": ""Not strongly correlated""}",How does the relationship between EstimatedSalary and Tenure manifest when isolating Age?,medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Age,"{""coefficient"": 0.01403, ""p value"": 0.16052, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between EstimatedSalary and NumOfProducts after Age is considered?,medium
Bank Customer Churn Prediction Dataset,Balance,Age,Tenure,"{""coefficient"": 0.0282, ""p value"": 0.0048, ""conclusion"": ""Not strongly correlated""}","After neutralizing the effect of Tenure, how do Balance and Age relate to each other?",medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,Tenure,"{""coefficient"": 0.0128, ""p value"": 0.20051, ""conclusion"": ""Not strongly correlated""}",How does controlling for Tenure change the relationship between Balance and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,Age,Tenure,"{""coefficient"": -0.03054, ""p value"": 0.00226, ""conclusion"": ""Not strongly correlated""}","After Tenure is controlled for, what remains the relationship between NumOfProducts and Age?",medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Tenure,"{""coefficient"": 0.01419, ""p value"": 0.156, ""conclusion"": ""Not strongly correlated""}",What is the impact of NumOfProducts on EstimatedSalary with Tenure taken into consideration?,medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,Tenure,"{""coefficient"": -0.00706, ""p value"": 0.48019, ""conclusion"": ""Not strongly correlated""}","After Tenure is controlled for, what remains the relationship between EstimatedSalary and Age?",medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Tenure,"{""coefficient"": 0.01419, ""p value"": 0.156, ""conclusion"": ""Not strongly correlated""}",What connection exists between EstimatedSalary and NumOfProducts upon controlling for Tenure?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,Age,Balance,"{""coefficient"": -0.02316, ""p value"": 0.02056, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of Balance, what correlation exists between NumOfProducts and Age?",medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Balance,"{""coefficient"": 0.01906, ""p value"": 0.05664, ""conclusion"": ""Not strongly correlated""}","With Balance controlled, what is the correlation strength between NumOfProducts and EstimatedSalary?",medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,Balance,"{""coefficient"": -0.0075, ""p value"": 0.4531, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between EstimatedSalary and Age when controlling for Balance?,medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Balance,"{""coefficient"": 0.01906, ""p value"": 0.05664, ""conclusion"": ""Not strongly correlated""}","When Balance is fixed, how do EstimatedSalary and NumOfProducts correlate?",medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Age,NumOfProducts,"{""coefficient"": -0.00671, ""p value"": 0.50255, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between EstimatedSalary and Age after NumOfProducts is considered?,medium
Bank Customer Churn Prediction Dataset,EstimatedSalary,Balance,NumOfProducts,"{""coefficient"": 0.0179, ""p value"": 0.07342, ""conclusion"": ""Not strongly correlated""}","With the influence of NumOfProducts removed, how are EstimatedSalary and Balance related?",medium
Customer Personality Analysis Dataset,Kidhome,MntWines,Income,"{""coefficient"": -0.33832, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between Kidhome and MntWines after Income is considered?,medium
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,Income,"{""coefficient"": -0.25737, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After factoring in Income, how do Kidhome and MntMeatProducts interact?",medium
Customer Personality Analysis Dataset,Kidhome,MntSweetProducts,Income,"{""coefficient"": -0.23317, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between Kidhome and MntSweetProducts?",medium
Customer Personality Analysis Dataset,Kidhome,NumDealsPurchases,Income,"{""coefficient"": 0.20136, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are Kidhome and NumDealsPurchases related?",medium
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,Income,"{""coefficient"": -0.34513, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After factoring in Income, how do Kidhome and NumCatalogPurchases interact?",medium
Customer Personality Analysis Dataset,Kidhome,NumWebVisitsMonth,Income,"{""coefficient"": 0.27951, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between Kidhome and NumWebVisitsMonth?",medium
Customer Personality Analysis Dataset,Teenhome,Recency,Income,"{""coefficient"": 0.01392, ""p value"": 0.51271, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are Teenhome and Recency related?",medium
Customer Personality Analysis Dataset,Teenhome,MntFruits,Income,"{""coefficient"": -0.20482, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With Income controlled, what is the correlation strength between Teenhome and MntFruits?",medium
Customer Personality Analysis Dataset,Teenhome,MntFishProducts,Income,"{""coefficient"": -0.2378, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With Income controlled, what is the correlation strength between Teenhome and MntFishProducts?",medium
Customer Personality Analysis Dataset,Teenhome,MntGoldProds,Income,"{""coefficient"": -0.02764, ""p value"": 0.19353, ""conclusion"": ""Not strongly correlated""}",How does Teenhome correlate with MntGoldProds when Income is held constant?,medium
Customer Personality Analysis Dataset,Teenhome,NumWebPurchases,Income,"{""coefficient"": 0.16782, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With Income controlled, what is the correlation strength between Teenhome and NumWebPurchases?",medium
Customer Personality Analysis Dataset,Teenhome,NumStorePurchases,Income,"{""coefficient"": 0.04669, ""p value"": 0.02798, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between Teenhome and NumStorePurchases when controlling for Income?,medium
Customer Personality Analysis Dataset,Recency,Kidhome,Income,"{""coefficient"": 0.01084, ""p value"": 0.61023, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between Recency and Kidhome after Income is considered?,medium
Customer Personality Analysis Dataset,Recency,MntWines,Income,"{""coefficient"": 0.02209, ""p value"": 0.29866, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between Recency and MntWines?,medium
Customer Personality Analysis Dataset,Recency,MntMeatProducts,Income,"{""coefficient"": 0.03062, ""p value"": 0.14975, ""conclusion"": ""Not strongly correlated""}",What is the partial correlation between Recency and MntMeatProducts considering Income?,medium
Customer Personality Analysis Dataset,Recency,MntSweetProducts,Income,"{""coefficient"": 0.02992, ""p value"": 0.15919, ""conclusion"": ""Not strongly correlated""}",What is the partial correlation between Recency and MntSweetProducts considering Income?,medium
Customer Personality Analysis Dataset,Recency,NumDealsPurchases,Income,"{""coefficient"": 0.00179, ""p value"": 0.93283, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between Recency and NumDealsPurchases after Income is considered?,medium
Customer Personality Analysis Dataset,Recency,NumCatalogPurchases,Income,"{""coefficient"": 0.0327, ""p value"": 0.12394, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between Recency and NumCatalogPurchases?,medium
Customer Personality Analysis Dataset,Recency,NumWebVisitsMonth,Income,"{""coefficient"": -0.02492, ""p value"": 0.2411, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are Recency and NumWebVisitsMonth related?",medium
Customer Personality Analysis Dataset,MntWines,Teenhome,Income,"{""coefficient"": -0.00898, ""p value"": 0.67263, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between MntWines and Teenhome?,medium
Customer Personality Analysis Dataset,MntWines,MntFruits,Income,"{""coefficient"": 0.18712, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between MntWines and MntFruits?,medium
Customer Personality Analysis Dataset,MntWines,MntFishProducts,Income,"{""coefficient"": 0.19618, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does MntWines correlate with MntFishProducts when Income is held constant?,medium
Customer Personality Analysis Dataset,MntWines,MntGoldProds,Income,"{""coefficient"": 0.26476, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are MntWines and MntGoldProds related?",medium
Customer Personality Analysis Dataset,MntWines,NumWebPurchases,Income,"{""coefficient"": 0.43811, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntWines and NumWebPurchases when controlling for Income?,medium
Customer Personality Analysis Dataset,MntWines,NumStorePurchases,Income,"{""coefficient"": 0.48227, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does MntWines correlate with NumStorePurchases when Income is held constant?,medium
Customer Personality Analysis Dataset,MntFruits,Kidhome,Income,"{""coefficient"": -0.23146, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntFruits and Kidhome when controlling for Income?,medium
Customer Personality Analysis Dataset,MntFruits,Recency,Income,"{""coefficient"": -0.00458, ""p value"": 0.82942, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are MntFruits and Recency related?",medium
Customer Personality Analysis Dataset,MntFruits,MntMeatProducts,Income,"{""coefficient"": 0.40421, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between MntFruits and MntMeatProducts manifest when isolating Income?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,Income,"{""coefficient"": 0.47123, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the impact of MntFruits on MntSweetProducts with Income taken into consideration?,medium
Customer Personality Analysis Dataset,MntFruits,NumDealsPurchases,Income,"{""coefficient"": -0.10976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between MntFruits and NumDealsPurchases?,medium
Customer Personality Analysis Dataset,MntFruits,NumCatalogPurchases,Income,"{""coefficient"": 0.31875, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntFruits and NumCatalogPurchases when controlling for Income?,medium
Customer Personality Analysis Dataset,MntFruits,NumWebVisitsMonth,Income,"{""coefficient"": -0.23999, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the impact of MntFruits on NumWebVisitsMonth with Income taken into consideration?,medium
Customer Personality Analysis Dataset,MntMeatProducts,Teenhome,Income,"{""coefficient"": -0.33571, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With Income controlled, what is the correlation strength between MntMeatProducts and Teenhome?",medium
Customer Personality Analysis Dataset,MntMeatProducts,MntWines,Income,"{""coefficient"": 0.34845, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between MntMeatProducts and MntWines?,medium
Customer Personality Analysis Dataset,MntMeatProducts,MntFishProducts,Income,"{""coefficient"": 0.43484, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between MntMeatProducts and MntFishProducts manifest when isolating Income?,medium
Customer Personality Analysis Dataset,MntMeatProducts,MntGoldProds,Income,"{""coefficient"": 0.22021, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the impact of MntMeatProducts on MntGoldProds with Income taken into consideration?,medium
Customer Personality Analysis Dataset,MntMeatProducts,NumWebPurchases,Income,"{""coefficient"": 0.10742, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","When Income is fixed, how do MntMeatProducts and NumWebPurchases correlate?",medium
Customer Personality Analysis Dataset,MntMeatProducts,NumWebVisitsMonth,Income,"{""coefficient"": -0.31976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the partial correlation between MntMeatProducts and NumWebVisitsMonth considering Income?,medium
Customer Personality Analysis Dataset,MntFishProducts,Teenhome,Income,"{""coefficient"": -0.2378, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What connection exists between MntFishProducts and Teenhome upon controlling for Income?,medium
Customer Personality Analysis Dataset,MntFishProducts,MntWines,Income,"{""coefficient"": 0.19618, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between MntFishProducts and MntWines manifest when isolating Income?,medium
Customer Personality Analysis Dataset,MntFishProducts,MntMeatProducts,Income,"{""coefficient"": 0.43484, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between MntFishProducts and MntMeatProducts manifest when isolating Income?,medium
Customer Personality Analysis Dataset,MntFishProducts,MntGoldProds,Income,"{""coefficient"": 0.33444, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between MntFishProducts and MntGoldProds after Income is considered?,medium
Customer Personality Analysis Dataset,MntFishProducts,NumWebPurchases,Income,"{""coefficient"": 0.15631, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After neutralizing the effect of Income, how do MntFishProducts and NumWebPurchases relate to each other?",medium
Customer Personality Analysis Dataset,MntFishProducts,NumStorePurchases,Income,"{""coefficient"": 0.2957, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What connection exists between MntFishProducts and NumStorePurchases upon controlling for Income?,medium
Customer Personality Analysis Dataset,MntSweetProducts,Kidhome,Income,"{""coefficient"": -0.23317, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between MntSweetProducts and Kidhome manifest when isolating Income?,medium
Customer Personality Analysis Dataset,MntSweetProducts,Recency,Income,"{""coefficient"": 0.02992, ""p value"": 0.15919, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntSweetProducts and Recency when controlling for Income?,medium
Customer Personality Analysis Dataset,MntSweetProducts,MntFruits,Income,"{""coefficient"": 0.47123, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","When Income is fixed, how do MntSweetProducts and MntFruits correlate?",medium
Customer Personality Analysis Dataset,MntSweetProducts,MntFishProducts,Income,"{""coefficient"": 0.48407, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntSweetProducts and MntFishProducts when controlling for Income?,medium
Customer Personality Analysis Dataset,MntSweetProducts,NumDealsPurchases,Income,"{""coefficient"": -0.0948, ""p value"": 1e-05, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between MntSweetProducts and NumDealsPurchases after Income is considered?,medium
Customer Personality Analysis Dataset,MntSweetProducts,NumCatalogPurchases,Income,"{""coefficient"": 0.32465, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between MntSweetProducts and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,MntSweetProducts,NumWebVisitsMonth,Income,"{""coefficient"": -0.23882, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are MntSweetProducts and NumWebVisitsMonth related?",medium
Customer Personality Analysis Dataset,MntGoldProds,Teenhome,Income,"{""coefficient"": -0.02764, ""p value"": 0.19353, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between MntGoldProds and Teenhome?",medium
Customer Personality Analysis Dataset,MntGoldProds,MntWines,Income,"{""coefficient"": 0.26476, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between MntGoldProds and MntWines?",medium
Customer Personality Analysis Dataset,MntGoldProds,MntMeatProducts,Income,"{""coefficient"": 0.22021, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between MntGoldProds and MntMeatProducts?,medium
Customer Personality Analysis Dataset,MntGoldProds,MntSweetProducts,Income,"{""coefficient"": 0.25194, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between MntGoldProds and MntSweetProducts when controlling for Income?,medium
Customer Personality Analysis Dataset,MntGoldProds,NumWebPurchases,Income,"{""coefficient"": 0.32207, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After neutralizing the effect of Income, how do MntGoldProds and NumWebPurchases relate to each other?",medium
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,Income,"{""coefficient"": 0.27012, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the impact of MntGoldProds on NumStorePurchases with Income taken into consideration?,medium
Customer Personality Analysis Dataset,NumDealsPurchases,Kidhome,Income,"{""coefficient"": 0.20136, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What connection exists between NumDealsPurchases and Kidhome upon controlling for Income?,medium
Customer Personality Analysis Dataset,NumDealsPurchases,Recency,Income,"{""coefficient"": 0.00179, ""p value"": 0.93283, ""conclusion"": ""Not strongly correlated""}","After Income is controlled for, what remains the relationship between NumDealsPurchases and Recency?",medium
Customer Personality Analysis Dataset,NumDealsPurchases,MntFruits,Income,"{""coefficient"": -0.10976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of Income, what correlation exists between NumDealsPurchases and MntFruits?",medium
Customer Personality Analysis Dataset,NumDealsPurchases,MntFishProducts,Income,"{""coefficient"": -0.11924, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are NumDealsPurchases and MntFishProducts related?",medium
Customer Personality Analysis Dataset,NumDealsPurchases,MntGoldProds,Income,"{""coefficient"": 0.08384, ""p value"": 8e-05, ""conclusion"": ""Not strongly correlated""}",How does NumDealsPurchases correlate with MntGoldProds when Income is held constant?,medium
Customer Personality Analysis Dataset,NumDealsPurchases,NumCatalogPurchases,Income,"{""coefficient"": 0.04575, ""p value"": 0.0313, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between NumDealsPurchases and NumCatalogPurchases after Income is considered?,medium
Customer Personality Analysis Dataset,NumDealsPurchases,NumWebVisitsMonth,Income,"{""coefficient"": 0.36144, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between NumDealsPurchases and NumWebVisitsMonth?,medium
Customer Personality Analysis Dataset,NumWebPurchases,Teenhome,Income,"{""coefficient"": 0.16782, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between NumWebPurchases and Teenhome?,medium
Customer Personality Analysis Dataset,NumWebPurchases,MntWines,Income,"{""coefficient"": 0.43811, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between NumWebPurchases and MntWines?",medium
Customer Personality Analysis Dataset,NumWebPurchases,MntMeatProducts,Income,"{""coefficient"": 0.10742, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between NumWebPurchases and MntMeatProducts after Income is considered?,medium
Customer Personality Analysis Dataset,NumWebPurchases,MntSweetProducts,Income,"{""coefficient"": 0.19699, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the partial correlation between NumWebPurchases and MntSweetProducts considering Income?,medium
Customer Personality Analysis Dataset,NumWebPurchases,NumDealsPurchases,Income,"{""coefficient"": 0.29795, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between NumWebPurchases and NumDealsPurchases after Income is considered?,medium
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,Income,"{""coefficient"": 0.3976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does NumWebPurchases correlate with NumStorePurchases when Income is held constant?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Kidhome,Income,"{""coefficient"": -0.34513, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After Income is controlled for, what remains the relationship between NumCatalogPurchases and Kidhome?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Recency,Income,"{""coefficient"": 0.0327, ""p value"": 0.12394, ""conclusion"": ""Not strongly correlated""}","After factoring in Income, how do NumCatalogPurchases and Recency interact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntFruits,Income,"{""coefficient"": 0.31875, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does controlling for Income change the relationship between NumCatalogPurchases and MntFruits?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntSweetProducts,Income,"{""coefficient"": 0.32465, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between NumCatalogPurchases and MntSweetProducts after Income is considered?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,NumDealsPurchases,Income,"{""coefficient"": 0.04575, ""p value"": 0.0313, ""conclusion"": ""Not strongly correlated""}",How does NumCatalogPurchases correlate with NumDealsPurchases when Income is held constant?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,Income,"{""coefficient"": 0.30045, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between NumCatalogPurchases and NumStorePurchases when controlling for Income?,medium
Customer Personality Analysis Dataset,NumStorePurchases,Kidhome,Income,"{""coefficient"": -0.35803, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",Is there a significant link between NumStorePurchases and Kidhome when controlling for Income?,medium
Customer Personality Analysis Dataset,NumStorePurchases,Recency,Income,"{""coefficient"": 0.00197, ""p value"": 0.92633, ""conclusion"": ""Not strongly correlated""}","After controlling for Income, what is the relationship between NumStorePurchases and Recency?",medium
Customer Personality Analysis Dataset,NumStorePurchases,MntFruits,Income,"{""coefficient"": 0.30096, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between NumStorePurchases and MntFruits manifest when isolating Income?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntFishProducts,Income,"{""coefficient"": 0.2957, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of Income, what correlation exists between NumStorePurchases and MntFishProducts?",medium
Customer Personality Analysis Dataset,NumStorePurchases,MntGoldProds,Income,"{""coefficient"": 0.27012, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of Income, what correlation exists between NumStorePurchases and MntGoldProds?",medium
Customer Personality Analysis Dataset,NumStorePurchases,NumWebPurchases,Income,"{""coefficient"": 0.3976, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","With the influence of Income removed, how are NumStorePurchases and NumWebPurchases related?",medium
