Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""coefficient"": 0.58463, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81682, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61877, ""conclusion"": ""Strongly correlated""}",Do patterns observed in Income similarly appear in MntMeatProducts?,easy
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""coefficient"": 0.58463, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81682, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61877, ""conclusion"": ""Strongly correlated""}",Do changes in Income relate to changes in MntMeatProducts?,easy
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""coefficient"": 0.58463, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81682, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61877, ""conclusion"": ""Strongly correlated""}",How does the direction of change in Income relate to MntMeatProducts?,easy
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""coefficient"": 0.58463, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81682, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61877, ""conclusion"": ""Strongly correlated""}",Are variations in Income associated with variations in MntMeatProducts?,easy
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""coefficient"": 0.43887, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57739, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39718, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Income and MntFishProducts?,easy
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""coefficient"": 0.43887, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57739, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39718, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Income similarly appear in MntFishProducts?,easy
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""coefficient"": 0.43887, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57739, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39718, ""conclusion"": ""Not strongly correlated""}",Are variations in Income associated with variations in MntFishProducts?,easy
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""coefficient"": 0.43887, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57739, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39718, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Income and MntFishProducts?,easy
Customer Personality Analysis Dataset,Income,MntFishProducts,"{""coefficient"": 0.43887, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57739, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39718, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Income relate to MntFishProducts?,easy
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""coefficient"": 0.44074, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.56709, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39135, ""conclusion"": ""Not strongly correlated""}",Do changes in Income relate to changes in MntSweetProducts?,easy
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""coefficient"": 0.44074, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.56709, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39135, ""conclusion"": ""Not strongly correlated""}",Are variations in Income associated with variations in MntSweetProducts?,easy
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""coefficient"": 0.44074, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.56709, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39135, ""conclusion"": ""Not strongly correlated""}",How closely do Income and MntSweetProducts follow a straight-line relationship?,easy
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""coefficient"": 0.44074, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.56709, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39135, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Income and MntSweetProducts?,easy
Customer Personality Analysis Dataset,Income,MntSweetProducts,"{""coefficient"": 0.44074, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.56709, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39135, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Income and MntSweetProducts?,easy
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""coefficient"": 0.32592, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50555, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.34164, ""conclusion"": ""Not strongly correlated""}",Are Income and MntGoldProds correlated with each other in a linear manner?,easy
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""coefficient"": 0.32592, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50555, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.34164, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Income and MntGoldProds?,easy
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""coefficient"": 0.32592, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50555, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.34164, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Income and MntGoldProds consistent?,easy
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""coefficient"": 0.32592, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50555, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.34164, ""conclusion"": ""Not strongly correlated""}",Is the connection between Income and MntGoldProds strong?,easy
Customer Personality Analysis Dataset,Income,MntGoldProds,"{""coefficient"": 0.32592, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50555, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.34164, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Income similarly appear in MntGoldProds?,easy
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""coefficient"": 0.38788, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57326, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.40264, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Income and NumWebPurchases?,easy
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""coefficient"": 0.38788, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57326, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.40264, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Income and NumWebPurchases over time?,easy
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""coefficient"": 0.38788, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57326, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.40264, ""conclusion"": ""Not strongly correlated""}",Is the connection between Income and NumWebPurchases strong?,easy
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""coefficient"": 0.38788, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57326, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.40264, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Income and NumWebPurchases consistent?,easy
Customer Personality Analysis Dataset,Income,NumWebPurchases,"{""coefficient"": 0.38788, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57326, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.40264, ""conclusion"": ""Not strongly correlated""}",Are Income and NumWebPurchases related in any way?,easy
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""coefficient"": 0.58916, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61851, ""conclusion"": ""Strongly correlated""}",Is there a correlation between Income and NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""coefficient"": 0.58916, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61851, ""conclusion"": ""Strongly correlated""}",How closely do Income and NumCatalogPurchases follow a straight-line relationship?,easy
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""coefficient"": 0.58916, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61851, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between Income and NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""coefficient"": 0.58916, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61851, ""conclusion"": ""Strongly correlated""}",How do changes in Income correlate with changes in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Income,NumCatalogPurchases,"{""coefficient"": 0.58916, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61851, ""conclusion"": ""Strongly correlated""}",Are Income and NumCatalogPurchases related in any way?,easy
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""coefficient"": 0.52936, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.73175, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54458, ""conclusion"": ""Strongly correlated""}",Is the relationship between Income and NumStorePurchases consistent?,easy
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""coefficient"": 0.52936, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.73175, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54458, ""conclusion"": ""Strongly correlated""}",How do changes in Income correlate with changes in NumStorePurchases?,easy
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""coefficient"": 0.52936, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.73175, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54458, ""conclusion"": ""Strongly correlated""}",Are variations in Income associated with variations in NumStorePurchases?,easy
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""coefficient"": 0.52936, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.73175, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54458, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between Income and NumStorePurchases?,easy
Customer Personality Analysis Dataset,Income,NumStorePurchases,"{""coefficient"": 0.52936, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.73175, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54458, ""conclusion"": ""Strongly correlated""}",Are Income and NumStorePurchases related in any way?,easy
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""coefficient"": -0.55309, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.64367, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.48555, ""conclusion"": ""Not strongly correlated""}",How do changes in Income correlate with changes in NumWebVisitsMonth?,easy
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""coefficient"": -0.55309, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.64367, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.48555, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Income and NumWebVisitsMonth?,easy
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""coefficient"": -0.55309, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.64367, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.48555, ""conclusion"": ""Not strongly correlated""}",Do Income and NumWebVisitsMonth show any linear correlation?,easy
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""coefficient"": -0.55309, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.64367, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.48555, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Income and NumWebVisitsMonth consistent?,easy
Customer Personality Analysis Dataset,Income,NumWebVisitsMonth,"{""coefficient"": -0.55309, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.64367, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.48555, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Income and NumWebVisitsMonth over time?,easy
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""coefficient"": -0.4963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.58031, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.46963, ""conclusion"": ""Not strongly correlated""}",Do changes in Kidhome relate to changes in MntWines?,easy
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""coefficient"": -0.4963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.58031, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.46963, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Kidhome and MntWines?,easy
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""coefficient"": -0.4963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.58031, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.46963, ""conclusion"": ""Not strongly correlated""}",Is the connection between Kidhome and MntWines strong?,easy
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""coefficient"": -0.4963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.58031, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.46963, ""conclusion"": ""Not strongly correlated""}",Are Kidhome and MntWines related in any way?,easy
Customer Personality Analysis Dataset,Kidhome,MntWines,"{""coefficient"": -0.4963, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.58031, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.46963, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Kidhome and MntWines consistent?,easy
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""coefficient"": -0.43713, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.4478, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Kidhome relate to MntMeatProducts?,easy
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""coefficient"": -0.43713, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.4478, ""conclusion"": ""Not strongly correlated""}",Are movements in Kidhome reflected similarly in MntMeatProducts?,easy
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""coefficient"": -0.43713, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.4478, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Kidhome and MntMeatProducts?,easy
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""coefficient"": -0.43713, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.4478, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Kidhome and MntMeatProducts over time?,easy
Customer Personality Analysis Dataset,Kidhome,MntMeatProducts,"{""coefficient"": -0.43713, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.4478, ""conclusion"": ""Not strongly correlated""}",Are Kidhome and MntMeatProducts related in any way?,easy
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""coefficient"": -0.50224, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.59752, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.51718, ""conclusion"": ""Strongly correlated""}",How does the direction of change in Kidhome relate to NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""coefficient"": -0.50224, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.59752, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.51718, ""conclusion"": ""Strongly correlated""}",How do changes in Kidhome correlate with changes in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""coefficient"": -0.50224, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.59752, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.51718, ""conclusion"": ""Strongly correlated""}",Is the relationship between Kidhome and NumCatalogPurchases consistent?,easy
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""coefficient"": -0.50224, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.59752, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.51718, ""conclusion"": ""Strongly correlated""}",Are variations in Kidhome associated with variations in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumCatalogPurchases,"{""coefficient"": -0.50224, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.59752, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.51718, ""conclusion"": ""Strongly correlated""}",Do patterns observed in Kidhome similarly appear in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""coefficient"": -0.49968, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55658, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.47423, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Kidhome similarly appear in NumStorePurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""coefficient"": -0.49968, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55658, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.47423, ""conclusion"": ""Not strongly correlated""}",Are variations in Kidhome associated with variations in NumStorePurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""coefficient"": -0.49968, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55658, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.47423, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Kidhome and NumStorePurchases?,easy
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""coefficient"": -0.49968, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55658, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.47423, ""conclusion"": ""Not strongly correlated""}",Is the connection between Kidhome and NumStorePurchases strong?,easy
Customer Personality Analysis Dataset,Kidhome,NumStorePurchases,"{""coefficient"": -0.49968, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55658, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.47423, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Kidhome and NumStorePurchases?,easy
Customer Personality Analysis Dataset,MntWines,MntFruits,"{""coefficient"": 0.38964, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51754, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.35579, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in MntWines similarly appear in MntFruits?,easy
Customer Personality Analysis Dataset,MntWines,MntFruits,"{""coefficient"": 0.38964, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51754, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.35579, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between MntWines and MntFruits?,easy
