Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient,question,difficulty
Customer Personality Analysis Dataset,NumWebVisitsMonth,Income,Teenhome,"{""coefficient"": -0.56055, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumWebVisitsMonth and Income after Teenhome is considered?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,NumCatalogPurchases,Teenhome,"{""coefficient"": -0.51324, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does the relationship between NumWebVisitsMonth and NumCatalogPurchases manifest when isolating Teenhome?,medium
Customer Personality Analysis Dataset,MntWines,MntMeatProducts,Recency,"{""coefficient"": 0.56252, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does MntWines correlate with MntMeatProducts when Recency is held constant?,medium
Customer Personality Analysis Dataset,MntWines,NumCatalogPurchases,Recency,"{""coefficient"": 0.6351, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Recency is controlled for, what remains the relationship between MntWines and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,MntFruits,MntMeatProducts,Recency,"{""coefficient"": 0.54335, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between MntFruits and MntMeatProducts considering Recency?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,Recency,"{""coefficient"": 0.56741, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for Recency change the relationship between MntFruits and MntSweetProducts?,medium
Customer Personality Analysis Dataset,MntMeatProducts,MntWines,Recency,"{""coefficient"": 0.56252, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between MntMeatProducts and MntWines after Recency is considered?,medium
Customer Personality Analysis Dataset,MntMeatProducts,MntFishProducts,Recency,"{""coefficient"": 0.56853, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Recency is controlled for, what remains the relationship between MntMeatProducts and MntFishProducts?",medium
Customer Personality Analysis Dataset,MntMeatProducts,NumCatalogPurchases,Recency,"{""coefficient"": 0.72367, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Recency is controlled for, what remains the relationship between MntMeatProducts and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,MntFishProducts,MntFruits,Recency,"{""coefficient"": 0.59481, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for Recency, what is the relationship between MntFishProducts and MntFruits?",medium
Customer Personality Analysis Dataset,MntFishProducts,MntSweetProducts,Recency,"{""coefficient"": 0.58, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for Recency, what is the relationship between MntFishProducts and MntSweetProducts?",medium
Customer Personality Analysis Dataset,MntSweetProducts,MntFruits,Recency,"{""coefficient"": 0.56741, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for Recency change the relationship between MntSweetProducts and MntFruits?,medium
Customer Personality Analysis Dataset,MntSweetProducts,MntFishProducts,Recency,"{""coefficient"": 0.58, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between MntSweetProducts and MntFishProducts when controlling for Recency?,medium
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,Recency,"{""coefficient"": 0.50275, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between NumWebPurchases and NumStorePurchases considering Recency?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Kidhome,Recency,"{""coefficient"": -0.50264, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and Kidhome when controlling for Recency?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,Recency,"{""coefficient"": 0.72367, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and MntMeatProducts when controlling for Recency?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,Recency,"{""coefficient"": 0.51888, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","When Recency is fixed, how do NumCatalogPurchases and NumStorePurchases correlate?",medium
Customer Personality Analysis Dataset,NumStorePurchases,Income,Recency,"{""coefficient"": 0.52936, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With Recency controlled, what is the correlation strength between NumStorePurchases and Income?",medium
Customer Personality Analysis Dataset,NumStorePurchases,NumWebPurchases,Recency,"{""coefficient"": 0.50275, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of Recency removed, how are NumStorePurchases and NumWebPurchases related?",medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Income,Recency,"{""coefficient"": -0.55326, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does NumWebVisitsMonth correlate with Income when Recency is held constant?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,NumCatalogPurchases,Recency,"{""coefficient"": -0.52011, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in Recency, how do NumWebVisitsMonth and NumCatalogPurchases interact?",medium
Customer Personality Analysis Dataset,MntMeatProducts,NumCatalogPurchases,MntWines,"{""coefficient"": 0.57388, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for MntWines, what is the relationship between MntMeatProducts and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,MntFishProducts,MntSweetProducts,MntWines,"{""coefficient"": 0.50314, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of MntFishProducts on MntSweetProducts with MntWines taken into consideration?,medium
Customer Personality Analysis Dataset,NumWebPurchases,Z_CostContact,MntWines,"{""coefficient"": -1.0, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After neutralizing the effect of MntWines, how do NumWebPurchases and Z_CostContact relate to each other?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,MntWines,"{""coefficient"": 0.57388, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does the relationship between NumCatalogPurchases and MntMeatProducts manifest when isolating MntWines?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Z_Revenue,MntWines,"{""coefficient"": -1.0, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between NumCatalogPurchases and Z_Revenue considering MntWines?,medium
Customer Personality Analysis Dataset,MntFishProducts,Z_CostContact,MntFruits,"{""coefficient"": -0.71132, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does MntFishProducts correlate with Z_CostContact when MntFruits is held constant?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntWines,MntFruits,"{""coefficient"": 0.55369, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for MntFruits change the relationship between NumCatalogPurchases and MntWines?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,MntFruits,"{""coefficient"": 0.56577, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumStorePurchases and MntWines after MntFruits is considered?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_Revenue,MntFruits,"{""coefficient"": -0.99996, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After neutralizing the effect of MntFruits, how do NumWebVisitsMonth and Z_Revenue relate to each other?",medium
Customer Personality Analysis Dataset,MntFishProducts,Z_Revenue,MntMeatProducts,"{""coefficient"": -0.99754, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of MntFishProducts on Z_Revenue with MntMeatProducts taken into consideration?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Z_Revenue,MntMeatProducts,"{""coefficient"": -1.0, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for MntMeatProducts, what is the relationship between NumCatalogPurchases and Z_Revenue?",medium
Customer Personality Analysis Dataset,NumDealsPurchases,Z_CostContact,MntFishProducts,"{""coefficient"": -0.99995, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After MntFishProducts is controlled for, what remains the relationship between NumDealsPurchases and Z_CostContact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntWines,MntFishProducts,"{""coefficient"": 0.54416, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between NumCatalogPurchases and MntWines considering MntFishProducts?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,MntFishProducts,"{""coefficient"": 0.56302, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between NumStorePurchases and MntWines considering MntFishProducts?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_Revenue,MntFishProducts,"{""coefficient"": -0.99999, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in MntFishProducts, how do NumWebVisitsMonth and Z_Revenue interact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,MntSweetProducts,"{""coefficient"": 0.62883, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and MntMeatProducts when controlling for MntSweetProducts?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_CostContact,MntSweetProducts,"{""coefficient"": -0.99998, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After minimizing the influence of MntSweetProducts, what correlation exists between NumWebVisitsMonth and Z_CostContact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Income,MntGoldProds,"{""coefficient"": 0.52483, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After minimizing the influence of MntGoldProds, what correlation exists between NumCatalogPurchases and Income?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,MntGoldProds,"{""coefficient"": 0.67736, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in MntGoldProds, how do NumCatalogPurchases and MntMeatProducts interact?",medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Income,MntGoldProds,"{""coefficient"": -0.51571, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After MntGoldProds is controlled for, what remains the relationship between NumWebVisitsMonth and Income?",medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_Revenue,MntGoldProds,"{""coefficient"": -0.99997, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does the relationship between NumWebVisitsMonth and Z_Revenue manifest when isolating MntGoldProds?,medium
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,NumDealsPurchases,"{""coefficient"": 0.50169, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between NumWebPurchases and NumStorePurchases considering NumDealsPurchases?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Kidhome,NumDealsPurchases,"{""coefficient"": -0.51313, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of NumDealsPurchases removed, how are NumCatalogPurchases and Kidhome related?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,NumDealsPurchases,"{""coefficient"": 0.72828, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and MntMeatProducts when controlling for NumDealsPurchases?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,"{""coefficient"": 0.52059, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of NumDealsPurchases removed, how are NumCatalogPurchases and NumStorePurchases related?",medium
Customer Personality Analysis Dataset,NumStorePurchases,Income,NumDealsPurchases,"{""coefficient"": 0.53789, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What connection exists between NumStorePurchases and Income upon controlling for NumDealsPurchases?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,NumDealsPurchases,"{""coefficient"": 0.64291, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does NumStorePurchases correlate with MntWines when NumDealsPurchases is held constant?,medium
Customer Personality Analysis Dataset,NumStorePurchases,NumCatalogPurchases,NumDealsPurchases,"{""coefficient"": 0.52059, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With NumDealsPurchases controlled, what is the correlation strength between NumStorePurchases and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,MntMeatProducts,NumDealsPurchases,"{""coefficient"": -0.53398, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumWebVisitsMonth and MntMeatProducts when controlling for NumDealsPurchases?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_CostContact,NumDealsPurchases,"{""coefficient"": -0.50566, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With NumDealsPurchases controlled, what is the correlation strength between NumWebVisitsMonth and Z_CostContact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Income,NumWebPurchases,"{""coefficient"": 0.51663, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in NumWebPurchases, how do NumCatalogPurchases and Income interact?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,NumWebPurchases,"{""coefficient"": 0.69244, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After neutralizing the effect of NumWebPurchases, how do NumCatalogPurchases and MntMeatProducts relate to each other?",medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,NumWebPurchases,"{""coefficient"": 0.50872, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumStorePurchases and MntWines when controlling for NumWebPurchases?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,MntMeatProducts,NumWebPurchases,"{""coefficient"": -0.54806, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for NumWebPurchases change the relationship between NumWebVisitsMonth and MntMeatProducts?,medium
Customer Personality Analysis Dataset,NumWebVisitsMonth,Z_CostContact,NumCatalogPurchases,"{""coefficient"": -0.85542, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With NumCatalogPurchases controlled, what is the correlation strength between NumWebVisitsMonth and Z_CostContact?",medium
Dataset for Admission in the University,SOP,LOR ,GRE Score,"{""coefficient"": 0.59133, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between SOP and LOR  considering GRE Score?,medium
Dataset for Admission in the University,CGPA,Chance of Admit ,GRE Score,"{""coefficient"": 0.62025, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After GRE Score is controlled for, what remains the relationship between CGPA and Chance of Admit ?",medium
Dataset for Admission in the University,SOP,LOR ,TOEFL Score,"{""coefficient"": 0.57434, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does SOP correlate with LOR  when TOEFL Score is held constant?,medium
Dataset for Admission in the University,CGPA,Chance of Admit ,TOEFL Score,"{""coefficient"": 0.63555, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After minimizing the influence of TOEFL Score, what correlation exists between CGPA and Chance of Admit ?",medium
Dataset for Admission in the University,CGPA,GRE Score,SOP,"{""coefficient"": 0.71459, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between CGPA and GRE Score after SOP is considered?,medium
Dataset for Admission in the University,CGPA,Chance of Admit ,SOP,"{""coefficient"": 0.7564, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does CGPA correlate with Chance of Admit  when SOP is held constant?,medium
Dataset for Admission in the University,Chance of Admit ,TOEFL Score,SOP,"{""coefficient"": 0.62507, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for SOP change the relationship between Chance of Admit  and TOEFL Score?,medium
Dataset for Admission in the University,CGPA,GRE Score,LOR ,"{""coefficient"": 0.74562, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between CGPA and GRE Score when controlling for LOR ?,medium
Dataset for Admission in the University,CGPA,Chance of Admit ,LOR ,"{""coefficient"": 0.77005, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After neutralizing the effect of LOR , how do CGPA and Chance of Admit  relate to each other?",medium
Dataset for Admission in the University,Chance of Admit ,TOEFL Score,LOR ,"{""coefficient"": 0.6729, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between Chance of Admit  and TOEFL Score considering LOR ?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,Calories Burn,"{""coefficient"": 0.98138, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After neutralizing the effect of Calories Burn, how do Dream Weight and Actual Weight relate to each other?",medium
FIFA Official Dataset 2023,Overall,Potential,Age,"{""coefficient"": 0.90171, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does the relationship between Overall and Potential manifest when isolating Age?,medium
FIFA Official Dataset 2023,Overall,Wage,Age,"{""coefficient"": 0.5525, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of Overall on Wage with Age taken into consideration?,medium
FIFA Official Dataset 2023,Overall,Release Clause,Age,"{""coefficient"": 0.59278, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for Age change the relationship between Overall and Release Clause?,medium
FIFA Official Dataset 2023,Potential,Value,Age,"{""coefficient"": 0.52345, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With Age controlled, what is the correlation strength between Potential and Value?",medium
FIFA Official Dataset 2023,Potential,Special,Age,"{""coefficient"": 0.53979, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of Potential on Special with Age taken into consideration?,medium
FIFA Official Dataset 2023,Value,Overall,Age,"{""coefficient"": 0.58711, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between Value and Overall after Age is considered?,medium
FIFA Official Dataset 2023,Value,Wage,Age,"{""coefficient"": 0.80821, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for Age, what is the relationship between Value and Wage?",medium
FIFA Official Dataset 2023,Wage,Overall,Age,"{""coefficient"": 0.5525, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After minimizing the influence of Age, what correlation exists between Wage and Overall?",medium
FIFA Official Dataset 2023,Wage,Value,Age,"{""coefficient"": 0.80821, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does Wage correlate with Value when Age is held constant?,medium
FIFA Official Dataset 2023,Special,Overall,Age,"{""coefficient"": 0.63394, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of Age removed, how are Special and Overall related?",medium
FIFA Official Dataset 2023,Height,Weight,Age,"{""coefficient"": 0.77053, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does the relationship between Height and Weight manifest when isolating Age?,medium
FIFA Official Dataset 2023,Release Clause,Overall,Age,"{""coefficient"": 0.59266, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in Age, how do Release Clause and Overall interact?",medium
FIFA Official Dataset 2023,Release Clause,Value,Age,"{""coefficient"": 0.99524, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between Release Clause and Value considering Age?,medium
FIFA Official Dataset 2023,Potential,Age,Overall,"{""coefficient"": -0.79185, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","When Overall is fixed, how do Potential and Age correlate?",medium
FIFA Official Dataset 2023,Value,Release Clause,Overall,"{""coefficient"": 0.99307, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between Value and Release Clause when controlling for Overall?,medium
FIFA Official Dataset 2023,Wage,Release Clause,Overall,"{""coefficient"": 0.72187, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between Wage and Release Clause after Overall is considered?,medium
FIFA Official Dataset 2023,Weight,Height,Overall,"{""coefficient"": 0.76588, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for Overall, what is the relationship between Weight and Height?",medium
FIFA Official Dataset 2023,Release Clause,Wage,Overall,"{""coefficient"": 0.72187, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does Release Clause correlate with Wage when Overall is held constant?,medium
FIFA Official Dataset 2023,Value,Release Clause,Potential,"{""coefficient"": 0.99352, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of Potential removed, how are Value and Release Clause related?",medium
