Dataset Name,Column,Method,Results,question,difficulty
2023 Netflix Engagement Dataset,Number of Ratings,Kurtosis,"{""conclusion"": ""172.11299""}",Does Number of Ratings have a high or low kurtosis?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Kurtosis,"{""conclusion"": ""172.11299""}",What is the degree of peaked for Number of Ratings?,easy
2023 Netflix Engagement Dataset,Rating,Mean,"{""conclusion"": ""6.61644""}",Could you determine the average amount in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Mean,"{""conclusion"": ""6.61644""}",How do you find the average in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Median,"{""conclusion"": ""6.6""}",How to compute the median of Rating?,easy
2023 Netflix Engagement Dataset,Rating,Median,"{""conclusion"": ""6.6""}",What falls in the middle of Rating?,easy
2023 Netflix Engagement Dataset,Rating,Range,"{""conclusion"": ""8.6""}",How wide is the range of values in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Range,"{""conclusion"": ""8.6""}",Could you tell me the distance from the smallest to the largest value in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Quartile,"{""conclusion"": ""\""{'Min': 1.4, 'Q1': 5.8, 'Median': 6.6, 'Q3': 7.4, 'Max': 10.0}\""""}",What's the quartile distribution for the data in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Quartile,"{""conclusion"": ""\""{'Min': 1.4, 'Q1': 5.8, 'Median': 6.6, 'Q3': 7.4, 'Max': 10.0}\""""}",Could you find the quartile divisions in Rating?,easy
2023 Netflix Engagement Dataset,Rating,Standard Deviation,"{""conclusion"": ""1.25201""}","How spread out are the values in Rating, in terms of standard deviation?",easy
2023 Netflix Engagement Dataset,Rating,Standard Deviation,"{""conclusion"": ""1.25201""}",Can you calculate the standard deviation for Rating?,easy
2023 Netflix Engagement Dataset,Rating,Skewness,"{""conclusion"": ""-0.28484""}",How skewed is the distribution of Rating?,easy
2023 Netflix Engagement Dataset,Rating,Skewness,"{""conclusion"": ""-0.28484""}",How does the asymmetry of Rating?,easy
2023 Netflix Engagement Dataset,Rating,Kurtosis,"{""conclusion"": ""0.53027""}",Does Rating have a high or low kurtosis?,easy
2023 Netflix Engagement Dataset,Rating,Kurtosis,"{""conclusion"": ""0.53027""}",What is the level of kurtosis in Rating?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Mean,"{""conclusion"": ""147.0425""}",What does the mean of TV Ad Budget ($) indicate?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Mean,"{""conclusion"": ""147.0425""}",What is the average of the TV Ad Budget ($) values?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Median,"{""conclusion"": ""149.75""}",Could you determine the median figure of TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Median,"{""conclusion"": ""149.75""}",How do I find the median for TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Range,"{""conclusion"": ""295.7""}",Can you calculate the total span of TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Range,"{""conclusion"": ""295.7""}",What's the interval between the highest and lowest points of TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.7, 'Q1': 74.375, 'Median': 149.75, 'Q3': 218.825, 'Max': 296.4}\""""}",How are the data in TV Ad Budget ($) distributed across quartiles?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.7, 'Q1': 74.375, 'Median': 149.75, 'Q3': 218.825, 'Max': 296.4}\""""}",How do the values in TV Ad Budget ($) spread in terms of quartiles?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Standard Deviation,"{""conclusion"": ""85.63933""}",What's the level of spread in TV Ad Budget ($) as indicated by its standard deviation?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Standard Deviation,"{""conclusion"": ""85.63933""}","How do the numbers in TV Ad Budget ($) vary, as shown by the standard deviation?",easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Skewness,"{""conclusion"": ""-0.06985""}",Is TV Ad Budget ($) positively or negatively skewed?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Skewness,"{""conclusion"": ""-0.06985""}",Can you calculate the skew of TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Kurtosis,"{""conclusion"": ""-1.22649""}",Could you determine the extent of peaked for TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Kurtosis,"{""conclusion"": ""-1.22649""}",Does TV Ad Budget ($) have a high or low kurtosis?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Mean,"{""conclusion"": ""23.264""}",Could you determine the average amount in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Mean,"{""conclusion"": ""23.264""}",Can you tell me the average number in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Median,"{""conclusion"": ""22.9""}",How to compute the median of Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Median,"{""conclusion"": ""22.9""}",Can you find out what the median is in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Range,"{""conclusion"": ""49.6""}",Can you determine the range covered by Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Range,"{""conclusion"": ""49.6""}",What's the interval between the highest and lowest points of Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 9.975, 'Median': 22.9, 'Q3': 36.525, 'Max': 49.6}\""""}",What's the quartile distribution for the data in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 9.975, 'Median': 22.9, 'Q3': 36.525, 'Max': 49.6}\""""}",What are the quartile values in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Standard Deviation,"{""conclusion"": ""14.80965""}",What's the level of spread in Radio Ad Budget ($) as indicated by its standard deviation?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Standard Deviation,"{""conclusion"": ""14.80965""}",What is the measure of standard variability for Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Skewness,"{""conclusion"": ""0.09417""}",Can you determine the skewness level for Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Skewness,"{""conclusion"": ""0.09417""}",Does Radio Ad Budget ($) show any skewness in its distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Kurtosis,"{""conclusion"": ""-1.2604""}",What is the level of kurtosis in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Kurtosis,"{""conclusion"": ""-1.2604""}",What is the degree of peaked for Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Mean,"{""conclusion"": ""30.554""}",What is the average of the Newspaper Ad Budget ($) values?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Mean,"{""conclusion"": ""30.554""}",Can you tell me the average number in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Median,"{""conclusion"": ""25.75""}",What number represents the median of Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Median,"{""conclusion"": ""25.75""}",Can you calculate the median of Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Range,"{""conclusion"": ""113.7""}",What's the interval between the highest and lowest points of Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Range,"{""conclusion"": ""113.7""}",Could you tell me the distance from the smallest to the largest value in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.3, 'Q1': 12.75, 'Median': 25.75, 'Q3': 45.1, 'Max': 114.0}\""""}",Could you show the quartile segmentation of Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Quartile,"{""conclusion"": ""\""{'Min': 0.3, 'Q1': 12.75, 'Median': 25.75, 'Q3': 45.1, 'Max': 114.0}\""""}",How are the data in Newspaper Ad Budget ($) distributed across quartiles?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Standard Deviation,"{""conclusion"": ""21.72411""}",Can you calculate the standard deviation for Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Standard Deviation,"{""conclusion"": ""21.72411""}",What is the measure of standard variability for Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Skewness,"{""conclusion"": ""0.89472""}",What is the skewness value for Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Skewness,"{""conclusion"": ""0.89472""}",What is the degree of asymmetry in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Kurtosis,"{""conclusion"": ""0.6495""}",Could you determine the extent of peaked for Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Kurtosis,"{""conclusion"": ""0.6495""}",How peaked is the distribution of Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Mean,"{""conclusion"": ""14.0225""}",How do you find the average in Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Mean,"{""conclusion"": ""14.0225""}",What does the mean of Sales ($) indicate?,easy
Advertising Budget and Sales Dataset,Sales ($),Median,"{""conclusion"": ""12.9""}",How do I find the median for Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Median,"{""conclusion"": ""12.9""}",What number represents the median of Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Range,"{""conclusion"": ""25.4""}",How wide is the range of values in Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Range,"{""conclusion"": ""25.4""}",What's the extent of variation in Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Quartile,"{""conclusion"": ""\""{'Min': 1.6, 'Q1': 10.375, 'Median': 12.9, 'Q3': 17.4, 'Max': 27.0}\""""}",How do the values in Sales ($) spread in terms of quartiles?,easy
Advertising Budget and Sales Dataset,Sales ($),Quartile,"{""conclusion"": ""\""{'Min': 1.6, 'Q1': 10.375, 'Median': 12.9, 'Q3': 17.4, 'Max': 27.0}\""""}",What's the quartile distribution for the data in Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Standard Deviation,"{""conclusion"": ""5.2044""}","How do the numbers in Sales ($) vary, as shown by the standard deviation?",easy
Advertising Budget and Sales Dataset,Sales ($),Standard Deviation,"{""conclusion"": ""5.2044""}",What's the level of spread in Sales ($) as indicated by its standard deviation?,easy
Advertising Budget and Sales Dataset,Sales ($),Skewness,"{""conclusion"": ""0.40757""}",Is Sales ($) positively or negatively skewed?,easy
Advertising Budget and Sales Dataset,Sales ($),Skewness,"{""conclusion"": ""0.40757""}",What is the skewness value for Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Kurtosis,"{""conclusion"": ""-0.40887""}",How peaked is the distribution of Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Kurtosis,"{""conclusion"": ""-0.40887""}",Is there significant kurtosis present in the data for Sales ($)?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Mean,"{""conclusion"": ""650.55509""}",Can you calculate the mean for CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Mean,"{""conclusion"": ""650.55509""}",How do you find the average in CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Median,"{""conclusion"": ""652.0""}",Can you tell me the median value in CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Median,"{""conclusion"": ""652.0""}",How to compute the median of CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Range,"{""conclusion"": ""500.0""}",Could you find the full spread of CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Range,"{""conclusion"": ""500.0""}",What is the difference between the maximum and minimum values in CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Quartile,"{""conclusion"": ""\""{'Min': 350.0, 'Q1': 584.0, 'Median': 652.0, 'Q3': 718.0, 'Max': 850.0}\""""}",How are the data in CreditScore distributed across quartiles?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Quartile,"{""conclusion"": ""\""{'Min': 350.0, 'Q1': 584.0, 'Median': 652.0, 'Q3': 718.0, 'Max': 850.0}\""""}",Could you show the quartile segmentation of CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Standard Deviation,"{""conclusion"": ""96.65678""}",Can you determine the dispersion in CreditScore using standard deviation?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Standard Deviation,"{""conclusion"": ""96.65678""}","How do the numbers in CreditScore vary, as shown by the standard deviation?",easy
Bank Customer Churn Prediction Dataset,CreditScore,Skewness,"{""conclusion"": ""-0.07188""}",How skewed is the distribution of CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Skewness,"{""conclusion"": ""-0.07188""}",Can you calculate the skew of CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Kurtosis,"{""conclusion"": ""-0.42634""}",What is the degree of peaked for CreditScore?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Kurtosis,"{""conclusion"": ""-0.42634""}",Could you determine the extent of peaked for CreditScore?,easy
Bank Customer Churn Prediction Dataset,Geography,Mode,"{""conclusion"": ""France""}",What is the most frequent value in Geography?,easy
Bank Customer Churn Prediction Dataset,Geography,Mode,"{""conclusion"": ""France""}",What's the most common value in Geography?,easy
Bank Customer Churn Prediction Dataset,Gender,Mode,"{""conclusion"": ""Male""}",How to calculate the mode of Gender?,easy
Bank Customer Churn Prediction Dataset,Gender,Mode,"{""conclusion"": ""Male""}",Could you identify the mode value of Gender?,easy
Bank Customer Churn Prediction Dataset,Age,Mean,"{""conclusion"": ""38.92231""}",How much is the average figure for Age?,easy
Bank Customer Churn Prediction Dataset,Age,Mean,"{""conclusion"": ""38.92231""}",How do you find the average in Age?,easy
Bank Customer Churn Prediction Dataset,Age,Median,"{""conclusion"": ""37.0""}",How to compute the median of Age?,easy
Bank Customer Churn Prediction Dataset,Age,Median,"{""conclusion"": ""37.0""}",Can you calculate the median of Age?,easy
Bank Customer Churn Prediction Dataset,Age,Range,"{""conclusion"": ""74.0""}",How wide is the range of values in Age?,easy
Bank Customer Churn Prediction Dataset,Age,Range,"{""conclusion"": ""74.0""}",What's the extent of variation in Age?,easy
Bank Customer Churn Prediction Dataset,Age,Quartile,"{""conclusion"": ""\""{'Min': 18.0, 'Q1': 32.0, 'Median': 37.0, 'Q3': 44.0, 'Max': 92.0}\""""}",What's the quartile distribution for the data in Age?,easy
Bank Customer Churn Prediction Dataset,Age,Quartile,"{""conclusion"": ""\""{'Min': 18.0, 'Q1': 32.0, 'Median': 37.0, 'Q3': 44.0, 'Max': 92.0}\""""}",Could you find the quartile divisions in Age?,easy
Bank Customer Churn Prediction Dataset,Age,Standard Deviation,"{""conclusion"": ""10.48668""}",Can you determine the dispersion in Age using standard deviation?,easy
Bank Customer Churn Prediction Dataset,Age,Standard Deviation,"{""conclusion"": ""10.48668""}","How spread out are the values in Age, in terms of standard deviation?",easy
Bank Customer Churn Prediction Dataset,Age,Skewness,"{""conclusion"": ""1.01129""}",How does the asymmetry of Age?,easy
Bank Customer Churn Prediction Dataset,Age,Skewness,"{""conclusion"": ""1.01129""}",What is the skewness value for Age?,easy
Bank Customer Churn Prediction Dataset,Age,Kurtosis,"{""conclusion"": ""1.39568""}",Can you calculate the kurtosis for Age?,easy
Bank Customer Churn Prediction Dataset,Age,Kurtosis,"{""conclusion"": ""1.39568""}",Does Age have a high or low kurtosis?,easy
Bank Customer Churn Prediction Dataset,Tenure,Mean,"{""conclusion"": ""5.0125""}",What does the mean of Tenure indicate?,easy
Bank Customer Churn Prediction Dataset,Tenure,Mean,"{""conclusion"": ""5.0125""}",Could you determine the average amount in Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Median,"{""conclusion"": ""5.0""}",What falls in the middle of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Median,"{""conclusion"": ""5.0""}",How to compute the median of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Range,"{""conclusion"": ""10.0""}",What is the difference between the maximum and minimum values in Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Range,"{""conclusion"": ""10.0""}",Could you tell me the distance from the smallest to the largest value in Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 5.0, 'Q3': 7.0, 'Max': 10.0}\""""}",Can you determine the quartile breakdown for Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 5.0, 'Q3': 7.0, 'Max': 10.0}\""""}",Could you show the quartile segmentation of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Standard Deviation,"{""conclusion"": ""2.89183""}",Could you find the standard deviation value of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Standard Deviation,"{""conclusion"": ""2.89183""}","What is the variance measure for Tenure, as indicated by its standard deviation?",easy
Bank Customer Churn Prediction Dataset,Tenure,Skewness,"{""conclusion"": ""0.01127""}",Can you calculate the skew of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Skewness,"{""conclusion"": ""0.01127""}",How does the asymmetry of Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Kurtosis,"{""conclusion"": ""-1.16505""}",Could you determine the extent of peaked for Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Kurtosis,"{""conclusion"": ""-1.16505""}",Does Tenure have a high or low kurtosis?,easy
Bank Customer Churn Prediction Dataset,Balance,Mean,"{""conclusion"": ""76491.11288""}",What does the mean of Balance indicate?,easy
Bank Customer Churn Prediction Dataset,Balance,Mean,"{""conclusion"": ""76491.11288""}",Can you tell me the average number in Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Median,"{""conclusion"": ""97198.54""}",How to compute the median of Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Median,"{""conclusion"": ""97198.54""}",Can you calculate the median of Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Range,"{""conclusion"": ""250898.09""}",How wide is the range of values in Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Range,"{""conclusion"": ""250898.09""}",Can you determine the range covered by Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 97198.54000000001, 'Q3': 127647.84, 'Max': 250898.09}\""""}",How are the data in Balance distributed across quartiles?,easy
Bank Customer Churn Prediction Dataset,Balance,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 97198.54000000001, 'Q3': 127647.84, 'Max': 250898.09}\""""}",Can you calculate the quartiles for Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Standard Deviation,"{""conclusion"": ""62390.35502""}",Could you find the standard deviation value of Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Standard Deviation,"{""conclusion"": ""62390.35502""}",What's the level of spread in Balance as indicated by its standard deviation?,easy
Bank Customer Churn Prediction Dataset,Balance,Skewness,"{""conclusion"": ""-0.14129""}",Is Balance positively or negatively skewed?,easy
Bank Customer Churn Prediction Dataset,Balance,Skewness,"{""conclusion"": ""-0.14129""}",Does Balance show any skewness in its distribution?,easy
Bank Customer Churn Prediction Dataset,Balance,Kurtosis,"{""conclusion"": ""-1.48923""}",What is the level of kurtosis in Balance?,easy
Bank Customer Churn Prediction Dataset,Balance,Kurtosis,"{""conclusion"": ""-1.48923""}",What is the degree of peaked for Balance?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Mean,"{""conclusion"": ""1.53019""}",Could you determine the average amount in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Mean,"{""conclusion"": ""1.53019""}",Can you tell me the average number in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Median,"{""conclusion"": ""1.0""}",Can you find out what the median is in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Median,"{""conclusion"": ""1.0""}",What falls in the middle of NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Range,"{""conclusion"": ""3.0""}",Could you find the full spread of NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Range,"{""conclusion"": ""3.0""}",How wide is the range of values in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Quartile,"{""conclusion"": ""\""{'Min': 1.0, 'Q1': 1.0, 'Median': 1.0, 'Q3': 2.0, 'Max': 4.0}\""""}",How are the data in NumOfProducts distributed across quartiles?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Quartile,"{""conclusion"": ""\""{'Min': 1.0, 'Q1': 1.0, 'Median': 1.0, 'Q3': 2.0, 'Max': 4.0}\""""}",Could you show the quartile segmentation of NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Standard Deviation,"{""conclusion"": ""0.58161""}",Could you provide the standard deviation for the dataset in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Standard Deviation,"{""conclusion"": ""0.58161""}","How do the numbers in NumOfProducts vary, as shown by the standard deviation?",easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Skewness,"{""conclusion"": ""0.74548""}",Can you determine the skewness level for NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Skewness,"{""conclusion"": ""0.74548""}",Is NumOfProducts positively or negatively skewed?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Kurtosis,"{""conclusion"": ""0.58278""}",How peaked is the distribution of NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Kurtosis,"{""conclusion"": ""0.58278""}",What is the degree of peaked for NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,HasCrCard,Mode,"{""conclusion"": ""1.0""}",Can you find the mode of HasCrCard?,easy
Bank Customer Churn Prediction Dataset,HasCrCard,Mode,"{""conclusion"": ""1.0""}",Which value occurs the most in HasCrCard?,easy
Bank Customer Churn Prediction Dataset,IsActiveMember,Mode,"{""conclusion"": ""1.0""}",What appears most often in IsActiveMember?,easy
Bank Customer Churn Prediction Dataset,IsActiveMember,Mode,"{""conclusion"": ""1.0""}",Which value occurs the most in IsActiveMember?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Mean,"{""conclusion"": ""100083.33114""}",Can you calculate the mean for EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Mean,"{""conclusion"": ""100083.33114""}",What does the mean of EstimatedSalary indicate?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Median,"{""conclusion"": ""100185.24""}",What falls in the middle of EstimatedSalary?,easy
