Dataset Name,Column,Distribution,Kolmogorov-Smirnov Test,question,difficulty
2023 Netflix Engagement Dataset,Rating,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Uniform distribution that Rating data follows?,easy
2023 Netflix Engagement Dataset,Rating,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Uniform distribution serve as an accurate representation for Rating data?,easy
2023 Netflix Engagement Dataset,Rating,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Rating by a Uniform distribution?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Gamma distribution hypothesis for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Hours Viewed reflect the properties of a Gamma distribution?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Gamma distribution of the Hours Viewed data?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Number of Ratings conform to a Gamma distribution?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Gamma distribution a suitable representation for the data in Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Number of Ratings similar to a Gamma distribution?,easy
2023 Netflix Engagement Dataset,Rating,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Gamma distribution that Rating data follows?,easy
2023 Netflix Engagement Dataset,Rating,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Rating consistent with a Gamma distribution?,easy
2023 Netflix Engagement Dataset,Rating,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Rating by a Gamma distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does TV Ad Budget ($) reflect the properties of a Exponential distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Exponential distribution of the TV Ad Budget ($) data?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Exponential distribution hypothesis for TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Radio Ad Budget ($) by a Exponential distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Radio Ad Budget ($) consistent with a Exponential distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Newspaper Ad Budget ($) data to have been drawn from a Exponential distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Newspaper Ad Budget ($) data follows?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Exponential distribution serve as an accurate representation for Newspaper Ad Budget ($) data?,easy
Advertising Budget and Sales Dataset,Sales ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Exponential distribution of the Sales ($) data?,easy
Advertising Budget and Sales Dataset,Sales ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in Sales ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Sales ($) comply with the Exponential model?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Uniform distribution hypothesis for Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Whether the data of Newspaper Ad Budget ($) is subject to Uniform distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Uniform distribution a suitable representation for the data in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Sales ($),Uniform,"{""p value"": 8e-05, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Sales ($) to exhibit a Uniform distribution?",easy
Advertising Budget and Sales Dataset,Sales ($),Uniform,"{""p value"": 8e-05, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Sales ($) consistent with a Uniform distribution?,easy
Advertising Budget and Sales Dataset,Sales ($),Uniform,"{""p value"": 8e-05, ""conclusion"": ""Non-compliance""}",Does Sales ($) conform to a Uniform distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of TV Ad Budget ($) similar to a Gamma distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does TV Ad Budget ($) conform to a Gamma distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could it be proper to say that TV Ad Budget ($) data presents a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Radio Ad Budget ($) comply with the Gamma model?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Radio Ad Budget ($) consistent with a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could it be proper to say that Radio Ad Budget ($) data presents a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could it be proper to say that Newspaper Ad Budget ($) data presents a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of Newspaper Ad Budget ($) resemble a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Gamma distribution of the Newspaper Ad Budget ($) data?,easy
Advertising Budget and Sales Dataset,Sales ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of Sales ($) resemble a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Sales ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Sales ($) data to have been drawn from a Gamma distribution?,easy
Advertising Budget and Sales Dataset,Sales ($),Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Do the data in Sales ($) exhibit a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider CreditScore to exhibit a Exponential distribution?",easy
Bank Customer Churn Prediction Dataset,CreditScore,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is CreditScore demonstrating as Exponential distribution?Is the Exponential distribution a good fit for CreditScore data?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of CreditScore comply with the Exponential model?,easy
Bank Customer Churn Prediction Dataset,Age,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Exponential distribution hypothesis for Age?,easy
Bank Customer Churn Prediction Dataset,Age,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Age reflect the properties of a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,Age,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Age consistent with a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,Tenure,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in Tenure?,easy
Bank Customer Churn Prediction Dataset,Tenure,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Exponential distribution of the Tenure data?,easy
Bank Customer Churn Prediction Dataset,Tenure,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Tenure data follows?,easy
Bank Customer Churn Prediction Dataset,Balance,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Balance similar to a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,Balance,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Balance to exhibit a Exponential distribution?",easy
Bank Customer Churn Prediction Dataset,Balance,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Balance by a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does NumOfProducts reflect the properties of a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of NumOfProducts comply with the Exponential model?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of NumOfProducts resemble a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could it be proper to say that EstimatedSalary data presents a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of EstimatedSalary resemble a Exponential distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of EstimatedSalary comply with the Exponential model?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in CreditScore consistent with a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Uniform distribution that CreditScore data follows?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does CreditScore conform to a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,Age,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Do the data in Age exhibit a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,Age,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Age reflect the properties of a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,Age,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Uniform distribution serve as an accurate representation for Age data?,easy
Bank Customer Churn Prediction Dataset,Tenure,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Tenure comply with the Uniform model?,easy
Bank Customer Churn Prediction Dataset,Tenure,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Uniform distribution of the Tenure data?,easy
Bank Customer Churn Prediction Dataset,Tenure,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Tenure data to have been drawn from a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,Balance,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Balance by a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,Balance,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is Balance demonstrating as Uniform distribution?Is the Uniform distribution a good fit for Balance data?,easy
Bank Customer Churn Prediction Dataset,Balance,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Uniform distribution that Balance data follows?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does NumOfProducts reflect the properties of a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Uniform distribution that NumOfProducts data follows?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Uniform distribution serve as an accurate representation for NumOfProducts data?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is CreditScore demonstrating as Gamma distribution?Is the Gamma distribution a good fit for CreditScore data?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does CreditScore conform to a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of CreditScore comply with the Gamma model?,easy
Bank Customer Churn Prediction Dataset,Age,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Age by a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,Age,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Age to exhibit a Gamma distribution?",easy
Bank Customer Churn Prediction Dataset,Age,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Age conform to a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,Tenure,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of Tenure resemble a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,Tenure,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Tenure to exhibit a Gamma distribution?",easy
Bank Customer Churn Prediction Dataset,Tenure,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Tenure consistent with a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,Balance,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Gamma distribution that Balance data follows?,easy
Bank Customer Churn Prediction Dataset,Balance,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Balance to exhibit a Gamma distribution?",easy
Bank Customer Churn Prediction Dataset,Balance,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Gamma distribution serve as an accurate representation for Balance data?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Do the data in NumOfProducts exhibit a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider NumOfProducts to exhibit a Gamma distribution?",easy
Bank Customer Churn Prediction Dataset,NumOfProducts,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Gamma distribution serve as an accurate representation for NumOfProducts data?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Gamma distribution a suitable representation for the data in EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of EstimatedSalary by a Gamma distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of EstimatedSalary similar to a Gamma distribution?,easy
Crop Production Dataset,Nigeria,Exponential,"{""p value"": 9e-05, ""conclusion"": ""Non-compliance""}",Could it be proper to say that Nigeria data presents a Exponential distribution?,easy
Crop Production Dataset,Nigeria,Exponential,"{""p value"": 9e-05, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Nigeria data follows?,easy
Crop Production Dataset,Nigeria,Exponential,"{""p value"": 9e-05, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Nigeria by a Exponential distribution?,easy
Crop Production Dataset,Pakistan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Exponential distribution of the Pakistan data?,easy
Crop Production Dataset,Pakistan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Pakistan consistent with a Exponential distribution?,easy
Crop Production Dataset,Pakistan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is Pakistan demonstrating as Exponential distribution?Is the Exponential distribution a good fit for Pakistan data?,easy
Crop Production Dataset,Japan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Japan data to have been drawn from a Exponential distribution?,easy
Crop Production Dataset,Japan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Japan consistent with a Exponential distribution?,easy
Crop Production Dataset,Japan,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Japan conform to a Exponential distribution?,easy
Crop Production Dataset,United States,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Exponential distribution hypothesis for United States?,easy
Crop Production Dataset,United States,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does United States reflect the properties of a Exponential distribution?,easy
Crop Production Dataset,United States,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of United States by a Exponential distribution?,easy
Crop Production Dataset,Brazil,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Brazil to exhibit a Exponential distribution?",easy
Crop Production Dataset,Brazil,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Brazil data follows?,easy
Crop Production Dataset,Brazil,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Can we confirm the Exponential distribution hypothesis for Brazil?,easy
Crop Production Dataset,Philippines,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Philippines data follows?,easy
Crop Production Dataset,Philippines,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Philippines comply with the Exponential model?,easy
Crop Production Dataset,Philippines,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Philippines consistent with a Exponential distribution?,easy
Crop Production Dataset,Myanmar,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in Myanmar?,easy
Crop Production Dataset,Myanmar,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Myanmar similar to a Exponential distribution?,easy
Crop Production Dataset,Myanmar,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does Myanmar reflect the properties of a Exponential distribution?,easy
Crop Production Dataset,Thailand,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Whether the data of Thailand is subject to Exponential distribution?,easy
Crop Production Dataset,Thailand,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in Thailand?,easy
Crop Production Dataset,Thailand,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Exponential distribution serve as an accurate representation for Thailand data?,easy
Crop Production Dataset,Vietnam,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of Vietnam resemble a Exponential distribution?,easy
Crop Production Dataset,Vietnam,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Do the data in Vietnam exhibit a Exponential distribution?,easy
Crop Production Dataset,Vietnam,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Vietnam by a Exponential distribution?,easy
Crop Production Dataset,Indonesia,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Indonesia similar to a Exponential distribution?,easy
Crop Production Dataset,Indonesia,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Indonesia consistent with a Exponential distribution?,easy
Crop Production Dataset,Indonesia,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is Indonesia demonstrating as Exponential distribution?Is the Exponential distribution a good fit for Indonesia data?,easy
Crop Production Dataset,Bangladesh,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could it be proper to say that Bangladesh data presents a Exponential distribution?,easy
Crop Production Dataset,Bangladesh,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Bangladesh data to have been drawn from a Exponential distribution?,easy
Crop Production Dataset,Bangladesh,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Bangladesh similar to a Exponential distribution?,easy
Crop Production Dataset,India,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does India conform to a Exponential distribution?,easy
Crop Production Dataset,India,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in India?,easy
Crop Production Dataset,India,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does India reflect the properties of a Exponential distribution?,easy
Crop Production Dataset,China,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of China by a Exponential distribution?,easy
Crop Production Dataset,China,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of China comply with the Exponential model?,easy
Crop Production Dataset,China,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Exponential distribution a suitable representation for the data in China?,easy
Crop Production Dataset,Brazil,Uniform,"{""p value"": 0.01176, ""conclusion"": ""Non-compliance""}",Does Brazil reflect the properties of a Uniform distribution?,easy
Crop Production Dataset,Brazil,Uniform,"{""p value"": 0.01176, ""conclusion"": ""Non-compliance""}",Do the data in Brazil exhibit a Uniform distribution?,easy
Crop Production Dataset,Brazil,Uniform,"{""p value"": 0.01176, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Brazil to exhibit a Uniform distribution?",easy
Crop Production Dataset,Nigeria,Gamma,"{""p value"": 0.01392, ""conclusion"": ""Non-compliance""}",Does it proper to model the data of Nigeria by a Gamma distribution?,easy
Crop Production Dataset,Nigeria,Gamma,"{""p value"": 0.01392, ""conclusion"": ""Non-compliance""}",Is it possible for Nigeria data to have been drawn from a Gamma distribution?,easy
Crop Production Dataset,Nigeria,Gamma,"{""p value"": 0.01392, ""conclusion"": ""Non-compliance""}",Can we confirm the Gamma distribution hypothesis for Nigeria?,easy
Crop Production Dataset,Pakistan,Gamma,"{""p value"": 1e-05, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Pakistan consistent with a Gamma distribution?,easy
Crop Production Dataset,Pakistan,Gamma,"{""p value"": 1e-05, ""conclusion"": ""Non-compliance""}","Based on the statistical test, can we consider Pakistan to exhibit a Gamma distribution?",easy
Crop Production Dataset,Pakistan,Gamma,"{""p value"": 1e-05, ""conclusion"": ""Non-compliance""}",Do the data in Pakistan exhibit a Gamma distribution?,easy
Crop Production Dataset,Japan,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the Gamma distribution a suitable representation for the data in Japan?,easy
Crop Production Dataset,Japan,Gamma,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Gamma distribution of the Japan data?,easy
