Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}",Is the connection between Number of Ratings and Rating strong?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Number of Ratings and Rating?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}",Do Number of Ratings and Rating show any linear correlation?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Number of Ratings and Rating?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Number of Ratings and Rating?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between TV Ad Budget ($) and Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}",How do changes in TV Ad Budget ($) correlate with changes in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in TV Ad Budget ($) relate to Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}",Are movements in TV Ad Budget ($) reflected similarly in Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}",Are TV Ad Budget ($) and Radio Ad Budget ($) correlated with each other in a linear manner?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}",Do changes in TV Ad Budget ($) relate to changes in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in TV Ad Budget ($) similarly appear in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}",How do changes in TV Ad Budget ($) correlate with changes in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between TV Ad Budget ($) and Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between TV Ad Budget ($) and Newspaper Ad Budget ($) over time?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Radio Ad Budget ($) and Newspaper Ad Budget ($) consistent?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Radio Ad Budget ($) and Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Radio Ad Budget ($) similarly appear in Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Radio Ad Budget ($) and Newspaper Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}",Is the connection between Radio Ad Budget ($) and Newspaper Ad Budget ($) strong?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}",How closely do Newspaper Ad Budget ($) and Sales ($) follow a straight-line relationship?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Newspaper Ad Budget ($) relate to Sales ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}",Are variations in Newspaper Ad Budget ($) associated with variations in Sales ($)?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}",Is the connection between Newspaper Ad Budget ($) and Sales ($) strong?,easy
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}",Do Newspaper Ad Budget ($) and Sales ($) show any linear correlation?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}",How closely do CreditScore and Age follow a straight-line relationship?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in CreditScore similarly appear in Age?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}",Is the connection between CreditScore and Age strong?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between CreditScore and Age?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}",Are variations in CreditScore associated with variations in Age?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Do changes in CreditScore relate to changes in Tenure?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between CreditScore and Tenure?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Are movements in CreditScore reflected similarly in Tenure?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between CreditScore and Tenure?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between CreditScore and Tenure?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}",Do changes in CreditScore relate to changes in Balance?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between CreditScore and Balance?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between CreditScore and Balance?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}",Are CreditScore and Balance related in any way?,easy
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between CreditScore and Balance?,easy
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between CreditScore and NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}",Are CreditScore and NumOfProducts correlated with each other in a linear manner?,easy
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between CreditScore and NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}",Are movements in CreditScore reflected similarly in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between CreditScore and NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Are CreditScore and EstimatedSalary correlated with each other in a linear manner?,easy
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between CreditScore and EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between CreditScore and EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between CreditScore and EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}",Are variations in CreditScore associated with variations in EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and Tenure?,easy
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}",Are Age and Tenure correlated with each other in a linear manner?,easy
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Age and Tenure?,easy
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}",Are Age and Tenure related in any way?,easy
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}",Do Age and Tenure show any linear correlation?,easy
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}",Are movements in Age reflected similarly in Balance?,easy
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Age and Balance consistent?,easy
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Age and Balance?,easy
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}",Are Age and Balance related in any way?,easy
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}",How do changes in Age correlate with changes in Balance?,easy
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Age relate to NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}",Are variations in Age associated with variations in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Age and NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}",Do changes in Age relate to changes in NumOfProducts?,easy
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}",Are Age and EstimatedSalary related in any way?,easy
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Age and EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and EstimatedSalary?,easy
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}",Are Age and EstimatedSalary correlated with each other in a linear manner?,easy
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}",How closely do Age and EstimatedSalary follow a straight-line relationship?,easy
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""coefficient"": -0.01228, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00953, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00702, ""conclusion"": ""Not strongly correlated""}",Are Tenure and Balance correlated with each other in a linear manner?,easy
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""coefficient"": -0.01228, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00953, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00702, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Tenure and Balance over time?,easy
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""coefficient"": -0.01228, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00953, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00702, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Tenure and Balance consistent?,easy
