Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test,question,difficulty
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.00065, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Radio Ad Budget ($) and Newspaper Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.00065, ""conclusion"": ""Distribution significantly different""}",Do Radio Ad Budget ($) and Newspaper Ad Budget ($) follow the similar distribution curve?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.00065, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Radio Ad Budget ($) and Newspaper Ad Budget ($) similar?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do Radio Ad Budget ($) and Sales ($) follow the similar distribution curve?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Radio Ad Budget ($) and Sales ($) closely aligned?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Radio Ad Budget ($) and Sales ($)?,medium
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of Newspaper Ad Budget ($) and Sales ($)?,medium
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Newspaper Ad Budget ($) and Sales ($)?,medium
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Newspaper Ad Budget ($) and Sales ($) closely aligned?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do CreditScore and Age follow the similar distribution curve?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in CreditScore and Age?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of CreditScore and Age compare?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of CreditScore and Tenure?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of CreditScore compared to Tenure?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in CreditScore and Tenure statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of CreditScore and Balance similar?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in CreditScore and Balance statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of CreditScore and Balance?,medium
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of CreditScore and NumOfProducts similar?,medium
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of CreditScore and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of CreditScore and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of CreditScore and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of CreditScore and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of CreditScore and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Age and Tenure compare?,medium
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Age versus Tenure?,medium
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Age and Tenure closely aligned?,medium
Bank Customer Churn Prediction Dataset,Age,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Age compared to Balance?,medium
Bank Customer Churn Prediction Dataset,Age,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Age and Balance?,medium
Bank Customer Churn Prediction Dataset,Age,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Age and Balance differ significantly?,medium
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Age and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Age and NumOfProducts statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Age and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Age and EstimatedSalary differ significantly?,medium
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Age and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Age and EstimatedSalary similar?,medium
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Tenure and Balance similar?,medium
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Tenure and Balance statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Tenure and Balance?,medium
Bank Customer Churn Prediction Dataset,Tenure,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Tenure and NumOfProducts compare?,medium
Bank Customer Churn Prediction Dataset,Tenure,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Tenure and NumOfProducts closely aligned?,medium
Bank Customer Churn Prediction Dataset,Tenure,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Tenure and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Tenure and EstimatedSalary statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Tenure and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Tenure and EstimatedSalary compare?,medium
Bank Customer Churn Prediction Dataset,Balance,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do Balance and NumOfProducts follow the similar distribution curve?,medium
Bank Customer Churn Prediction Dataset,Balance,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Balance and NumOfProducts compare?,medium
Bank Customer Churn Prediction Dataset,Balance,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Balance and NumOfProducts?,medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Balance and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Balance and EstimatedSalary differ significantly?,medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Balance and EstimatedSalary statistically indistinguishable?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of NumOfProducts and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in NumOfProducts and EstimatedSalary?,medium
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of NumOfProducts and EstimatedSalary?,medium
Crop Production Dataset,Nigeria,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of Nigeria and Japan?,medium
Crop Production Dataset,Nigeria,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Nigeria and Japan closely aligned?,medium
Crop Production Dataset,Nigeria,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Nigeria and Japan?,medium
Crop Production Dataset,Nigeria,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Nigeria and Philippines?,medium
Crop Production Dataset,Nigeria,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Nigeria and Philippines differ significantly?,medium
Crop Production Dataset,Nigeria,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Nigeria compared to Philippines?,medium
Crop Production Dataset,Nigeria,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Nigeria and Myanmar similar?,medium
Crop Production Dataset,Nigeria,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Nigeria and Myanmar compare?,medium
Crop Production Dataset,Nigeria,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Myanmar?,medium
Crop Production Dataset,Nigeria,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Nigeria and Thailand?,medium
Crop Production Dataset,Nigeria,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Nigeria and Thailand?,medium
Crop Production Dataset,Nigeria,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Nigeria compared to Thailand?,medium
Crop Production Dataset,Nigeria,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Nigeria and Vietnam compare?,medium
Crop Production Dataset,Nigeria,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Nigeria and Vietnam similar?,medium
Crop Production Dataset,Nigeria,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Nigeria and Vietnam differ significantly?,medium
Crop Production Dataset,Nigeria,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Indonesia?,medium
Crop Production Dataset,Nigeria,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Nigeria and Indonesia similar?,medium
Crop Production Dataset,Nigeria,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Nigeria and Indonesia?,medium
Crop Production Dataset,Nigeria,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Nigeria and Bangladesh differ significantly?,medium
Crop Production Dataset,Nigeria,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do Nigeria and Bangladesh follow the similar distribution curve?,medium
Crop Production Dataset,Nigeria,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Nigeria and Bangladesh?,medium
Crop Production Dataset,Nigeria,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do Nigeria and India follow the similar distribution curve?,medium
Crop Production Dataset,Nigeria,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of Nigeria and India?,medium
Crop Production Dataset,Nigeria,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Nigeria and India?,medium
Crop Production Dataset,Nigeria,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of Nigeria and China?,medium
Crop Production Dataset,Nigeria,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Nigeria and China?,medium
Crop Production Dataset,Nigeria,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Nigeria and China closely aligned?,medium
Crop Production Dataset,Pakistan,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Pakistan and Japan differ significantly?,medium
Crop Production Dataset,Pakistan,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Pakistan and Japan?,medium
Crop Production Dataset,Pakistan,Japan,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do Pakistan and Japan follow the similar distribution curve?,medium
Crop Production Dataset,Pakistan,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Pakistan and Philippines?,medium
Crop Production Dataset,Pakistan,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Pakistan and Philippines?,medium
Crop Production Dataset,Pakistan,Philippines,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus Philippines?,medium
Crop Production Dataset,Pakistan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus Myanmar?,medium
Crop Production Dataset,Pakistan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Pakistan and Myanmar similar?,medium
Crop Production Dataset,Pakistan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Pakistan and Myanmar statistically indistinguishable?,medium
Crop Production Dataset,Pakistan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Pakistan and Thailand?,medium
Crop Production Dataset,Pakistan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Pakistan and Thailand?,medium
Crop Production Dataset,Pakistan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Pakistan and Thailand differ significantly?,medium
Crop Production Dataset,Pakistan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Pakistan and Vietnam similar?,medium
Crop Production Dataset,Pakistan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus Vietnam?,medium
Crop Production Dataset,Pakistan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of Pakistan and Vietnam?,medium
Crop Production Dataset,Pakistan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Pakistan and Indonesia?,medium
Crop Production Dataset,Pakistan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus Indonesia?,medium
Crop Production Dataset,Pakistan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Pakistan and Indonesia statistically indistinguishable?,medium
Crop Production Dataset,Pakistan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do Pakistan and Bangladesh follow the similar distribution curve?,medium
Crop Production Dataset,Pakistan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Pakistan compared to Bangladesh?,medium
Crop Production Dataset,Pakistan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Pakistan and Bangladesh differ significantly?,medium
Crop Production Dataset,Pakistan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Pakistan and India statistically indistinguishable?,medium
Crop Production Dataset,Pakistan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Pakistan and India?,medium
Crop Production Dataset,Pakistan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Pakistan and India?,medium
Crop Production Dataset,Pakistan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus China?,medium
Crop Production Dataset,Pakistan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Pakistan and China compare?,medium
Crop Production Dataset,Pakistan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Pakistan and China?,medium
Crop Production Dataset,Japan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Japan and Myanmar?,medium
Crop Production Dataset,Japan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Japan and Myanmar closely aligned?,medium
Crop Production Dataset,Japan,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Japan and Myanmar?,medium
Crop Production Dataset,Japan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of Japan versus Thailand?,medium
Crop Production Dataset,Japan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Japan and Thailand?,medium
Crop Production Dataset,Japan,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Japan compared to Thailand?,medium
Crop Production Dataset,Japan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Japan and Vietnam compare?,medium
Crop Production Dataset,Japan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Japan and Vietnam?,medium
Crop Production Dataset,Japan,Vietnam,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Japan and Vietnam?,medium
Crop Production Dataset,Japan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Japan and Indonesia differ significantly?,medium
Crop Production Dataset,Japan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Japan and Indonesia?,medium
Crop Production Dataset,Japan,Indonesia,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of Japan and Indonesia?,medium
Crop Production Dataset,Japan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Japan and Bangladesh similar?,medium
Crop Production Dataset,Japan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Japan and Bangladesh?,medium
Crop Production Dataset,Japan,Bangladesh,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How to assess the alignment of distributions in Japan and Bangladesh?,medium
Crop Production Dataset,Japan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in Japan and India statistically indistinguishable?,medium
Crop Production Dataset,Japan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do Japan and India follow the similar distribution curve?,medium
Crop Production Dataset,Japan,India,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of Japan and India differ significantly?,medium
Crop Production Dataset,Japan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Japan and China compare?,medium
Crop Production Dataset,Japan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Japan and China closely aligned?,medium
Crop Production Dataset,Japan,China,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Japan and China similar?,medium
Crop Production Dataset,United States,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Are the distributions of United States and Myanmar closely aligned?,medium
Crop Production Dataset,United States,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of United States and Myanmar compare?,medium
Crop Production Dataset,United States,Myanmar,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of United States and Myanmar?,medium
Crop Production Dataset,United States,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",Is there a notable discrepancy in the distribution frequency of United States versus Thailand?,medium
Crop Production Dataset,United States,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of United States and Thailand compare?,medium
Crop Production Dataset,United States,Thailand,"{""p value"": 0.02857, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of United States and Thailand?,medium
