gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some college,standard,none,74.99078962364594,70.42449675618306,67.97743287972702
male,group E,some college,standard,none,77.93133599970783,73.8443598019782,71.93661690351564
male,group E,associate's degree,standard,completed,74.76016300122936,66.72780962287734,88.5705589554425
female,group D,associate's degree,standard,none,69.09811605692238,69.32405974664219,80.3108186034913
female,group D,some high school,free/reduced,none,71.3093012903022,94.17896137902358,62.27507735102788
female,group D,associate's degree,free/reduced,completed,64.83895285189554,71.04528325569208,79.89061107993932
male,group B,associate's degree,free/reduced,none,65.01329956595693,76.5460338491995,73.2055481955032
male,group C,associate's degree,free/reduced,none,97.03624380734372,77.27939775423928,72.64305531651515
female,group C,associate's degree,standard,none,81.46089062672824,82.7630204517421,67.705770441563
female,group B,associate's degree,standard,none,62.09025862305154,62.62580343122409,69.25078716151155
male,group B,some college,free/reduced,completed,79.87647906068108,65.36025462835332,66.26015774983362
female,group E,associate's degree,free/reduced,none,43.917957596169664,71.91148423578629,67.5559201592733
male,group B,associate's degree,standard,none,79.875916528756,68.1004764315652,60.77143570970303
female,group A,associate's degree,standard,completed,74.99258631431226,83.73761230815066,77.6205674242435
female,group C,high school,standard,none,80.58952076159622,78.38367196294028,75.81359303887982
female,group D,associate's degree,free/reduced,completed,64.5380165860253,81.89441155329173,75.3727751145102
male,group C,high school,standard,completed,82.18346092496664,82.47735555830468,63.12837552430382
male,group E,some college,standard,none,69.65459801386135,65.22304013916917,76.94580091176098
male,group E,associate's degree,free/reduced,completed,73.42774321036325,79.90750556502161,89.35230069643767
male,group C,some college,standard,none,73.13669249361674,69.74474014050682,79.3884604354881
male,group D,high school,standard,none,86.8307056535986,57.22155864597036,81.83638422604926
female,group C,some high school,free/reduced,completed,77.539795239237,87.48039114738484,71.35308510237734
female,group C,high school,free/reduced,none,80.40425711168328,88.86127320699794,83.74415246752868
female,group E,associate's degree,standard,completed,73.15455450338139,69.9619442309449,83.289787875907
male,group D,associate's degree,standard,none,86.05238403593272,63.59435368657823,70.82962369657216
male,group D,some college,standard,completed,89.71060008103143,58.18675161712387,80.7257893692103
female,group C,some high school,free/reduced,none,63.25609785000753,75.23493503135528,66.63716654688993
male,group E,bachelor's degree,free/reduced,completed,91.25050513446232,54.01835431910516,63.677510088945326
male,group A,some high school,free/reduced,none,83.3366614437365,68.89022628630215,75.83363974504873
male,group A,associate's degree,free/reduced,none,76.01665459259252,70.49562408317286,86.04708946340168
female,group C,associate's degree,standard,none,65.03713592182677,78.36502819592782,70.92043370243253
female,group D,some high school,standard,none,79.89481868712991,73.39999472328546,67.08091039362287
male,group B,some high school,standard,none,70.13338453521254,62.6247740632848,60.30646747211819
male,group D,some high school,free/reduced,none,73.31228914843207,89.38966242808561,86.66642812238236
female,group C,some college,standard,none,78.01605516456759,71.2024178989882,65.40611603031869
male,group B,associate's degree,free/reduced,none,77.12654285843996,85.35899400925231,65.4754887043625
female,group C,associate's degree,standard,none,76.22873112312985,57.662163138579615,64.87223188735614
female,group D,some college,free/reduced,completed,97.55743894938315,76.89939069341867,77.39244095188542
male,group D,some college,standard,completed,84.8075155581352,69.61029783927567,86.61747846039165
female,group A,associate's degree,free/reduced,none,85.6460578592062,89.30068075893466,67.56485728897357
male,group C,some high school,free/reduced,none,71.42312668420384,62.592593888384016,86.56701864084032
male,group C,some high school,standard,none,64.12944330990852,74.05591332232422,82.0013046771971
male,group B,associate's degree,free/reduced,none,83.75204545839247,69.34198021278137,85.86037464488447
male,group E,some high school,standard,none,77.27856672754145,76.926495523345,76.40554673571627
male,group A,bachelor's degree,standard,completed,69.27935843191976,84.64943574944655,63.20997798796433
female,group D,some high school,standard,completed,84.25035518098356,78.72123067254027,70.71232733086596
female,group E,master's degree,standard,none,87.33747697024448,71.04220984143099,74.16913425836204
female,group B,associate's degree,standard,none,81.69623203746985,89.07935521427173,78.46512334363238
male,group B,high school,free/reduced,none,80.53941588138758,91.50785623829596,77.41151161732536
male,group A,some college,free/reduced,completed,55.14000236998118,68.08018582872003,74.08162431344762
male,group E,associate's degree,standard,none,55.902762035703546,89.18091867963267,80.74681345465135
male,group D,high school,free/reduced,none,79.51913826780249,78.46616389925926,84.13913280431267
female,group C,some college,standard,none,72.88769815599626,70.31256479727928,74.74226414451286
female,group C,some college,free/reduced,none,74.87299026436145,65.20511019901569,93.04889348676696
female,group D,associate's degree,standard,none,75.38982904061743,78.08347863045611,61.77784260680125
female,group A,some college,standard,none,63.68077693744435,66.19113706701394,86.90556096233047
female,group D,some high school,standard,none,100.0,88.10477992922489,79.64992345904199
female,group C,bachelor's degree,standard,none,86.38626482252883,93.45070390186432,43.08601520201847
male,group C,high school,free/reduced,none,73.95187698240191,75.75574657111656,84.13254090360375
male,group C,high school,standard,none,64.25254497909788,71.14698729316379,77.89695026186081
male,group C,associate's degree,free/reduced,completed,64.65201197845755,88.80518688538976,86.04214696021032
female,group B,some college,standard,none,70.95501980540054,74.9569876642917,84.01080284432956
male,group C,associate's degree,free/reduced,completed,80.60899384965924,63.868326395049,82.82273789883418
male,group B,some high school,standard,completed,73.05398454187956,81.12441407121204,73.77005700534693
female,group E,some college,standard,completed,78.67332558431701,78.68864454856933,86.22725314292006
female,group D,some college,free/reduced,none,88.83018955686744,62.01453309406676,83.26840853674193
female,group D,bachelor's degree,standard,none,80.51192998711912,68.10632275165398,84.0518229506619
male,group B,some college,standard,none,72.08636036582904,97.67352031325512,93.44236468841174
male,group D,bachelor's degree,standard,completed,85.83291436951497,71.66463627666083,74.85641532220313
female,group D,associate's degree,standard,none,59.15808293773502,55.88039487864235,89.78064951779623
male,group B,high school,standard,completed,72.31059279777602,78.96224377409594,79.85165874280871
male,group C,some college,standard,completed,79.08563818724207,75.19209093393111,83.82325058508478
female,group C,some college,standard,none,100.0,57.81640251920763,88.5123456104688
female,group D,master's degree,standard,none,77.63052234766884,56.88491492101766,76.7009091719217
male,group E,associate's degree,standard,completed,67.99831656594819,79.25370524601806,70.8729013742771
female,group B,associate's degree,free/reduced,none,60.93058171243918,66.25335994872626,62.0178737940005
female,group B,some high school,standard,none,72.9327780436418,74.73300206211526,61.25160963516355
female,group D,associate's degree,free/reduced,completed,75.70407999828183,73.06290043821582,74.54179398034488
male,group C,high school,standard,none,77.32859979116058,76.32803404978402,65.20698051144107
male,group A,associate's degree,standard,none,60.99886889684382,84.47365470154124,87.71896776967657
female,group D,some college,standard,none,68.91563023140776,77.72869337362876,91.68292327951347
female,group E,bachelor's degree,standard,completed,100.0,62.1575429254435,56.96448571778745
male,group C,high school,standard,none,52.0142817992782,55.57596284232443,80.53338979071013
female,group B,bachelor's degree,free/reduced,none,69.79019320745115,77.71073950102915,84.84742872907988
female,group D,bachelor's degree,standard,none,69.14879710321728,77.36346743440659,66.8008707961748
female,group D,some high school,standard,none,76.51947078941261,81.86897148728721,85.27677700368623
female,group C,some college,standard,none,78.66850001171439,74.74236925810006,80.52992663325414
female,group C,bachelor's degree,standard,completed,83.2601471041624,59.333702792851696,73.2481457409249
male,group B,associate's degree,standard,completed,72.09683733205108,78.66160441155583,68.02383088316043
female,group C,some college,standard,completed,73.9996133291364,77.39796054304993,67.72821711014416
male,group D,high school,free/reduced,none,81.25329689451527,78.23866325919838,58.89123467133888
male,group E,some college,standard,none,89.97686606429535,70.50549901105038,76.87920189787104
female,group B,high school,standard,none,79.68288516423937,66.35297149760497,64.05290471932196
male,group B,some high school,standard,none,63.11395291504895,65.86005278030282,72.64293321732714
male,group D,some college,standard,completed,76.67036395116347,81.1523960707794,80.97350263338005
male,group D,master's degree,standard,none,79.47798497783921,57.69443087367424,61.53563304312626
female,group A,bachelor's degree,standard,none,68.3684307349255,66.88040325682454,91.0527524261164
male,group D,master's degree,standard,none,73.30991297417638,78.14041452748498,81.678353677807
male,group C,some high school,free/reduced,completed,75.86533530526604,72.10032974332864,66.23168737446694
male,group E,some college,free/reduced,completed,65.99280167385908,81.05350989460081,55.07255732598871
female,group C,some college,standard,completed,69.12958838642025,92.90863828640886,77.48903187296987
male,group D,bachelor's degree,free/reduced,completed,70.78071963179885,84.11305000986077,68.56783908345547
male,group C,bachelor's degree,standard,none,82.27472815636085,83.8539812035899,72.11117062393323
male,group B,some high school,standard,completed,67.08287643474692,72.25424273321121,90.86547042315112
male,group E,high school,standard,none,74.77296020537787,77.09074904073259,54.236100221570815
female,group C,associate's degree,standard,none,69.70480744438647,51.051413508998905,71.91992670529072
male,group D,some college,standard,completed,72.19124890583777,79.28929922666934,69.2334180629185
female,group D,some high school,standard,none,84.55459498593332,69.72336816992139,69.54003634718977
female,group C,some college,free/reduced,none,77.1774378032606,74.3722157152257,91.1750148173939
female,group E,some college,free/reduced,completed,77.9999783823713,81.18789775725678,84.62984092535305
male,group A,high school,standard,none,63.09049128812168,62.05898030365694,80.53723077602449
male,group D,some college,standard,none,71.05368415582737,73.39976976746432,79.16948789849583
female,group C,some college,free/reduced,none,77.60005994417116,67.11388819683835,82.89710551016007
male,group B,some high school,standard,none,84.55611801928359,82.71886572928956,80.28789629374035
male,group C,associate's degree,free/reduced,none,63.58229035814338,85.61955293093703,85.06915259857645
female,group D,bachelor's degree,standard,completed,71.12620635077413,75.57111180054468,70.97464030815023
male,group E,associate's degree,free/reduced,completed,67.78145654300964,85.9580676401035,79.5047600106318
male,group A,some high school,standard,completed,80.17710609480841,60.23309995059326,87.448196709169
male,group A,bachelor's degree,standard,none,80.31471037784053,88.51460079834942,68.13103845538005
female,group B,associate's degree,standard,completed,49.28389739134843,86.34742263186484,80.7536595576394
male,group D,bachelor's degree,standard,none,68.92753497415082,73.44548092166758,81.14143502930091
male,group D,some high school,standard,none,66.88016119141339,84.86675894705232,78.93975175980042
female,group C,some college,standard,completed,67.50355129374107,83.00111563362191,60.7704564771322
female,group E,high school,free/reduced,completed,69.04799870969626,88.52869113355655,84.07351064959688
male,group B,some college,free/reduced,none,76.11199234462845,86.6338744610716,83.76686638243905
female,group B,associate's degree,standard,completed,65.73269606525365,69.84480100123744,85.2864825700479
male,group D,associate's degree,free/reduced,none,56.5683759100305,68.79034218337506,74.83493426968481
male,group B,associate's degree,free/reduced,completed,77.16251501416022,78.44392738887616,100.0
female,group E,some college,free/reduced,completed,77.65811863868383,74.24324726173539,81.83803526310061
male,group B,master's degree,free/reduced,none,66.44212309929398,63.3217940640096,91.4409686487928
male,group C,high school,standard,none,77.88305156493112,55.74730348284864,79.19288865918526
female,group E,master's degree,standard,none,71.77283710477666,86.20992946598962,79.6629079450808
female,group C,bachelor's degree,standard,completed,89.19491310648871,89.48879247175356,78.6224056203669
male,group C,high school,free/reduced,completed,77.58387400209367,77.44706315392503,93.04104951382776
female,group B,master's degree,free/reduced,completed,65.57670286119009,62.84186731240471,77.89399741858597
female,group B,high school,standard,completed,61.936549614569984,60.98437963826203,75.22870828941585
female,group C,some college,free/reduced,completed,82.2373792018774,83.17143383168265,66.93818373131687
male,group A,high school,standard,completed,66.69607798748314,78.06300429806431,83.9398360551653
male,group E,some high school,standard,none,65.53162275241002,95.36983181797468,66.76632297952226
female,group D,some college,standard,none,79.85876130511619,70.58500293458448,71.50396217908725
female,group C,associate's degree,standard,none,61.96171534358661,78.77786954484989,67.74121787584318
female,group C,bachelor's degree,free/reduced,completed,70.84365977698485,80.15418255220102,76.73782083959259
female,group C,master's degree,standard,completed,66.34942773580597,67.20576123026251,62.744305101553664
female,group B,high school,free/reduced,completed,61.10836894080167,76.46566900194127,74.39568311977258
female,group C,associate's degree,standard,completed,63.7379620814807,76.2479000766104,74.38675025530992
female,group B,master's degree,free/reduced,completed,71.6592384954555,80.01180186057115,69.15268725363273
female,group D,some high school,standard,completed,88.96025048672463,83.08234013925762,71.18975563414628
male,group C,master's degree,free/reduced,completed,75.68274179745946,64.50339161882735,64.3564055428284
female,group C,some college,free/reduced,none,61.17823167446069,74.82225219494119,72.57717043084465
female,group E,high school,standard,none,62.581501545024246,76.81327458350633,82.80392746428421
female,group D,associate's degree,standard,none,67.77037905367025,74.40447063977612,74.90745414091286
male,group C,some high school,free/reduced,completed,85.98994417356866,93.13249193244248,72.18016905782528
male,group C,associate's degree,free/reduced,completed,60.41436678270106,86.46902215599232,83.00353421914257
male,group E,high school,standard,none,80.4362880631389,73.42304368499786,78.24231403018324
male,group D,some high school,standard,completed,67.44069965246851,78.83190161923345,64.70344926997983
male,group B,some high school,free/reduced,none,75.38912481215995,69.76490933268892,86.04234165754121
female,group C,bachelor's degree,standard,none,67.65385628362048,70.64611531351844,70.75035585113866
female,group E,associate's degree,standard,none,61.41797911429555,69.4202462728009,68.06735590300076
male,group D,some college,standard,completed,80.18842976719334,77.63549417929744,73.81569464648149
female,group B,some high school,standard,none,72.07362251171344,91.53357876061558,79.05433503410777
male,group D,some college,standard,completed,66.27488789982097,85.42863562081209,71.1549922634518
female,group C,master's degree,standard,completed,73.59820199453978,73.94886165116816,86.8707224682834
male,group D,associate's degree,standard,none,96.48832670295997,73.85198843591881,78.24685284740679
male,group C,some high school,free/reduced,completed,58.36611140645635,69.55574195341401,76.90072755786153
male,group E,high school,free/reduced,none,72.75744241198893,73.14995109574654,71.9785401460567
female,group B,some college,free/reduced,none,91.11355232201632,72.21109738709994,75.09738127956086
female,group B,bachelor's degree,free/reduced,none,79.34122140836467,63.36451842990451,74.44035389077736
female,group C,associate's degree,standard,completed,78.37709658279908,67.34220455042521,82.15621940431056
female,group D,some college,free/reduced,none,63.41678420649617,81.43311363511691,72.23860501881123
male,group C,associate's degree,standard,none,91.2375513599325,68.88154813167881,79.7715688871483
female,group B,associate's degree,standard,none,88.950437279071,63.59513592048868,67.74736209587812
male,group C,some college,standard,none,86.22351923750674,75.77404944236848,85.7911858151921
male,group D,some high school,standard,completed,70.53823011948732,87.47968203754763,88.26527122197263
male,group E,bachelor's degree,standard,none,62.17836006174996,68.49328981557454,71.29654286208442
male,group E,high school,standard,completed,94.44770873587068,82.48818062341931,84.78119791954039
female,group B,some college,free/reduced,none,55.30228279027576,61.03604946977471,61.14599665553301
female,group B,some college,free/reduced,none,78.00612096584133,69.912438237229,76.28968757208708
male,group D,some high school,free/reduced,completed,89.36902938004636,55.24133142346742,68.08866803268839
male,group C,some college,free/reduced,none,66.96151869358266,73.25462493606555,86.60565847314969
female,group C,high school,free/reduced,none,65.53319020638426,82.03309162839398,87.23097190587383
male,group C,associate's degree,free/reduced,completed,87.97013565809307,70.88095387858183,84.07403830002225
male,group E,high school,standard,completed,77.45161923500834,71.33945238040248,87.2281957907039
male,group B,some high school,standard,completed,67.45481172893292,71.43183573859689,57.63374601284787
female,group E,associate's degree,free/reduced,completed,91.15566413980252,79.75603952487258,62.23184043501263
female,group C,high school,free/reduced,none,56.68772211171861,83.63146887168664,88.11404969984403
male,group B,high school,free/reduced,none,87.67548622925568,86.992220553722,75.47872184064104
male,group B,some high school,standard,completed,92.3408314879264,79.96831686917574,77.92078116214351
female,group D,high school,standard,completed,77.10350941689777,100.0,84.45004202969636
male,group B,associate's degree,standard,none,66.8224457453133,70.0741465945326,75.4627963808491
female,group C,some high school,free/reduced,none,67.53369786591301,69.86481428030531,62.41436455172659
male,group D,some high school,standard,none,60.94427970903172,86.40680649291997,66.33817392356484
female,group B,associate's degree,standard,completed,65.88948963004806,70.92395807667981,80.06408012760232
female,group E,master's degree,free/reduced,none,75.34400772133552,72.56830545113888,71.69860858582817
female,group C,some college,standard,none,67.71839928511342,63.696659487578486,73.24166878689635
male,group D,high school,standard,none,63.2234184002189,67.76695257246284,77.90322214533244
male,group A,some high school,free/reduced,none,72.50992760130707,63.91071697478971,83.67273460913769
female,group C,some college,standard,completed,97.36855857771602,76.02489001091227,56.80606299332037
male,group D,some college,standard,none,59.23046312503047,78.0727938298736,60.84596640775175
male,group C,associate's degree,standard,none,62.17446452626075,62.43983619611939,85.70859442188657
female,group B,bachelor's degree,standard,none,87.1699588675185,82.57860686949579,76.98306775091764
male,group E,some high school,standard,none,79.85348242505783,72.82868810597616,75.4840169613001
male,group C,bachelor's degree,standard,completed,56.948852508675785,76.87623952720469,68.86451053848143
male,group D,associate's degree,standard,none,77.64368033740332,68.82727808363857,59.30920152064094
male,group D,bachelor's degree,free/reduced,none,82.8286990847184,79.03133171656225,71.84307235235264
female,group D,some high school,standard,completed,51.05905958348983,70.86879557911156,81.40422472507501
male,group B,some college,standard,none,62.55510927101082,60.58515674401983,81.8529935083232
male,group C,associate's degree,standard,none,75.05017268863978,82.78283281029385,76.66591403873721
male,group D,high school,free/reduced,completed,75.08235354130959,85.73033509328181,61.01012953041848
female,group E,bachelor's degree,standard,none,81.33082562026658,76.98843695353096,81.24091353982888
female,group D,high school,standard,none,82.26293685271743,81.22054403982182,88.99863938690469
male,group E,some college,standard,none,60.44249718890662,73.51855418027732,88.51943023857226
male,group D,some high school,standard,none,75.02970106642962,68.9449040926721,83.35302934428064
male,group C,associate's degree,standard,none,63.2272904665734,97.2965992009087,79.87685179415374
male,group E,associate's degree,standard,none,62.48322393962916,64.21715042482282,73.98797116240868
female,group B,high school,standard,completed,81.9056096249205,61.87547302431766,88.64615449402238
female,group B,high school,standard,none,85.2194652088155,67.04266090338217,74.03669090757441
male,group C,high school,standard,none,73.33374935888142,51.18924723845595,80.27069268941327
male,group A,some high school,standard,completed,65.64278617311888,83.47348296441083,63.6935732085858
female,group D,some college,free/reduced,none,66.0426989606425,74.90122479001055,74.97407903567458
female,group B,some high school,standard,completed,80.82922023307886,97.27368017761316,79.15181003325928
male,group D,master's degree,standard,none,97.53215558021476,98.26500638106936,100.0
male,group D,high school,standard,none,74.38001566672747,61.35068855513784,63.986672631408176
female,group E,some college,standard,none,82.74557668011937,83.8708075457139,88.37679424468861
female,group C,associate's degree,free/reduced,none,82.39471396976198,82.40425573209268,71.4317933209611
male,group C,associate's degree,standard,completed,76.28755186342089,53.76089511262029,87.96212883108741
female,group B,some college,standard,none,85.95928126739997,58.88577815971442,71.61912984673116
female,group C,master's degree,free/reduced,completed,73.3094953512285,63.50075547950328,77.1125440401682
female,group C,some high school,free/reduced,completed,69.7568067641455,66.07972763454723,81.49858863405478
male,group C,some college,standard,completed,82.0274079711507,74.88923182377908,63.07881236965936
female,group C,some high school,free/reduced,none,55.0590145091521,90.52566032577184,66.31939642086856
female,group E,high school,standard,none,68.74890017403013,65.4646632121262,77.2509105351574
male,group D,high school,standard,none,85.76698840933116,68.9027840992605,81.97765932750195
male,group D,some high school,free/reduced,none,72.35068291299993,70.61972070246838,74.07186360237075
female,group C,bachelor's degree,standard,none,70.79359734708677,83.2268925787065,86.49708017550924
female,group D,high school,standard,none,75.9842136542366,92.571011568179,91.59476525145656
female,group D,associate's degree,standard,completed,87.08455334275786,59.86965552015956,56.89495759675652
female,group E,some college,free/reduced,none,78.65507699811113,96.385462223707,85.55795582961095
male,group C,bachelor's degree,standard,none,64.96871143245762,82.08198137802448,73.91343298376437
male,group C,some college,standard,none,80.239394379213,73.44947612007832,60.97666538092376
female,group D,associate's degree,free/reduced,none,93.31738088347684,94.54927675516076,83.85654909636654
female,group D,some college,standard,none,84.49039186661358,73.7881697075645,69.50186852247892
male,group B,some college,standard,completed,73.17626092248838,77.47222259786669,55.93927439981993
male,group C,bachelor's degree,standard,none,75.23628004301683,81.62007313973002,81.92217044675098
female,group C,some high school,standard,completed,87.58021664550371,79.1728672215693,80.38170219837981
female,group E,high school,standard,completed,76.30936290607042,88.9533745800378,92.3029410975063
female,group C,some high school,free/reduced,none,83.79010422268114,81.60138387395261,70.39044992502936
male,group B,bachelor's degree,free/reduced,none,68.78092107183996,65.49053115192797,79.16008249976424
male,group D,high school,standard,none,57.5276156996451,70.53744243273078,74.54278607149519
male,group D,high school,standard,none,67.22629393978087,75.81567286105651,78.74450068876023
female,group D,bachelor's degree,free/reduced,none,81.86651433101173,73.43442515917586,61.80351932405628
female,group D,some college,free/reduced,completed,100.0,89.46600791447241,75.72205391612721
female,group B,some high school,standard,none,87.10724094352236,82.60740613127463,92.34156975854802
male,group B,associate's degree,standard,completed,97.22026902660062,72.63521917189024,74.27613660259891
male,group E,associate's degree,standard,completed,69.87308180112211,66.69445721352032,84.32296073640076
female,group B,some high school,standard,none,81.4592890426948,63.45006737470448,63.0803140148408
male,group B,bachelor's degree,free/reduced,none,78.30974948703208,55.29324179919384,72.38944020604941
male,group E,some high school,standard,completed,74.33928802337901,72.63440745038015,80.74966735051967
male,group C,associate's degree,standard,none,77.82588894520235,79.76412057934036,72.54082520608647
male,group D,some high school,standard,none,87.18728833336486,75.48211833859088,64.88231153722033
male,group C,some high school,standard,completed,97.9583501149842,68.82921402859765,81.40106715205826
female,group E,bachelor's degree,standard,none,64.72581651417988,87.33698616802846,73.24072134864718
male,group D,high school,free/reduced,completed,76.55342007676975,78.37706448019495,70.27341508730122
male,group B,associate's degree,free/reduced,none,70.56637797990324,82.42013110570564,80.60272692109328
male,group A,some high school,standard,completed,74.22304392129082,78.60802907521251,63.17016181360286
male,group E,associate's degree,standard,completed,69.76652419158656,87.69646759844487,53.15610399573781
male,group C,high school,free/reduced,completed,85.28981735363391,69.1282563117151,48.68213833059652
male,group D,associate's degree,free/reduced,none,76.90744987333485,97.3524794931782,69.43536180163693
male,group A,some college,free/reduced,completed,77.19800176675035,82.90658954997367,86.83921177202335
male,group D,some high school,free/reduced,none,94.47140964994048,84.52698661445856,70.7246686320042
female,group C,associate's degree,standard,completed,70.96583473454851,72.80605955774882,63.47602529118973
male,group B,associate's degree,standard,none,71.59768675695857,77.12825429913694,80.64291754669178
female,group C,associate's degree,standard,completed,81.41901964712888,68.8553139181088,66.99163096285123
male,group A,some college,standard,none,80.1263663105055,85.18783937632963,70.26822513135629
male,group E,some college,standard,completed,53.88925378176484,85.01255825970954,66.0935705067465
male,group C,some high school,standard,none,92.49008760820227,71.47088518126588,83.90934623285608
female,group B,associate's degree,free/reduced,none,87.76858511316279,83.06420435327084,74.27912414370235
female,group D,high school,free/reduced,none,90.7517549860816,70.26320550222663,95.24012886993476
female,group B,associate's degree,standard,none,100.0,75.94710556320891,77.96246753309359
male,group B,bachelor's degree,standard,none,74.3850311374597,80.06137621464757,57.94724845931541
male,group D,bachelor's degree,standard,completed,74.42026423034525,100.0,75.18313689106203
female,group C,associate's degree,free/reduced,completed,100.0,59.3615943348892,75.49861706333198
female,group C,bachelor's degree,standard,completed,68.38689032323202,72.05934209883333,79.17311330944024
male,group C,high school,standard,none,79.06436065077348,97.5847461829866,57.94684646448985
female,group D,master's degree,standard,completed,83.56282240674953,64.29977467462574,81.7468424801203
male,group C,associate's degree,standard,none,70.12438041340513,52.94238236582046,56.3414541564059
male,group B,bachelor's degree,standard,none,73.90591037224716,92.84824129559894,63.748424052057295
female,group D,associate's degree,free/reduced,none,70.45569830415961,71.86863410077402,72.76669368917867
female,group C,high school,free/reduced,completed,65.38796027728547,82.51497198973632,79.17301947653081
female,group E,high school,standard,none,66.72969202509135,68.196839662713,76.38115168345381
female,group C,some college,standard,none,80.54357468779511,82.34510472071291,86.52403765716903
female,group C,some high school,free/reduced,none,63.77034643889797,71.21864059144335,90.91472299840116
female,group C,high school,free/reduced,none,78.58634303593072,100.0,65.51645663523976
female,group C,some college,standard,none,79.536695654103,92.43764865136824,70.74931770086738
male,group C,some college,standard,none,72.91016159422232,74.69530628407279,76.4822352951885
male,group A,some college,free/reduced,none,80.2928999772023,86.03228968600635,67.87762870827157
male,group C,associate's degree,standard,completed,71.6400261002272,74.17642526704485,70.97124319452418
female,group B,some high school,standard,none,74.475505196729,69.43643651663727,78.58830673232453
male,group C,high school,standard,none,80.4952836840214,65.06381923218333,79.20931026388071
male,group C,associate's degree,standard,none,77.3401691796203,67.73465430307289,56.18723682795394
male,group E,associate's degree,standard,completed,84.69314933158876,57.33124923424868,67.65120678862881
male,group B,associate's degree,standard,none,67.54141221124661,73.03934089064299,84.73176578480306
female,group C,bachelor's degree,standard,none,59.21600756655279,82.56828593436416,76.27542776180216
female,group B,some college,free/reduced,none,72.42186350223785,77.21374581863671,81.40256200533649
male,group D,some high school,standard,completed,69.6403919000256,73.56790208529172,69.55678380304471
male,group C,associate's degree,standard,none,66.32318055543237,91.52708988506402,71.4172484444771
female,group B,some high school,free/reduced,none,82.09522163799713,85.27276663414798,71.57445870212734
female,group D,some high school,free/reduced,completed,86.34151482640401,70.39516456511151,73.7032018299286
male,group C,high school,free/reduced,none,72.35619834134438,82.14496176980538,92.61887929962026
female,group C,high school,standard,none,61.58006554299432,75.11325190635488,70.14967272830017
female,group B,high school,standard,completed,62.416548668245824,75.71431568000732,86.65555649486673
male,group D,associate's degree,standard,completed,78.28820691362785,80.02694731647027,80.15222187561653
male,group D,some college,standard,none,82.0107879879319,86.55748446820161,66.79038703571125
female,group C,high school,standard,none,71.6060519343348,75.77996380229997,60.21523668706288
male,group B,some college,standard,none,77.1133036336843,81.125573273218,74.85352825091708
female,group C,bachelor's degree,standard,completed,77.79014864149562,75.52675496060522,68.83843703740385
male,group D,high school,free/reduced,none,59.2940467618071,73.37922961668238,91.84686266918698
male,group E,associate's degree,standard,none,73.47774510640828,77.324821645401,61.244157069983125
