productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Strawberries,2019/4/21,0.69,2.92,2.04,2.38,3.16,2.8043
Romaine Lettuce,2019/4/21,0.51,2.09,2.0,1.77,1.86,2.7843
Red Leaf Lettuce,2019/4/21,0.45,1.84,1.98,1.84,1.86,3.1778
Potatoes,2019/4/21,1.6,4.97,4.31,3.99,6.22,2.0453
Oranges,2019/4/21,0.41,1.44,1.54,0.99,1.99,2.6341
Iceberg Lettuce,2019/4/21,0.42,1.29,1.56,1.84,1.49,2.6786000000000003
Green Leaf Lettuce,2019/4/21,0.43,1.84,1.77,1.84,2.07,3.3720999999999997
Celery,2019/4/21,2.98,1.82,2.54,2.52,2.24,-0.2349
Cauliflower,2019/4/21,1.96,2.91,3.23,4.08,3.35,0.7309
Carrots,2019/4/21,0.3,0.99,0.95,0.99,1.12,2.375
Broccoli Crowns,2019/4/21,0.75,1.82,1.67,2.14,1.86,1.4967
Broccoli Bunches,2019/4/21,0.85,1.64,2.04,1.49,1.63,1.0
Avocados,2019/4/21,1.03,1.21,1.75,1.75,1.85,0.5922
Strawberries,2019/4/14,0.9,3.04,2.31,2.5,3.41,2.1278
Romaine Lettuce,2019/4/14,0.56,1.99,2.12,1.77,2.02,2.5268
Red Leaf Lettuce,2019/4/14,0.44,2.32,2.03,1.92,1.9,3.642
Potatoes,2019/4/14,1.6,5.07,4.97,3.99,6.22,2.1641
Oranges,2019/4/14,0.41,1.32,1.34,1.31,2.1,2.7012
Iceberg Lettuce,2019/4/14,0.57,1.49,1.61,1.84,1.56,1.8509
Green Leaf Lettuce,2019/4/14,0.43,2.59,1.82,1.92,1.8,3.7267
Celery,2019/4/14,2.98,1.82,2.36,2.52,2.24,-0.25
Cauliflower,2019/4/14,1.18,3.44,2.7,4.18,3.1,1.8432
Carrots,2019/4/14,0.29,0.99,0.95,0.99,1.02,2.4052000000000002
Broccoli Crowns,2019/4/14,0.46,2.24,1.8,2.14,1.99,3.4402
Broccoli Bunches,2019/4/14,0.57,1.94,2.24,1.49,1.63,2.2018
Avocados,2019/4/14,1.13,1.29,1.87,1.5,1.85,0.4403
Asparagus,2019/4/14,2.43,2.48,1.88,2.49,1.61,-0.12960000000000002
Strawberries,2019/4/7,1.08,3.04,2.94,2.62,3.74,1.8565
Romaine Lettuce,2019/4/7,0.46,1.99,2.28,1.69,1.96,3.3043
Red Leaf Lettuce,2019/4/7,0.43,2.32,1.86,1.99,2.0,3.75
Potatoes,2019/4/7,1.6,4.07,4.97,3.99,6.22,2.0078
Oranges,2019/4/7,0.41,1.57,1.49,0.99,1.7,2.5061
Iceberg Lettuce,2019/4/7,0.5,1.29,1.61,1.84,1.61,2.1750000000000003
Green Leaf Lettuce,2019/4/7,0.39,2.32,1.93,1.99,1.81,4.160299999999999
Celery,2019/4/7,2.9,1.52,2.34,2.52,2.83,-0.20600000000000002
Cauliflower,2019/4/7,1.06,3.41,3.36,4.18,3.36,2.375
Carrots,2019/4/7,0.3,0.99,0.96,0.99,1.09,2.3583000000000003
Broccoli Crowns,2019/4/7,0.49,1.82,1.97,2.14,2.09,3.0918
Avocados,2019/4/7,1.18,1.16,1.7,1.02,1.57,0.1547
Asparagus,2019/4/7,2.43,2.65,2.73,2.99,2.74,0.14300000000000002
Strawberries,2019/3/31,1.81,2.79,3.07,2.87,3.24,0.6533
Romaine Lettuce,2019/3/31,0.39,2.14,2.12,1.69,1.96,4.0705
Red Leaf Lettuce,2019/3/31,0.34,1.82,2.0,1.99,2.06,4.7868
Potatoes,2019/3/31,1.6,4.97,4.97,3.99,6.22,2.1484
Oranges,2019/3/31,0.42,1.58,1.58,1.34,1.7,2.6905
Iceberg Lettuce,2019/3/31,0.51,1.49,1.56,1.84,1.99,2.3725
Green Leaf Lettuce,2019/3/31,0.34,2.59,1.8,1.99,1.95,5.125
Celery,2019/3/31,2.73,1.84,2.39,2.47,2.37,-0.16940000000000002
Cauliflower,2019/3/31,0.99,3.41,3.36,3.93,3.15,2.4975
Carrots,2019/3/31,0.3,0.99,0.96,0.99,1.12,2.3833
Broccoli Crowns,2019/3/31,0.65,1.82,1.82,2.07,1.89,1.9231
Broccoli Bunches,2019/3/31,0.73,1.94,2.07,1.49,1.89,1.5308000000000002
Avocados,2019/3/31,1.19,0.95,0.96,1.25,1.49,-0.023100000000000002
Asparagus,2019/3/31,2.34,2.45,2.13,3.49,2.74,0.1549
Strawberries,2019/3/24,1.81,2.82,3.06,3.12,3.48,0.7238
Romaine Lettuce,2019/3/24,0.34,1.99,2.12,1.69,,3.2647000000000004
Red Leaf Lettuce,2019/3/24,0.35,1.79,1.85,1.99,2.09,4.5143
Potatoes,2019/3/24,1.7,3.66,4.97,3.99,5.44,1.6559000000000001
Oranges,2019/3/24,0.34,1.58,1.49,1.34,1.75,3.5294
Iceberg Lettuce,2019/3/24,0.56,1.49,1.61,1.79,2.24,2.1830000000000003
Green Leaf Lettuce,2019/3/24,0.34,2.29,1.93,1.99,1.92,4.9779
Celery,2019/3/24,2.73,1.75,2.39,2.47,2.24,-0.18960000000000002
Cauliflower,2019/3/24,0.99,3.41,3.68,4.08,3.61,2.7323000000000004
Carrots,2019/3/24,0.3,0.99,0.95,0.99,1.12,2.375
Broccoli Crowns,2019/3/24,0.89,1.85,1.97,2.14,1.96,1.2247000000000001
Avocados,2019/3/24,1.06,0.92,1.38,1.31,1.37,0.1745
Strawberries,2019/3/17,1.88,2.79,3.07,2.32,3.49,0.5519
Romaine Lettuce,2019/3/17,0.43,2.09,2.12,1.69,2.5,3.8837
Red Leaf Lettuce,2019/3/17,0.6,2.59,1.73,1.99,2.06,2.4875000000000003
Potatoes,2019/3/17,1.7,4.97,4.97,3.99,5.97,1.9265
Oranges,2019/3/17,0.42,1.45,1.53,0.99,1.62,2.3274000000000004
Iceberg Lettuce,2019/3/17,0.92,1.51,1.56,1.77,2.24,0.9239
Green Leaf Lettuce,2019/3/17,0.38,2.59,1.78,1.99,1.98,4.486800000000001
Celery,2019/3/17,2.7,1.57,2.01,2.24,2.24,-0.25370000000000004
Cauliflower,2019/3/17,1.98,3.27,2.81,3.93,3.61,0.7197
Carrots,2019/3/17,0.3,0.99,0.96,0.99,1.12,2.3833
Broccoli Crowns,2019/3/17,0.85,2.29,2.27,2.07,1.96,1.5265000000000002
Broccoli Bunches,2019/3/17,0.97,1.94,2.15,1.49,1.89,0.9253
Avocados,2019/3/17,0.64,0.94,1.31,1.24,1.31,0.875
Strawberries,2019/3/10,1.88,2.66,2.99,2.75,2.94,0.508
Romaine Lettuce,2019/3/10,0.49,2.49,2.28,1.52,2.36,3.4133
Red Leaf Lettuce,2019/3/10,0.48,2.59,1.88,1.74,2.09,3.3229
Potatoes,2019/3/10,1.7,4.72,4.47,3.99,6.22,1.8529
Oranges,2019/3/10,0.42,1.58,1.68,1.34,1.62,2.7024000000000004
Iceberg Lettuce,2019/3/10,0.75,1.31,1.56,1.67,2.36,1.3
Green Leaf Lettuce,2019/3/10,0.48,2.32,1.93,1.74,1.98,3.1510000000000002
Celery,2019/3/10,2.22,1.75,1.94,2.14,2.49,-0.0631
Cauliflower,2019/3/10,1.5,3.27,3.61,4.08,3.48,1.4066999999999998
Carrots,2019/3/10,0.3,1.25,0.95,0.99,1.05,2.5333
Broccoli Crowns,2019/3/10,0.69,2.29,1.8,2.19,1.87,1.9528999999999999
Avocados,2019/3/10,0.55,0.92,1.13,1.24,1.37,1.1181999999999999
Strawberries,2019/3/3,1.88,2.46,2.31,2.99,3.06,0.4388
Romaine Lettuce,2019/3/3,0.7,1.89,2.2,1.52,2.17,1.7786000000000002
Red Leaf Lettuce,2019/3/3,0.64,2.32,1.85,1.74,1.95,2.0703
Potatoes,2019/3/3,1.7,3.97,4.47,3.99,5.97,1.7059
Oranges,2019/3/3,0.42,1.58,1.72,1.52,1.67,2.8631
Iceberg Lettuce,2019/3/3,1.03,1.46,1.56,1.52,2.24,0.6456000000000001
Green Leaf Lettuce,2019/3/3,0.65,2.32,1.78,1.74,1.95,1.9962000000000002
Celery,2019/3/3,1.78,1.52,2.11,1.99,2.24,0.1039
Cauliflower,2019/3/3,2.45,3.27,3.71,4.28,3.48,0.5041
Carrots,2019/3/3,0.3,1.14,0.96,0.99,1.12,2.5083
Broccoli Crowns,2019/3/3,0.96,1.85,1.97,2.29,1.87,1.0781
Broccoli Bunches,2019/3/3,1.07,1.94,2.15,1.19,1.89,0.6752
Avocados,2019/3/3,0.52,0.82,1.31,1.37,1.31,1.3125
Strawberries,2019/2/24,1.75,2.66,1.88,2.99,2.99,0.5029
Romaine Lettuce,2019/2/24,0.79,1.89,2.04,1.52,2.17,1.4114
Red Leaf Lettuce,2019/2/24,0.82,2.32,1.97,1.74,1.95,1.4328999999999998
Potatoes,2019/2/24,1.7,4.72,4.47,3.99,5.47,1.7426
Oranges,2019/2/24,0.42,1.54,1.53,1.34,1.74,2.6607
Iceberg Lettuce,2019/2/24,1.34,1.51,1.44,1.52,1.76,0.1623
Green Leaf Lettuce,2019/2/24,0.82,2.32,1.93,1.74,1.87,1.3962999999999999
Celery,2019/2/24,1.7,1.72,2.09,1.99,2.24,0.18239999999999998
Cauliflower,2019/2/24,3.38,2.87,3.71,3.78,3.48,0.023700000000000002
Carrots,2019/2/24,0.3,0.92,0.85,0.99,1.05,2.1750000000000003
Broccoli Crowns,2019/2/24,1.08,1.92,1.97,1.99,1.96,0.8148000000000001
Broccoli Bunches,2019/2/24,1.17,1.78,1.7,1.49,1.89,0.4658
Avocados,2019/2/24,0.52,0.92,1.31,1.31,1.34,1.3462
Strawberries,2019/2/17,1.63,3.12,3.65,4.12,3.48,1.2040000000000002
Romaine Lettuce,2019/2/17,0.6,1.89,2.2,1.52,2.02,2.1792
Red Leaf Lettuce,2019/2/17,0.68,2.32,1.98,1.74,2.0,1.9559
Potatoes,2019/2/17,1.7,4.72,4.47,3.99,5.47,1.7426
Oranges,2019/2/17,0.41,1.54,1.19,1.34,1.74,2.5427
Iceberg Lettuce,2019/2/17,0.88,1.51,1.31,1.52,1.51,0.6619
Green Leaf Lettuce,2019/2/17,0.65,2.32,1.93,1.74,1.98,2.0654
Celery,2019/2/17,1.71,1.72,1.82,1.99,2.19,0.12869999999999998
Cauliflower,2019/2/17,3.04,2.87,3.09,3.78,2.86,0.0362
Carrots,2019/2/17,0.3,0.92,0.92,0.99,1.05,2.2333000000000003
Broccoli Crowns,2019/2/17,0.85,1.92,1.97,1.99,1.96,1.3059
Broccoli Bunches,2019/2/17,0.98,1.78,2.15,1.49,1.89,0.8648
Avocados,2019/2/17,0.52,0.96,1.36,0.83,1.34,1.1587
Oranges,2019/2/10,0.41,1.72,1.64,0.99,1.97,2.8537
Strawberries,2019/2/10,2.25,2.99,3.36,3.96,3.36,0.5189
Romaine Lettuce,2019/2/10,0.4,1.89,2.2,1.52,1.86,3.6688
Red Leaf Lettuce,2019/2/10,0.46,2.32,1.98,1.74,1.97,3.3533
Potatoes,2019/2/10,1.7,4.72,4.47,3.99,5.47,1.7426
Iceberg Lettuce,2019/2/10,0.41,1.51,1.56,1.52,1.81,2.9024
Green Leaf Lettuce,2019/2/10,0.42,2.32,1.9,1.74,1.91,3.6845
Celery,2019/2/10,1.72,1.62,1.79,1.99,2.07,0.0858
Cauliflower,2019/2/10,2.27,2.62,3.46,3.78,2.99,0.4152
Carrots,2019/2/10,0.3,1.11,0.92,0.99,1.05,2.3916999999999997
Broccoli Crowns,2019/2/10,0.63,2.22,1.8,1.99,1.59,2.0159000000000002
Broccoli Bunches,2019/2/10,1.14,1.78,2.49,1.49,1.89,0.6776000000000001
Avocados,2019/2/10,0.52,0.89,0.99,1.25,1.34,1.149
Romaine Lettuce,2019/2/3,0.35,1.99,2.2,1.59,1.86,4.4571
Red Leaf Lettuce,2019/2/3,0.44,2.32,1.98,1.74,2.0,3.5682
Potatoes,2019/2/3,1.7,4.72,4.47,3.99,5.47,1.7426
Oranges,2019/2/3,0.41,1.55,1.59,0.99,1.65,2.5244
Iceberg Lettuce,2019/2/3,0.4,1.51,1.31,1.42,2.06,2.9375
Green Leaf Lettuce,2019/2/3,0.38,2.32,1.9,1.74,1.95,4.2039
Celery,2019/2/3,1.64,1.62,1.89,1.99,1.94,0.1341
Cauliflower,2019/2/3,1.39,2.71,3.46,3.78,3.11,1.3489
Carrots,2019/2/3,0.3,0.92,0.92,0.99,1.05,2.2333000000000003
Broccoli Crowns,2019/2/3,0.56,2.39,2.02,1.99,1.59,2.5669999999999997
Broccoli Bunches,2019/2/3,0.75,1.77,1.88,1.49,1.89,1.3433000000000002
Avocados,2019/2/3,0.47,1.06,1.24,1.31,1.42,1.6755000000000002
Strawberries,2019/1/27,2.63,3.96,3.44,3.49,5.11,0.5209
Romaine Lettuce,2019/1/27,0.32,1.99,2.25,1.67,1.98,5.1640999999999995
Red Leaf Lettuce,2019/1/27,0.42,2.32,1.83,1.74,2.01,3.7024000000000004
Potatoes,2019/1/27,1.7,4.87,4.81,3.99,4.94,1.7368000000000001
Oranges,2019/1/27,0.41,1.46,1.45,0.99,1.87,2.5183
Iceberg Lettuce,2019/1/27,0.37,1.19,1.61,1.42,1.81,3.0743
Green Leaf Lettuce,2019/1/27,0.41,2.32,1.75,1.74,1.92,3.7134
Celery,2019/1/27,1.39,1.62,2.01,1.99,1.94,0.3597
Cauliflower,2019/1/27,0.75,2.77,3.86,3.78,3.24,3.5500000000000003
Carrots,2019/1/27,0.3,0.92,0.92,0.99,1.15,2.3167
Broccoli Crowns,2019/1/27,0.38,2.22,2.3,1.99,1.96,4.5724
Avocados,2019/1/27,0.46,0.89,1.75,1.31,1.24,1.8207
Strawberries,2019/1/20,2.63,2.97,3.31,2.95,5.11,0.36310000000000003
Romaine Lettuce,2019/1/20,0.33,1.89,2.25,1.67,1.98,4.9014999999999995
Red Leaf Lettuce,2019/1/20,0.51,2.32,1.83,1.74,2.01,2.8725
Potatoes,2019/1/20,1.7,4.87,4.81,3.99,4.94,1.7368000000000001
Oranges,2019/1/20,0.45,1.46,1.18,0.99,1.87,2.0556
Iceberg Lettuce,2019/1/20,0.41,1.16,1.61,1.42,1.94,2.7377999999999996
Green Leaf Lettuce,2019/1/20,0.51,2.32,1.75,1.74,1.92,2.7892
Celery,2019/1/20,1.42,1.62,2.01,1.99,2.07,0.3539
Cauliflower,2019/1/20,0.96,2.77,3.86,3.78,3.24,2.5547
Carrots,2019/1/20,0.32,0.89,0.92,0.99,1.15,2.0859
Broccoli Crowns,2019/1/20,0.5,2.22,2.3,1.99,1.96,3.235
Avocados,2019/1/20,0.51,0.89,1.68,1.31,1.24,1.5098
Green Leaf Lettuce,2019/1/13,0.66,2.32,1.85,1.74,1.95,1.9772999999999998
Strawberries,2019/1/13,2.5,3.58,3.74,4.99,5.11,0.742
Romaine Lettuce,2019/1/13,0.35,1.99,2.22,1.56,1.99,4.5429
Red Leaf Lettuce,2019/1/13,0.66,2.32,1.98,1.74,,1.2879
Potatoes,2019/1/13,1.7,4.72,4.81,3.99,6.47,1.9397
Oranges,2019/1/13,0.45,1.53,1.58,1.17,2.1,2.5444
Iceberg Lettuce,2019/1/13,0.78,1.36,1.66,1.54,2.06,1.1218000000000001
Celery,2019/1/13,1.31,1.45,2.01,1.99,1.82,0.3874
Cauliflower,2019/1/13,2.11,2.92,3.86,3.73,3.24,0.6291
Carrots,2019/1/13,0.29,0.85,0.92,0.99,1.05,2.2845
Broccoli Crowns,2019/1/13,1.07,2.22,2.17,1.99,2.09,0.9790000000000001
Broccoli Bunches,2019/1/13,1.13,1.61,2.31,1.49,1.99,0.6372
Avocados,2019/1/13,0.56,0.97,1.23,1.25,1.24,1.0937999999999999
Strawberries,2019/1/6,2.63,3.96,4.21,4.24,5.66,0.7177
Romaine Lettuce,2019/1/6,0.36,2.31,2.22,1.56,1.99,4.6111
Red Leaf Lettuce,2019/1/6,0.66,2.59,1.91,1.74,2.0,2.1212
Potatoes,2019/1/6,1.7,4.97,4.81,3.99,6.47,1.9765000000000001
Oranges,2019/1/6,0.49,1.53,1.64,0.99,1.87,2.0765000000000002
Iceberg Lettuce,2019/1/6,0.74,1.21,1.86,1.67,2.06,1.2973
Green Leaf Lettuce,2019/1/6,0.64,2.59,1.84,1.74,1.95,2.1719
Celery,2019/1/6,0.98,1.44,1.89,1.99,1.82,0.8214
Cauliflower,2019/1/6,2.1,2.77,3.31,3.73,2.74,0.494
Carrots,2019/1/6,0.29,0.92,0.99,0.99,1.05,2.4052000000000002
Broccoli Crowns,2019/1/6,1.01,2.84,2.03,1.99,1.79,1.1411
Broccoli Bunches,2019/1/6,1.22,1.78,1.79,1.49,1.89,0.4242
Avocados,2019/1/6,0.56,0.91,1.26,0.85,1.18,0.875
Strawberries,2018/12/30,2.5,3.71,4.59,4.49,5.71,0.85
Romaine Lettuce,2018/12/30,0.34,2.22,2.22,1.67,1.99,4.9559
Red Leaf Lettuce,2018/12/30,0.64,2.22,2.0,1.74,2.0,2.1094
Potatoes,2018/12/30,1.7,3.98,4.81,3.99,6.47,1.8309
Oranges,2018/12/30,0.49,1.5,1.49,1.34,2.1,2.2806
Iceberg Lettuce,2018/12/30,0.47,1.29,1.54,1.67,,1.3936000000000002
Green Leaf Lettuce,2018/12/30,0.61,2.22,1.84,1.74,1.95,2.1762
Flame Grapes,2018/12/30,1.0,2.66,2.46,2.87,2.71,1.675
Celery,2018/12/30,0.78,1.31,2.14,1.99,1.94,1.3654
Cauliflower,2018/12/30,1.0,3.11,2.61,3.43,2.99,2.035
Carrots,2018/12/30,0.29,0.92,0.92,0.99,1.05,2.3447999999999998
Broccoli Crowns,2018/12/30,0.76,2.21,2.68,1.99,1.71,1.8256999999999999
Avocados,2018/12/30,0.48,0.97,1.48,1.25,1.32,1.6146
Thompson Grapes,2018/12/23,1.13,2.69,2.46,2.49,2.59,1.2633
Strawberries,2018/12/23,2.88,3.86,4.46,4.99,4.09,0.5104
Romaine Lettuce,2018/12/23,0.35,1.89,2.09,1.67,2.19,4.6000000000000005
Red Leaf Lettuce,2018/12/23,0.65,2.59,2.0,1.67,2.45,2.35
Potatoes,2018/12/23,1.7,6.11,4.81,3.99,4.94,1.9191
Oranges,2018/12/23,0.51,1.58,1.36,1.42,1.89,2.0637
Iceberg Lettuce,2018/12/23,0.39,1.29,1.69,1.67,2.36,3.4936000000000003
Green Leaf Lettuce,2018/12/23,0.64,2.59,1.92,1.67,2.36,2.3359
Flame Grapes,2018/12/23,1.0,2.59,2.34,2.37,2.59,1.4725
Celery,2018/12/23,0.83,1.31,1.74,1.99,1.82,1.0663
Cauliflower,2018/12/23,0.61,2.91,3.31,3.68,2.48,4.0738
Carrots,2018/12/23,0.29,0.92,0.85,0.99,1.24,2.4483
Broccoli Crowns,2018/12/23,0.69,2.76,2.66,2.24,1.89,2.4601
Broccoli Bunches,2018/12/23,0.76,1.94,2.23,1.49,1.89,1.4836000000000003
Avocados,2018/12/23,0.46,0.92,1.02,1.0,1.51,1.4184999999999999
Thompson Grapes,2018/12/16,1.1,2.42,2.34,2.49,2.24,1.1568
Strawberries,2018/12/16,3.06,3.16,4.28,4.99,4.95,0.41990000000000005
Romaine Lettuce,2018/12/16,0.35,1.8,2.22,1.67,2.82,5.078600000000001
Red Leaf Lettuce,2018/12/16,0.9,2.15,2.0,1.74,2.45,1.3167
Potatoes,2018/12/16,1.7,5.11,4.97,3.99,6.47,2.0206
Oranges,2018/12/16,0.51,1.5,1.54,1.42,1.67,2.0049
Iceberg Lettuce,2018/12/16,0.45,1.19,2.11,1.92,2.56,3.3222000000000005
Green Leaf Lettuce,2018/12/16,0.9,2.15,1.92,1.74,2.36,1.2694
Flame Grapes,2018/12/16,1.0,2.49,2.34,2.12,2.24,1.2975
Celery,2018/12/16,0.93,1.51,1.58,1.99,1.44,0.7526999999999999
Cauliflower,2018/12/16,0.64,2.51,3.56,3.68,3.11,4.0234
Carrots,2018/12/16,0.29,0.92,0.95,0.99,1.05,2.3707
Broccoli Crowns,2018/12/16,0.71,3.63,2.31,2.24,1.71,2.4824
Broccoli Bunches,2018/12/16,0.82,1.88,2.36,1.49,1.76,1.2834999999999999
Avocados,2018/12/16,0.47,1.04,1.39,1.31,1.49,1.7819
Thompson Grapes,2018/12/9,1.1,2.42,1.96,1.23,1.96,0.7205
Strawberries,2018/12/9,3.25,3.66,4.21,3.99,4.95,0.29309999999999997
Romaine Lettuce,2018/12/9,0.63,2.05,2.14,1.67,2.89,2.4722
Red Leaf Lettuce,2018/12/9,2.03,2.09,1.8,1.74,2.42,-0.0086
Potatoes,2018/12/9,1.7,5.11,4.81,3.99,7.99,2.2206
Oranges,2018/12/9,0.52,1.5,1.37,1.42,1.82,1.9375
Iceberg Lettuce,2018/12/9,1.84,1.19,2.01,1.99,2.56,0.053
Green Leaf Lettuce,2018/12/9,2.03,2.09,1.72,1.74,2.33,-0.0296
Flame Grapes,2018/12/9,0.89,2.49,1.96,0.98,1.96,1.0758
Celery,2018/12/9,1.17,1.59,1.54,1.99,1.94,0.5085000000000001
Cauliflower,2018/12/9,1.19,2.74,3.56,3.68,3.74,1.8824
Carrots,2018/12/9,0.29,0.92,0.92,0.99,1.05,2.3447999999999998
Broccoli Crowns,2018/12/9,1.2,3.2,2.22,1.92,2.09,0.9646
Broccoli Bunches,2018/12/9,1.36,1.71,1.91,1.49,1.76,0.2629
Avocados,2018/12/9,0.48,1.01,1.44,1.31,1.69,1.8385
Thompson Grapes,2018/12/2,0.85,2.31,1.64,2.12,,0.7853
Strawberries,2018/12/2,2.88,3.71,3.99,3.99,5.16,0.46270000000000006
Romaine Lettuce,2018/12/2,1.01,1.75,2.14,1.34,2.49,0.9109
Red Leaf Lettuce,2018/12/2,2.04,2.39,1.8,1.92,1.97,-0.0098
Potatoes,2018/12/2,1.7,4.81,4.81,3.99,6.47,1.9528999999999999
Oranges,2018/12/2,0.55,1.63,1.37,0.99,1.9,1.6773
Iceberg Lettuce,2018/12/2,2.16,1.24,1.51,1.74,2.24,-0.2211
Green Leaf Lettuce,2018/12/2,2.04,2.49,1.72,1.92,1.91,-0.0147
Flame Grapes,2018/12/2,0.89,2.34,1.64,2.37,1.91,1.3202
Celery,2018/12/2,1.1,1.35,2.01,1.99,1.71,0.6045
Cauliflower,2018/12/2,2.16,3.64,3.38,3.83,3.74,0.6887000000000001
Carrots,2018/12/2,0.29,0.92,0.92,0.99,1.02,2.319
Broccoli Crowns,2018/12/2,1.44,2.7,2.41,1.99,2.24,0.6215
Avocados,2018/12/2,0.55,1.06,1.69,1.56,1.94,1.8409
Green Leaf Lettuce,2018/11/28,0.68,1.74,1.68,1.42,1.81,1.4449
Thompson Grapes,2018/11/25,0.85,1.98,1.96,2.24,2.21,1.4676
Strawberries,2018/11/25,2.69,3.36,3.84,3.99,,0.04
Potatoes,2018/11/25,1.7,6.14,4.81,3.49,6.47,2.075
Oranges,2018/11/25,0.55,1.71,1.64,0.99,1.77,1.7772999999999999
Iceberg Lettuce,2018/11/25,1.91,1.05,1.52,1.24,1.82,-0.2631
Green Leaf Lettuce,2018/11/25,1.84,1.99,1.75,1.42,1.91,-0.0394
Flame Grapes,2018/11/25,0.89,1.88,1.96,1.99,2.21,1.2584
Celery,2018/11/25,0.79,1.64,1.83,1.74,1.46,1.1108
Cauliflower,2018/11/25,3.23,3.64,3.39,3.83,3.99,0.1494
Carrots,2018/11/25,0.3,0.89,0.94,0.99,1.15,2.3083
