ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
1994,1983,Graduation,Married,,1.0,0.0,15-11-2013,11.0,5,5.0,6,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,0
387,1976,Basic,Married,7500.0,0.0,0.0,13-11-2012,59.0,6,16.0,11,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
2125,1959,Graduation,Divorced,63033.0,0.0,0.0,15-11-2013,82.0,194,61.0,480,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,0,0,0,0,0,0,3.0,11.0,0
8180,1952,Master,Divorced,59354.0,1.0,1.0,15-11-2013,53.0,233,2.0,53,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0,0,0,0,0,0,3.0,11.0,0
2569,1987,Graduation,Married,17323.0,0.0,0.0,10-10-2012,38.0,3,14.0,17,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
2114,1946,PhD,Single,82800.0,0.0,0.0,24-11-2012,23.0,1006,22.0,115,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0,0,1,1,0,0,3.0,11.0,1
9736,1980,Graduation,Married,41850.0,1.0,1.0,24-12-2012,51.0,53,5.0,19,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
4939,1946,Graduation,Together,37760.0,0.0,0.0,31-08-2012,20.0,84,5.0,38,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0,0,0,0,0,0,3.0,11.0,0
6565,1949,Master,Married,76995.0,0.0,1.0,28-03-2013,91.0,1012,80.0,498,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,0,0,0,1,0,0,3.0,11.0,0
2278,1985,2n Cycle,Single,33812.0,1.0,0.0,03-11-2012,86.0,4,17.0,19,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
9360,1982,Graduation,Married,37040.0,0.0,0.0,08-08-2012,41.0,86,2.0,73,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0,0,0,0,0,0,3.0,11.0,0
5376,1979,Graduation,Married,2447.0,1.0,0.0,06-01-2013,42.0,1,1.0,1725,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0,0,0,0,0,0,3.0,11.0,0
1993,1949,PhD,Married,58607.0,0.0,1.0,23-12-2012,63.0,867,0.0,86,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0,1,0,0,0,0,3.0,11.0,0
4047,1954,PhD,Married,65324.0,0.0,1.0,11-01-2014,0.0,384,0.0,102,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0,0,0,0,0,0,3.0,11.0,0
1409,1951,Graduation,Together,40689.0,0.0,1.0,18-03-2013,69.0,270,3.0,27,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0,0,0,0,0,0,3.0,11.0,0
7892,1969,Graduation,Single,18589.0,0.0,0.0,02-01-2013,89.0,6,4.0,25,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
2404,1976,Graduation,Married,53359.0,1.0,1.0,27-05-2013,4.0,173,4.0,30,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0,0,0,0,0,0,3.0,11.0,0
5255,1986,Graduation,Single,,1.0,0.0,20-02-2013,19.0,5,1.0,3,3.0,263.0,362.0,0.0,27.0,0.0,0.0,1.0,0,0,0,0,0,0,3.0,11.0,0
9422,1989,Graduation,Married,38360.0,1.0,0.0,31-05-2013,26.0,36,2.0,42,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0,0,0,0,0,0,3.0,11.0,0
1966,1965,PhD,Married,84618.0,0.0,0.0,22-11-2013,96.0,684,100.0,801,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0,0,1,0,0,0,3.0,11.0,0
6864,1989,Master,Divorced,10979.0,0.0,0.0,22-05-2014,34.0,8,4.0,10,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
3033,1963,Master,Together,38620.0,0.0,0.0,11-05-2013,56.0,112,17.0,44,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0,0,0,0,0,0,3.0,11.0,0
5710,1970,Graduation,Together,40548.0,0.0,1.0,10-10-2012,31.0,110,0.0,5,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0,1,0,0,0,0,3.0,11.0,0
7373,1952,PhD,Divorced,46610.0,0.0,2.0,29-10-2012,8.0,96,12.0,96,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0,0,0,0,0,0,3.0,11.0,1
8755,1946,Master,Married,68657.0,0.0,0.0,20-02-2013,4.0,482,34.0,471,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0,0,0,0,0,0,3.0,11.0,0
10738,1951,Master,Single,49389.0,1.0,1.0,29-08-2013,55.0,40,0.0,19,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
4339,1970,PhD,Married,67353.0,0.0,1.0,31-12-2013,37.0,702,17.0,151,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0,0,0,0,0,0,3.0,11.0,0
10755,1976,2n Cycle,Married,23718.0,1.0,0.0,02-09-2013,76.0,6,3.0,14,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,0
8595,1973,Graduation,Widow,42429.0,0.0,1.0,11-02-2014,99.0,55,0.0,6,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
2968,1943,PhD,Divorced,48948.0,0.0,0.0,01-02-2013,53.0,437,8.0,206,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,1,0,0,0,0,0,3.0,11.0,1
8601,1980,Graduation,Married,80011.0,0.0,1.0,29-04-2013,3.0,421,76.0,536,82.0,178.0,102.0,2.0,8.0,6.0,5.0,4.0,0,0,0,0,0,0,3.0,11.0,0
503,1985,Master,Married,20559.0,1.0,0.0,12-03-2013,88.0,13,1.0,29,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
8430,1957,Graduation,Together,21994.0,0.0,1.0,24-12-2012,4.0,9,0.0,6,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
7281,1959,PhD,Single,,0.0,0.0,05-11-2013,80.0,81,11.0,50,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,3.0,11.0,0
2139,1975,Master,Married,7500.0,1.0,0.0,02-10-2013,19.0,3,1.0,10,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
1371,1976,Graduation,Single,79941.0,0.0,0.0,28-06-2014,72.0,123,164.0,266,227.0,30.0,174.0,1.0,2.0,4.0,9.0,1.0,0,0,0,0,0,0,3.0,11.0,0
9909,1996,2n Cycle,Married,7500.0,0.0,0.0,09-11-2012,24.0,3,18.0,14,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0,0,0,0,0,0,3.0,11.0,1
7286,1968,Graduation,Together,41728.0,1.0,0.0,24-05-2013,92.0,13,6.0,15,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0,0,0,0,0,0,3.0,11.0,0
7244,1951,Graduation,Single,,2.0,1.0,01-01-2014,96.0,48,5.0,48,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,0,0,0,0,0,0,3.0,11.0,0
6566,1954,PhD,Married,72550.0,1.0,1.0,08-11-2012,39.0,826,50.0,317,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,0,0,0,0,0,0,3.0,11.0,0
8614,1957,Graduation,Widow,65486.0,0.0,1.0,12-05-2014,29.0,245,19.0,125,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0,0,0,0,0,0,3.0,11.0,0
4114,1964,Master,Married,79143.0,0.0,0.0,11-08-2012,2.0,650,37.0,780,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,0,0,0,0,0,0,3.0,11.0,0
1331,1977,Graduation,Single,35790.0,1.0,0.0,02-01-2013,54.0,12,6.0,20,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
2225,1977,Graduation,Divorced,82582.0,0.0,0.0,07-06-2014,54.0,510,120.0,550,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,1,0,0,1,0,0,3.0,11.0,1
9381,1978,Graduation,Married,66373.0,1.0,1.0,12-06-2013,57.0,328,9.0,124,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0,0,0,0,0,0,3.0,11.0,0
6260,1955,Master,Together,82384.0,0.0,0.0,19-11-2012,55.0,984,51.0,432,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,0,0,1,0,0,0,3.0,11.0,1
10383,1966,Graduation,Divorced,70287.0,0.0,0.0,02-04-2013,30.0,295,35.0,482,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,0,0,0,0,0,0,3.0,11.0,1
7437,1988,Graduation,Single,27938.0,1.0,0.0,28-04-2014,31.0,13,0.0,8,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0,0,0,0,0,0,3.0,11.0,0
8557,1982,Graduation,Single,,1.0,0.0,17-06-2013,57.0,11,3.0,22,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
8375,1968,PhD,Married,55954.0,0.0,1.0,03-03-2014,63.0,447,0.0,28,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0,0,0,0,0,0,3.0,11.0,0
6853,1982,Master,Single,75777.0,0.0,0.0,04-07-2013,12.0,712,26.0,538,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0,1,1,0,0,0,3.0,11.0,1
3076,1975,Graduation,Together,66653.0,1.0,1.0,07-09-2012,18.0,452,18.0,102,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0,0,0,0,0,0,3.0,11.0,0
1012,1952,Graduation,Single,61823.0,0.0,1.0,18-02-2013,26.0,523,7.0,134,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,0,0,0,0,0,0,3.0,11.0,0
6518,1951,PhD,Widow,67680.0,0.0,1.0,11-06-2013,8.0,546,0.0,48,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0,0,0,0,0,0,3.0,11.0,0
4137,1948,Graduation,Together,70666.0,0.0,0.0,06-12-2013,29.0,398,40.0,367,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,0,0,0,0,0,0,3.0,11.0,0
8082,1971,Graduation,Married,25721.0,1.0,0.0,21-05-2013,75.0,1,3.0,6,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,1
1386,1967,Graduation,Together,32474.0,1.0,1.0,11-05-2014,0.0,10,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,0
9369,1979,2n Cycle,Single,88194.0,0.0,1.0,19-03-2014,19.0,688,14.0,309,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1,0,0,1,0,0,3.0,11.0,1
4477,1958,Graduation,Together,69096.0,0.0,1.0,27-09-2013,4.0,247,49.0,159,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0,0,0,0,0,0,3.0,11.0,0
1357,1970,Graduation,Together,74854.0,1.0,2.0,08-04-2013,90.0,856,59.0,487,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,0,0,0,0,0,0,3.0,11.0,0
1402,1954,Master,Married,66991.0,0.0,0.0,11-09-2012,1.0,496,36.0,460,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0,0,0,0,0,0,3.0,11.0,0
10629,1973,2n Cycle,Married,,1.0,0.0,14-09-2012,25.0,25,3.0,43,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
6312,1959,Graduation,Married,65031.0,0.0,1.0,17-03-2013,29.0,258,107.0,291,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0,0,0,0,0,0,3.0,11.0,0
8132,1975,PhD,Married,60631.0,1.0,1.0,05-04-2013,88.0,565,6.0,65,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0,1,0,0,0,0,3.0,11.0,0
1050,1952,Graduation,Married,28332.0,0.0,0.0,30-04-2014,58.0,14,10.0,13,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0,0,0,0,0,0,3.0,11.0,0
5846,1977,Graduation,Divorced,40246.0,1.0,0.0,19-12-2012,68.0,2,1.0,6,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0,0,0,0,0,0,3.0,11.0,0
1859,1972,Master,Married,75251.0,0.0,0.0,27-08-2012,34.0,721,111.0,925,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0,0,0,0,0,0,3.0,11.0,1
7503,1976,Graduation,Single,75825.0,0.0,0.0,12-10-2012,40.0,1032,105.0,779,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,1,0,0,0,0,0,3.0,11.0,1
10401,1976,2n Cycle,Together,26326.0,0.0,0.0,04-09-2013,12.0,1,0.0,5,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0,0,0,0,0,1,3.0,11.0,0
1618,1965,Graduation,Together,56046.0,0.0,0.0,02-01-2013,9.0,577,0.0,64,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,1,0,0,0,0,0,3.0,11.0,1
3332,1985,Graduation,Single,29760.0,1.0,0.0,29-08-2012,87.0,64,4.0,68,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0,0,0,0,0,0,3.0,11.0,0
2261,1969,Graduation,Married,26304.0,1.0,0.0,23-06-2013,5.0,4,1.0,5,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,0
5346,1973,2n Cycle,Married,23559.0,1.0,0.0,03-07-2013,87.0,25,5.0,19,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
4119,1963,Master,Together,38620.0,0.0,0.0,11-05-2013,56.0,112,17.0,44,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0,0,0,0,0,0,3.0,11.0,0
535,1987,Graduation,Divorced,81361.0,0.0,0.0,25-02-2014,18.0,163,23.0,424,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0,0,0,0,0,0,3.0,11.0,0
5268,1960,Graduation,Married,29440.0,1.0,1.0,11-08-2013,95.0,17,8.0,14,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0,0,0,0,0,0,3.0,11.0,0
273,1970,Master,Married,36138.0,1.0,1.0,16-07-2013,48.0,130,0.0,16,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0,1,0,0,0,0,3.0,11.0,0
4452,1957,Graduation,Single,50388.0,0.0,1.0,28-05-2014,3.0,292,6.0,37,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0,1,0,1,0,0,3.0,11.0,1
8504,1973,Graduation,Married,79593.0,0.0,0.0,12-05-2014,70.0,350,60.0,568,110.0,133.0,145.0,1.0,5.0,6.0,7.0,2.0,0,0,1,0,0,0,3.0,11.0,0
771,1967,Graduation,Together,54178.0,0.0,1.0,21-01-2014,79.0,135,9.0,39,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0,0,0,0,0,0,3.0,11.0,0
8996,1957,PhD,Married,,2.0,1.0,19-11-2012,4.0,230,42.0,192,49.0,37.0,53.0,12.0,7.0,2.0,8.0,9.0,0,0,0,0,0,0,3.0,11.0,0
9235,1957,Graduation,Single,,1.0,1.0,27-05-2014,45.0,7,0.0,8,2.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0,3.0,11.0,0
5798,1973,Master,Together,,0.0,0.0,23-11-2013,87.0,445,37.0,359,98.0,28.0,18.0,1.0,2.0,4.0,8.0,1.0,0,0,0,0,0,0,3.0,11.0,0
11178,1972,Master,Single,42394.0,1.0,0.0,23-03-2014,69.0,15,2.0,10,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
2230,1970,PhD,Married,23626.0,1.0,0.0,24-05-2014,84.0,27,2.0,14,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
7516,1983,Graduation,Married,30096.0,1.0,0.0,22-05-2014,30.0,5,3.0,11,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
7247,1960,Graduation,Widow,47916.0,0.0,1.0,22-11-2012,72.0,505,0.0,26,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,0,1,0,0,0,0,3.0,11.0,0
11100,1972,Graduation,Divorced,51813.0,1.0,1.0,11-04-2013,37.0,51,2.0,7,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
4646,1951,2n Cycle,Married,78497.0,0.0,0.0,01-12-2013,44.0,207,26.0,447,75.0,0.0,223.0,1.0,5.0,7.0,12.0,2.0,0,0,0,1,0,0,3.0,11.0,0
3037,1983,PhD,Married,50150.0,0.0,0.0,20-06-2013,32.0,135,46.0,92,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0,0,0,0,0,0,3.0,11.0,0
1473,1960,2n Cycle,Single,47823.0,0.0,1.0,23-07-2013,0.0,53,1.0,5,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0,3.0,11.0,0
1016,1959,PhD,Single,34554.0,0.0,1.0,30-03-2014,43.0,41,1.0,6,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
4518,1979,Graduation,Together,85693.0,0.0,1.0,20-04-2013,59.0,386,172.0,183,185.0,132.0,111.0,2.0,9.0,5.0,11.0,5.0,0,0,0,0,0,0,3.0,11.0,0
9370,1945,PhD,Married,65846.0,0.0,0.0,17-05-2013,68.0,562,81.0,276,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,0,0,0,0,0,0,3.0,11.0,0
8908,1959,Graduation,Married,87195.0,0.0,0.0,08-05-2014,35.0,217,76.0,690,50.0,26.0,38.0,1.0,3.0,11.0,5.0,1.0,0,0,0,0,0,0,3.0,11.0,1
8373,1979,Basic,Together,24594.0,1.0,0.0,10-12-2013,94.0,1,3.0,6,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
7533,1964,Graduation,Married,49096.0,1.0,1.0,24-09-2013,15.0,144,1.0,32,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0,0,0,0,0,0,3.0,11.0,0
2683,1969,Graduation,Married,52413.0,0.0,2.0,02-02-2013,56.0,295,106.0,271,75.0,98.0,65.0,4.0,6.0,4.0,12.0,6.0,0,0,0,0,0,0,3.0,11.0,0
3629,1978,Graduation,Single,38557.0,1.0,0.0,19-12-2012,17.0,76,3.0,31,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
10991,1960,Master,Married,89058.0,0.0,0.0,07-12-2012,18.0,454,194.0,106,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0,0,0,0,0,0,3.0,11.0,0
5077,1979,Graduation,Together,77298.0,0.0,1.0,02-11-2013,46.0,425,115.0,292,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,0,0,0,0,0,0,3.0,11.0,0
7431,1991,PhD,Single,68126.0,0.0,0.0,10-11-2012,40.0,1332,17.0,311,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,0,1,0,0,0,0,3.0,11.0,1
3267,1963,Master,Together,57288.0,0.0,1.0,25-06-2014,27.0,527,0.0,21,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,0,1,0,0,0,0,3.0,11.0,0
999,1991,Graduation,Single,86037.0,0.0,0.0,02-01-2013,95.0,490,44.0,125,29.0,20.0,22.0,1.0,6.0,7.0,11.0,3.0,0,1,1,0,0,0,3.0,11.0,1
9215,1980,PhD,Married,43974.0,1.0,0.0,12-12-2012,19.0,378,0.0,101,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,0,0,0,0,0,0,3.0,11.0,0
2286,1962,Graduation,Single,50785.0,1.0,1.0,10-09-2013,27.0,64,1.0,21,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
1592,1970,Graduation,Married,90765.0,0.0,0.0,24-01-2014,25.0,547,99.0,812,151.0,82.0,33.0,0.0,4.0,6.0,5.0,1.0,0,0,1,1,0,0,3.0,11.0,0
367,1978,2n Cycle,Married,36550.0,1.0,0.0,19-02-2013,74.0,47,90.0,94,123.0,103.0,120.0,5.0,9.0,1.0,5.0,9.0,0,0,0,0,0,0,3.0,11.0,0
5234,1967,2n Cycle,Together,30753.0,1.0,1.0,11-07-2013,85.0,12,5.0,25,0.0,9.0,30.0,2.0,1.0,1.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,0
9862,1969,Graduation,Together,21918.0,1.0,0.0,14-11-2013,37.0,1,6.0,7,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0,3.0,11.0,0
9805,1953,Master,Together,56129.0,0.0,1.0,20-06-2013,65.0,320,48.0,133,39.0,72.0,48.0,4.0,6.0,2.0,10.0,4.0,0,0,0,0,0,0,3.0,11.0,0
6205,1967,Master,Single,32557.0,1.0,0.0,24-02-2014,13.0,34,3.0,29,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,0,0,0,0,0,0,3.0,11.0,1
8442,1985,Master,Married,19510.0,2.0,0.0,04-09-2013,63.0,9,0.0,7,3.0,4.0,7.0,2.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
7386,1976,Graduation,Divorced,30992.0,1.0,0.0,22-04-2013,83.0,17,0.0,14,7.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0,3.0,11.0,0
7215,1983,Graduation,Single,101970.0,0.0,0.0,12-03-2013,69.0,722,27.0,102,44.0,72.0,168.0,0.0,6.0,8.0,13.0,2.0,0,1,1,1,0,0,3.0,11.0,1
1491,1965,2n Cycle,Together,71488.0,0.0,0.0,18-02-2013,87.0,162,33.0,124,40.0,28.0,172.0,2.0,3.0,4.0,7.0,1.0,0,0,0,0,0,0,3.0,11.0,0
11071,1984,Graduation,Single,79607.0,0.0,0.0,21-04-2013,37.0,450,133.0,951,173.0,0.0,216.0,1.0,3.0,6.0,6.0,1.0,0,0,0,0,0,0,3.0,11.0,1
3381,1953,Master,Married,54348.0,1.0,1.0,08-06-2014,51.0,70,0.0,16,0.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,0,0,0,0,0,0,3.0,11.0,0
8268,1961,PhD,Married,,0.0,1.0,11-07-2013,23.0,352,0.0,27,10.0,0.0,15.0,3.0,6.0,1.0,7.0,6.0,0,0,0,0,0,0,3.0,11.0,0
11051,1956,PhD,Together,77376.0,1.0,1.0,10-05-2014,72.0,492,19.0,110,16.0,12.0,12.0,4.0,6.0,3.0,10.0,4.0,0,0,0,0,0,0,3.0,11.0,0
8026,1952,Graduation,Married,62998.0,0.0,1.0,30-09-2013,10.0,120,58.0,73,65.0,89.0,58.0,5.0,5.0,4.0,5.0,5.0,0,0,0,0,0,0,3.0,11.0,0
433,1958,Master,Alone,61331.0,1.0,1.0,10-03-2013,42.0,534,5.0,47,0.0,5.0,41.0,5.0,11.0,1.0,6.0,8.0,0,0,0,0,0,0,3.0,11.0,0
9597,1969,Graduation,Married,73448.0,0.0,0.0,10-02-2014,10.0,236,106.0,189,23.0,41.0,130.0,1.0,7.0,2.0,9.0,4.0,0,0,0,0,0,0,3.0,11.0,0
1295,1963,Graduation,Married,,0.0,1.0,11-08-2013,96.0,231,65.0,196,38.0,71.0,124.0,1.0,6.0,5.0,7.0,4.0,0,0,0,0,0,0,3.0,11.0,0
5290,1964,PhD,Married,41551.0,1.0,1.0,14-08-2013,51.0,220,0.0,33,3.0,0.0,23.0,5.0,5.0,1.0,5.0,8.0,0,0,0,0,0,0,3.0,11.0,0
1685,1967,PhD,Together,62981.0,0.0,0.0,17-03-2013,21.0,796,14.0,590,38.0,44.0,0.0,1.0,4.0,5.0,13.0,3.0,0,1,0,0,0,0,3.0,11.0,0
