dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Exercise and Fitness Metrics Dataset,Do the estimated number of calories burned (Calories Burn) and the measured weight (Actual Weight) exhibit similar levels of data dispersion?,"[{""column_header"": ""Calories Burn"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Actual Weight"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.00035, \""p value\"": 0.99972}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 8786.6623, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Calories Burn"", ""Actual Weight""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Green House Gas Produce by Different Industry,What is the kurtosis of the distribution of greenhouse gas emissions for 2017 (F2017)?,"[{""column_header"": ""F2017"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""96.84902"", ""conclusion"": ""96.84902""}]","{""columns"": [""F2017""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,How are the variables goout and famrel correlated when studytime is held constant?,"[{""column_header"": ""goout"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""famrel"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""studytime"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.08965, \""p value\"": 0.02247}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""goout"", ""famrel"", ""studytime""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Terrorist Attacks Dataset,Could you calculate the median age at death for individuals aged between 21 and 50?,"[{""column_header"": ""Death Age : 21-50 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""0.0"", ""conclusion"": ""0.0""}]","{""columns"": [""Death Age : 21-50 ""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Fruits and Vegetables Prices Dataset,What is the relationship between newyorkretail and averagespread when farmprice is held constant?,"[{""column_header"": ""newyorkretail"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""averagespread"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""farmprice"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.50396, \""p value\"": 0.0}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""newyorkretail"", ""averagespread"", ""farmprice""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Crop Production Dataset,Are the variations in yearly crop yields similar in Japan and Brazil?,"[{""column_header"": ""Japan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Brazil"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.86603, \""p value\"": 0.38648}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 0.0424, \""p value\"": 0.84366}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 0.14323, \""p value\"": 0.70509}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 0.93518, \""p value\"": 0.37087}"", ""conclusion"": ""Variance not significantly difference between them""}]","{""columns"": [""Japan"", ""Brazil""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Crop Production Dataset,Do the annual crop production levels in the United States and the Philippines exhibit similar variability?,"[{""column_header"": ""United States"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Philippines"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -0.28868, \""p value\"": 0.77283}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3.55979, \""p value\"": 0.10814}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 1.68615, \""p value\"": 0.19411}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 5.21215, \""p value\"": 0.06254}"", ""conclusion"": ""Variance not significantly difference between them""}]","{""columns"": [""United States"", ""Philippines""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Income and Happiness Score Dataset,How can I calculate the median for the variable representing the median income of individuals in the country?,"[{""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""2646.97333"", ""conclusion"": ""2646.97333""}]","{""columns"": [""median_income""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Pokedex Dataset,What is the kurtosis of the distribution of the variable representing Base Special Defense?,"[{""column_header"": ""Sp_Def"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""2.39175"", ""conclusion"": ""2.39175""}]","{""columns"": [""Sp_Def""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
FIFA Official Dataset 2023,Does a distinct connection exist between the classifications of favored foot and weak foot skills?,"[{""column_header"": ""Preferred Foot"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Weak Foot"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Preferred Foot"", ""Weak Foot""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Student Performance Prediction Dataset,Can we assume that there is no significant difference in the variances of age and freetime?,"[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 21.8074, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""age"", ""freetime""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Lung Cancer Survey Dataset,Do alcohol consumption and the presence of shortness of breath symptoms have a mutual impact on their frequency?,"[{""column_header"": ""ALCOHOL CONSUMING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00241}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.00189}"", ""conclusion"": ""Not independent""}]","{""columns"": [""ALCOHOL CONSUMING"", ""SHORTNESS OF BREATH""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
FIFA Official Dataset 2023,May I assume that the distribution of player weights in pounds is approximately normal for the purposes of statistical analysis?,"[{""column_header"": ""Weight"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 33.35124, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Weight""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Heart Failure Prediction Dataset,Can you determine the entire range of ages within the dataset?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""49.0"", ""conclusion"": ""49.0""}]","{""columns"": [""Age""], ""methods"": [""Range""]}",Descriptive Statistics,easy
University Rank Dataset,Can the data for assessing the research environment score have been sampled from a Uniform distribution?,"[{""column_header"": ""Research Environment Score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Uniform distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Research Environment Score""], ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]}",Distribution Compliance Test,easy
Bank Customer Churn Prediction Dataset,How strong is the association between the length of time a bank customer has been with the bank and their estimated salary?,"[{""column_header"": ""Tenure"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""EstimatedSalary"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00783}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00783}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00546}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Tenure"", ""EstimatedSalary""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Crop Production Dataset,Are the annual crop production data for Nigeria and China comparable in terms of variability?,"[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""China"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 2.15458, \""p value\"": 0.19252}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 4.27597, \""p value\"": 0.03865}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 1152.56262, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Nigeria"", ""China""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Pokedex Dataset,Is there a statistically significant difference between the variations in height and weight of the Pokemon?,"[{""column_header"": ""Height_m"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Weight_kg"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -2.22679, \""p value\"": 0.02596}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 220.01537, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Height_m"", ""Weight_kg""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Rainfall Dataset of Barak Velly,Could you calculate the total range of annual rainfall measurements?,"[{""column_header"": ""ANU"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""388.025"", ""conclusion"": ""388.025""}]","{""columns"": [""ANU""], ""methods"": [""Range""]}",Descriptive Statistics,easy
Terrorist Attacks Dataset,What is the level of kurtosis in the variable measuring whether the attack method involved hostage taking through kidnapping?,"[{""column_header"": ""Attack method: Hostage Taking (Kidnapping)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""409.4861"", ""conclusion"": ""409.4861""}]","{""columns"": [""Attack method: Hostage Taking (Kidnapping)""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Video Games Sales Dataset,"Can you calculate the standard deviation to measure the variability in the number of units sold in the rest of the world, excluding North America, Europe, and Japan, in millions?","[{""column_header"": ""Rest of World"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""0.343"", ""conclusion"": ""0.343""}]","{""columns"": [""Rest of World""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,What is the relationship between studytime and health after accounting for age?,"[{""column_header"": ""studytime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""health"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""age"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.05651, \""p value\"": 0.15075}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""studytime"", ""health"", ""age""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Advertising Budget and Sales Dataset,Is there a significant difference in the distribution profiles of the budget allocated for TV advertising and the revenue generated from sales?,"[{""column_header"": ""TV Ad Budget ($)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales ($)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""TV Ad Budget ($)"", ""Sales ($)""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Customer Personality Analysis Dataset,"What is the nature of the relationship between the number of purchases made through the company’s website (NumWebPurchases) and the amount spent on meat in the last 2 years (MntMeatProducts), taking into account the amount spent on sweets in the last 2 years (MntSweetProducts)?","[{""column_header"": ""NumWebPurchases"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntMeatProducts"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntSweetProducts"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.13925, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""NumWebPurchases"", ""MntMeatProducts"", ""MntSweetProducts""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Exercise and Fitness Metrics Dataset,Is there a significant difference in the distribution profiles of desired weight and heart rate?,"[{""column_header"": ""Dream Weight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Heart Rate"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Dream Weight"", ""Heart Rate""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Crop Production Dataset,Are the variance characteristics of annual crop production in Pakistan and Brazil similar?,"[{""column_header"": ""Pakistan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Brazil"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 0.00491, \""p value\"": 0.94643}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 0.15097, \""p value\"": 0.69761}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 7.62147, \""p value\"": 0.03282}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Pakistan"", ""Brazil""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Heart Failure Prediction Dataset,How does the frequency of FastingBS vary across different categories of ChestPainType?,"[{""column_header"": ""ChestPainType"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""FastingBS"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 3e-05}"", ""conclusion"": ""Not independent""}]","{""columns"": [""ChestPainType"", ""FastingBS""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Crop Production Dataset,Are the levels of dispersion in crop production similar between Nigeria and Bangladesh?,"[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 9.66737, \""p value\"": 0.02087}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 4.94003, \""p value\"": 0.02624}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 34.08821, \""p value\"": 0.00111}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Nigeria"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
FIFA Official Dataset 2023,Is the variability in age comparable to that in overall skill and ability rating?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Overall"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.00059, \""p value\"": 0.99953}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 4351.93, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Age"", ""Overall""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Lung Cancer Survey Dataset,Is there any correlation between experiencing peer pressure related to smoking and the presence of symptoms of chest pain?,"[{""column_header"": ""PEER_PRESSURE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.12056}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.10919}"", ""conclusion"": ""Independent""}]","{""columns"": [""PEER_PRESSURE"", ""CHEST PAIN""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Student Performance Prediction Dataset,Is there a significant difference in the frequency distribution of mother's education levels and free time after school?,"[{""column_header"": ""Medu"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Medu"", ""freetime""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Terrorist Attacks Dataset,"Do changes in the frequency of ""Unarmed Assault"" as an attack method correspond to similar changes in the frequency of ""Armed Assault"" as an attack method?","[{""column_header"": ""Attack method: Unarmed Assault"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Armed Assault"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.71814}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.47828}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.44523}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Attack method: Unarmed Assault"", ""Attack method: Armed Assault""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Customer Personality Analysis Dataset,What is the measure of the standard deviation for the amount spent on gold products in the last 2 years?,"[{""column_header"": ""MntGoldProds"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""52.15579"", ""conclusion"": ""52.15579""}]","{""columns"": [""MntGoldProds""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Pokedex Dataset,How does the interaction between Base Special Attack (Sp_Atk) and the probability of a Pokemon being male (Pr_Male) change when considering Base Attack?,"[{""column_header"": ""Sp_Atk"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Pr_Male"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.05463, \""p value\"": 0.1665}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Sp_Atk"", ""Pr_Male"", ""Attack""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Student Performance Prediction Dataset,"Does any proof exist of a connection between the reason for selecting this school (classified as proximity to home, school reputation, course preference, or other) and involvement in extracurricular activities?","[{""column_header"": ""reason"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""activities"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00032}"", ""conclusion"": ""Not independent""}]","{""columns"": [""reason"", ""activities""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
